SLAID,WorkOrderID,ClientID,ServiceID,AreaID,PriorityID,CreatedDateKey,CommittedDateKey,ResolvedDateKey,TargetHours,ActualHours,SLAMetFlag,BreachHours,_SourceFile,_ExportedAt,_LegacyRowNumber
SLA000072,WO000434,C014,SV7,A004,P1,20240905,20240905,20240906,8,5.33,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,72
SLA000073,WO002648,C003,SV5,A003,P3,20240312,20240315,20240314,72,29.8,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,73
SLA000074,WO002317,C017,SV5,A005,P3,20240319,20240322,20240321,72,43.59,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,74
SLA000075,WO001758,C020,SV6,A005,P3,20240421,20240424,20240427,72,137.63,False,65.63,training_fact_sla_export.csv,2026-06-23T00:00:00,75
SLA000076,WO002432,C002,SV8,A004,P2,20241002,20241003,20241004,24,26.02,False,2.02,training_fact_sla_export.csv,2026-06-23T00:00:00,76
SLA000077,WO000495,C001,SV7,A002,P2,20240606,20240607,20240608,24,30.18,False,6.18,training_fact_sla_export.csv,2026-06-23T00:00:00,77
SLA000078,WO004966,C015,SV8,A005,P1,20240322,20240322,20240323,8,3.68,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,78
SLA000079,WO003230,C015,SV6,A001,P3,20240228,20240302,20240229,72,14.39,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,79
SLA000080,WO003761,C019,SV4,A006,P3,20240222,20240225,20240225,72,49.03,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,80
SLA000081,WO001141,C003,SV2,A003,P3,20240626,20240629,20240629,72,52.21,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,81
SLA000082,WO000152,C002,SV7,A003,P4,20240420,20240425,20240423,120,51.79,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,82
SLA000083,WO002609,C008,SV5,A004,P1,20240508,20240508,20240509,8,14.03,False,6.03,training_fact_sla_export.csv,2026-06-23T00:00:00,83
SLA000084,WO003704,C002,SV7,A002,P4,20240226,20240302,20240229,120,63.04,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,84
SLA000085,WO001112,C019,SV6,A001,P4,20240529,20240603,20240606,120,186.65,False,66.65,training_fact_sla_export.csv,2026-06-23T00:00:00,85
SLA000086,WO001878,C013,SV8,A004,P3,20240922,20240925,20240925,72,57.1,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,86
SLA000087,WO002944,C014,SV5,A001,P1,20240205,20240205,20240206,8,6.61,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,87
SLA000088,WO000187,C014,SV5,A005,P4,20240902,20240907,20240904,120,46.57,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,88
SLA000089,WO004322,C011,SV5,A005,P2,20240505,20240506,20240506,24,21.56,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,89
SLA000090,WO002606,C010,SV4,A003,P2,20240404,20240405,20240405,24,20.61,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,90
SLA000091,WO000888,C005,SV2,A001,P2,20240805,20240806,20240807,24,29.69,False,5.69,training_fact_sla_export.csv,2026-06-23T00:00:00,91
SLA000092,WO002654,C019,SV2,A004,P2,20240718,20240719,20240719,24,21.26,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,92
SLA000093,WO003671,C012,SV1,A003,P2,20241219,20241220,20241220,24,10.76,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,93
SLA000094,WO001656,C003,SV2,A004,P1,20240906,20240906,20240907,8,8.51,False,0.51,training_fact_sla_export.csv,2026-06-23T00:00:00,94
SLA000095,WO000535,C004,SV3,A003,P4,20240225,20240301,20240302,120,133.6,False,13.6,training_fact_sla_export.csv,2026-06-23T00:00:00,95
SLA000096,WO000873,C003,SV4,A001,P3,20240726,20240729,20240727,72,18.0,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,96
SLA000097,WO003055,C018,SV7,A004,P1,20241106,20241106,20241107,8,7.07,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,97
SLA000098,WO002025,C001,SV8,A002,P3,20240418,20240421,20240421,72,68.13,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,98
SLA000099,WO004325,C019,SV3,A001,P2,20240310,20240311,20240311,24,10.85,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,99
SLA000100,WO002018,C017,SV4,A006,P4,20240112,20240117,20240116,120,92.3,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,100
SLA000101,WO003094,C003,SV6,A001,P2,20241217,20241218,20241218,24,11.71,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,101
SLA000102,WO000932,C002,SV1,A005,P3,20241128,20241201,20241201,72,48.08,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,102
SLA000103,WO001714,C019,SV5,A002,P2,20240207,20240208,20240208,24,10.11,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,103
SLA000104,WO000639,C013,SV7,A005,P2,20240504,20240505,20240505,24,18.97,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,104
SLA000105,WO001768,C019,SV1,A004,P3,20240314,20240317,20240317,72,70.57,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,105
SLA000106,WO004026,C019,SV2,A006,P1,20240418,20240418,20240419,8,8.64,False,0.64,training_fact_sla_export.csv,2026-06-23T00:00:00,106
SLA000107,WO003595,C001,SV1,A003,P2,20240103,20240104,20240105,24,39.41,False,15.41,training_fact_sla_export.csv,2026-06-23T00:00:00,107
SLA000108,WO004072,C002,SV1,A004,P2,20241024,20241025,20241025,24,20.77,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,108
SLA000109,WO001424,C016,SV5,A005,P4,20240322,20240327,20240329,120,151.24,False,31.24,training_fact_sla_export.csv,2026-06-23T00:00:00,109
SLA000110,WO004032,C003,SV4,A006,P4,20240618,20240623,20240624,120,129.81,False,9.81,training_fact_sla_export.csv,2026-06-23T00:00:00,110
SLA000111,WO001781,C017,SV3,A001,P2,20240611,20240612,20240612,24,17.99,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,111
SLA000112,WO003905,C018,SV5,A001,P3,20240125,20240128,20240127,72,24.82,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,112
SLA000113,WO004574,C010,SV7,A005,P2,20240829,20240830,20240830,24,5.27,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,113
SLA000114,WO000179,C006,SV1,A003,P1,20241125,20241125,20241126,8,3.09,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,114
SLA000115,WO002342,C020,SV1,A001,P4,20241103,20241108,20241111,120,190.7,False,70.7,training_fact_sla_export.csv,2026-06-23T00:00:00,115
SLA000116,WO001276,C009,SV6,A006,P2,20240830,20240831,20240831,24,12.89,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,116
SLA000117,WO002696,C005,SV8,A003,P3,20240720,20240723,20240722,72,35.57,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,117
SLA000118,WO002511,C012,SV4,A001,P3,20241224,20241227,20241227,72,59.64,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,118
SLA000119,WO003368,C007,SV2,A001,P3,20240205,20240208,20240208,72,52.99,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,119
SLA000120,WO004736,C015,SV2,A003,P1,20240717,20240717,20240718,8,8.16,False,0.16,training_fact_sla_export.csv,2026-06-23T00:00:00,120
SLA000121,WO004836,C020,SV8,A001,P3,20240520,20240523,20240522,72,37.27,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,121
SLA000122,WO000356,C004,SV6,A005,P2,20240111,20240112,20240112,24,19.96,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,122
SLA000123,WO000701,C005,SV2,A005,P2,20240609,20240610,20240611,24,28.51,False,4.51,training_fact_sla_export.csv,2026-06-23T00:00:00,123
SLA000124,WO003108,C018,SV3,A005,P1,20241011,20241011,20241012,8,12.15,False,4.15,training_fact_sla_export.csv,2026-06-23T00:00:00,124
SLA000125,WO003436,C017,SV7,A005,P4,20240113,20240118,20240119,120,127.69,False,7.69,training_fact_sla_export.csv,2026-06-23T00:00:00,125
SLA000126,WO004375,C016,SV2,A004,P3,20240510,20240513,20240514,72,76.56,False,4.56,training_fact_sla_export.csv,2026-06-23T00:00:00,126
SLA000127,WO002947,C003,SV4,A001,P2,20241120,20241121,20241121,24,17.67,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,127
SLA000128,WO001776,C002,SV7,A003,P1,20240123,20240123,20240124,8,9.62,False,1.62,training_fact_sla_export.csv,2026-06-23T00:00:00,128
SLA000129,WO000150,C006,SV8,A005,P3,20240418,20240421,20240423,72,103.88,False,31.88,training_fact_sla_export.csv,2026-06-23T00:00:00,129
SLA000130,WO002292,C003,SV4,A005,P4,20240804,20240809,20240809,120,115.68,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,130
SLA000131,WO002571,C010,SV5,A003,P3,20240412,20240415,20240418,72,129.56,False,57.56,training_fact_sla_export.csv,2026-06-23T00:00:00,131
SLA000132,WO002980,C015,SV5,A002,P3,20240401,20240404,20240404,72,57.27,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,132
SLA000133,WO002982,C015,SV6,A005,P3,20240116,20240119,20240117,72,23.31,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,133
SLA000134,WO003841,C010,SV4,A001,P2,20241230,20241231,20241231,24,22.55,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,134
SLA000135,WO004348,C008,SV8,A002,P3,20240802,20240805,20240804,72,37.53,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,135
SLA000136,WO000598,C010,SV5,A004,P3,20240615,20240618,20240618,72,68.09,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,136
SLA000137,WO001766,C015,SV8,A003,P4,20240705,20240710,20240709,120,83.34,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,137
SLA000138,WO002353,C005,SV2,A003,P4,20240203,20240208,20240213,120,216.56,False,96.56,training_fact_sla_export.csv,2026-06-23T00:00:00,138
SLA000139,WO002802,C001,SV4,A002,P3,20240621,20240624,20240624,72,51.42,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,139
SLA000140,WO001376,C015,SV3,A005,P2,20240603,20240604,20240604,24,7.48,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,140
SLA000141,WO002692,C013,SV5,A003,P1,20240813,20240813,20240814,8,6.49,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,141
SLA000142,WO002365,C003,SV4,A004,P3,20240120,20240123,20240124,72,76.11,False,4.11,training_fact_sla_export.csv,2026-06-23T00:00:00,142
SLA000143,WO004450,C013,SV2,A004,P2,20241112,20241113,20241114,24,27.16,False,3.16,training_fact_sla_export.csv,2026-06-23T00:00:00,143
SLA000144,WO004828,C008,SV2,A003,P3,20240719,20240722,20240721,72,33.81,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,144
SLA000145,WO002024,C019,SV6,A003,P3,20240906,20240909,20240907,72,16.1,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,145
SLA000146,WO002217,C015,SV2,A004,P3,20240809,20240812,20240812,72,66.53,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,146
SLA000147,WO004078,C010,SV4,A003,P4,20240101,20240106,20240107,120,125.24,False,5.24,training_fact_sla_export.csv,2026-06-23T00:00:00,147
SLA000148,WO001511,C020,SV6,A003,P3,20240528,20240531,20240531,72,51.81,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,148
SLA000149,WO004035,C015,SV6,A002,P1,20240220,20240220,20240221,8,5.77,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,149
SLA000150,WO002698,C005,SV1,A005,P2,20241225,20241226,20241226,24,19.01,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,150
SLA000151,WO001873,C013,SV2,A002,P3,20240927,20240930,20240929,72,35.2,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,151
SLA000152,WO001452,C013,SV8,A006,P3,20240416,20240419,20240419,72,52.52,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,152
SLA000153,WO003001,C017,SV6,A006,P1,20241228,20241228,20241229,8,4.94,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,153
SLA000154,WO004771,C002,SV4,A005,P3,20240211,20240214,20240213,72,37.61,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,154
SLA000155,WO004507,C019,SV2,A001,P2,20240307,20240308,20240309,24,30.05,False,6.05,training_fact_sla_export.csv,2026-06-23T00:00:00,155
SLA000156,WO003504,C006,SV1,A006,P3,20241006,20241009,20241008,72,34.37,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,156
SLA000157,WO003845,C011,SV6,A004,P3,20241012,20241015,20241016,72,81.53,False,9.53,training_fact_sla_export.csv,2026-06-23T00:00:00,157
SLA000158,WO000907,C002,SV7,A002,P1,20240921,20240921,20240922,8,8.38,False,0.38,training_fact_sla_export.csv,2026-06-23T00:00:00,158
SLA000159,WO003972,C004,SV6,A003,P1,20240909,20240909,20240910,8,8.32,False,0.32,training_fact_sla_export.csv,2026-06-23T00:00:00,159
SLA000160,WO001530,C017,SV6,A003,P3,20241201,20241204,20241204,72,67.71,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,160
SLA000161,WO004746,C015,SV8,A004,P1,20240106,20240106,20240107,8,7.94,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,161
SLA000162,WO004259,C009,SV7,A002,P3,20240731,20240803,20240803,72,48.13,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,162
SLA000163,WO003267,C002,SV4,A006,P4,20241208,20241213,20241211,120,48.79,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,163
SLA000164,WO002098,C018,SV5,A004,P2,20240501,20240502,20240502,24,20.24,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,164
SLA000165,WO004496,C004,SV5,A002,P1,20240403,20240403,20240404,8,4.61,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,165
SLA000166,WO003451,C001,SV6,A004,P3,20240113,20240116,20240117,72,74.82,False,2.82,training_fact_sla_export.csv,2026-06-23T00:00:00,166
SLA000167,WO004573,C005,SV6,A001,P2,20240928,20240929,20240929,24,13.93,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,167
SLA000168,WO004409,C014,SV6,A005,P4,20240815,20240820,20240821,120,125.56,False,5.56,training_fact_sla_export.csv,2026-06-23T00:00:00,168
SLA000169,WO004550,C006,SV7,A003,P3,20241017,20241020,20241018,72,16.45,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,169
SLA000170,WO002987,C011,SV8,A001,P2,20240830,20240831,20240831,24,19.94,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,170
SLA000171,WO001172,C003,SV7,A005,P4,20240909,20240914,20240911,120,46.07,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,171
SLA000172,WO003015,C014,SV1,A004,P2,20240723,20240724,20240724,24,16.52,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,172
SLA000173,WO002146,C020,SV8,A003,P1,20241030,20241030,20241031,8,9.38,False,1.38,training_fact_sla_export.csv,2026-06-23T00:00:00,173
SLA000174,WO000601,C020,SV1,A003,P4,20240609,20240614,20240617,120,176.62,False,56.62,training_fact_sla_export.csv,2026-06-23T00:00:00,174
SLA000175,WO003979,C019,SV5,A002,P2,20240523,20240524,20240524,24,12.3,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,175
SLA000176,WO004962,C020,SV4,A006,P2,20240808,20240809,20240809,24,14.87,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,176
SLA000177,WO001924,C017,SV7,A006,P3,20240223,20240226,20240225,72,29.23,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,177
SLA000178,WO004137,C017,SV5,A005,P3,20240425,20240428,20240426,72,21.98,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,178
SLA000179,WO003890,C016,SV4,A001,P2,20240507,20240508,20240508,24,19.79,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,179
SLA000180,WO004183,C005,SV1,A003,P4,20241226,20241231,20241231,120,103.85,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,180
SLA000181,WO002321,C004,SV6,A004,P3,20240120,20240123,20240123,72,52.9,True,0.0,training_fact_sla_export.csv,2026-06-23T00:00:00,181
