WorkOrderID,CreatedDateKey,ClosedDateKey,AreaID,EquipmentID,ServiceID,ResponsibleID,WorkTypeID,PriorityID,StatusID,EstimatedHours,ActualHours,IsCritical,ReworkFlag,SourceSystem,_SourceFile,_ExportedAt,_LegacyRowNumber
WO000017,20240528,20240529,A005,EQ0010,SV4,R006,WT2,P1,S4,3.75,2.08,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,17
WO000018,20240706,20240709,A001,EQ0040,SV8,R029,WT2,P3,S4,26.71,16.43,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,18
WO000019,20240131,20240206,A001,EQ0018,SV7,R024,WT6,P2,S4,16.56,42.95,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,19
WO000020,20240301,20240309,A001,EQ0040,SV3,R023,WT3,P3,S4,36.52,59.7,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,20
WO000021,20241210,,A003,EQ0037,SV1,R015,WT2,P4,S3,77.18,50.19,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,21
WO000022,20240804,20240809,A003,EQ0037,SV7,R020,WT3,P4,S4,59.24,33.85,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,22
WO000023,20240317,20240325,A005,EQ0024,SV4,R007,WT5,P3,S5,52.38,63.17,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,23
WO000024,20240303,,A005,EQ0032,SV1,R001,WT1,P2,S2,20.22,13.83,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,24
WO000025,20240604,20240609,A004,EQ0039,SV7,R023,WT3,P3,S4,28.63,37.39,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,25
WO000026,20240921,,A004,EQ0011,SV3,R014,WT3,P3,S1,56.34,82.4,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,26
WO000027,20240924,20240929,A003,EQ0002,SV2,R011,WT4,P3,S4,31.38,33.39,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,27
WO000028,20240312,,A003,EQ0013,SV6,R009,WT1,P2,S2,12.75,22.61,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,28
WO000029,20240922,20240924,A003,EQ0026,SV7,R019,WT4,P1,S4,4.37,10.44,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,29
WO000030,20241124,20241126,A004,EQ0022,SV7,R016,WT4,P2,S4,11.12,13.57,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,30
WO000031,20240323,,A003,EQ0004,SV3,R021,WT3,P2,S1,9.39,6.46,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,31
WO000032,20240110,,A001,EQ0023,SV5,R029,WT1,P2,S2,18.54,24.13,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,32
WO000033,20241216,20241231,A005,EQ0007,SV4,R026,WT1,P4,S4,94.38,206.96,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,33
WO000034,20240710,,A002,EQ0021,SV7,R010,WT4,P1,S2,7.19,6.7,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,34
WO000035,20241011,20241024,A005,EQ0024,SV2,R008,WT3,P3,S4,62.21,98.27,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,35
WO000036,20240427,20240504,A003,EQ0026,SV7,R005,WT6,P4,S4,70.69,54.96,False,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,36
WO000037,20240419,,A006,EQ0017,SV3,R018,WT2,P2,S2,10.16,11.33,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,37
WO000038,20240323,20240326,A006,EQ0017,SV5,R025,WT1,P3,S4,25.62,17.38,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,38
WO000039,20240320,20240327,A006,EQ0028,SV5,R008,WT4,P3,S4,46.25,51.35,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,39
WO000040,20240621,,A006,EQ0030,SV3,R030,WT4,P2,S3,19.76,20.8,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,40
WO000041,20240208,,A005,EQ0033,SV2,R013,WT2,P3,S3,35.81,51.09,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,41
WO000042,20241104,20241114,A002,EQ0014,SV3,R024,WT4,P3,S4,33.08,77.14,False,True,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,42
WO000043,20240706,20240711,A006,EQ0017,SV5,R009,WT2,P3,S4,42.58,39.97,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,43
WO000044,20241130,20241204,A002,EQ0014,SV5,R005,WT1,P3,S4,60.58,28.91,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,44
WO000045,20240702,20240715,A004,EQ0022,SV5,R016,WT1,P4,S4,71.81,98.42,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,45
WO000046,20240420,20240423,A006,EQ0006,SV6,R017,WT2,P2,S4,17.94,22.48,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,46
WO000047,20240707,20240714,A001,EQ0018,SV1,R015,WT3,P3,S4,43.52,52.35,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,47
WO000048,20240226,20240304,A004,EQ0008,SV4,R013,WT2,P3,S4,39.97,55.82,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,48
WO000049,20241028,20241112,A004,EQ0022,SV3,R020,WT6,P3,S4,42.66,118.89,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,49
WO000050,20240920,,A003,EQ0035,SV4,R020,WT1,P3,S3,55.63,65.1,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,50
WO000051,20240223,20240302,A001,EQ0040,SV4,R005,WT3,P3,S5,55.07,58.25,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,51
WO000052,20240801,20240809,A001,EQ0018,SV2,R021,WT2,P4,S4,70.5,56.2,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,52
WO000053,20240715,20240717,A004,EQ0003,SV8,R010,WT1,P2,S4,11.93,8.55,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,53
WO000054,20240314,20240319,A005,EQ0010,SV1,R025,WT2,P3,S4,30.71,38.97,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,54
WO000055,20240214,20240216,A002,EQ0005,SV5,R015,WT6,P2,S5,8.42,10.31,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,55
WO000056,20241005,20241008,A005,EQ0031,SV4,R008,WT6,P3,S4,29.69,21.03,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,56
WO000057,20240406,20240411,A001,EQ0040,SV6,R006,WT2,P3,S4,31.72,34.41,False,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,57
WO000058,20240708,20240715,A001,EQ0023,SV7,R029,WT2,P3,S4,52.52,54.64,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,58
WO000059,20240331,20240409,A004,EQ0008,SV6,R022,WT1,P3,S4,57.59,66.1,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,59
WO000060,20240827,20240902,A006,EQ0001,SV7,R007,WT2,P3,S4,54.38,43.07,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,60
WO000061,20240118,,A001,EQ0040,SV3,R016,WT2,P2,S2,17.95,23.51,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,61
WO000062,20240511,,A003,EQ0013,SV8,R004,WT6,P2,S4,21.53,21.64,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,62
WO000063,20240719,20240722,A002,EQ0005,SV1,R026,WT3,P2,S4,21.11,18.2,True,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,63
WO000064,20240609,20240617,A004,EQ0008,SV6,R025,WT1,P4,S4,59.74,62.07,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,64
WO000065,20240812,20240814,A004,EQ0011,SV2,R025,WT6,P2,S4,10.32,14.57,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,65
WO000066,20240307,20240318,A001,EQ0027,SV2,R014,WT3,P4,S4,52.12,84.93,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,66
WO000067,20240610,20240614,A003,EQ0036,SV7,R005,WT1,P2,S4,20.22,24.38,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,67
WO000068,20241003,20241007,A003,EQ0012,SV6,R015,WT4,P3,S4,29.25,29.26,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,68
WO000069,20240502,,A006,EQ0028,SV6,R016,WT2,P3,S2,38.67,48.65,False,True,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,69
WO000070,20240227,20240314,A004,EQ0003,SV7,R010,WT2,P3,S4,46.2,122.26,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,70
WO000071,20241106,20241115,A006,EQ0001,SV3,R012,WT1,P3,S4,49.49,67.21,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,71
WO000072,20241011,20241022,A004,EQ0003,SV6,R002,WT2,P3,S4,48.79,81.2,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,72
WO000073,20240906,20240923,A003,EQ0037,SV2,R016,WT1,P4,S4,93.9,135.7,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,73
WO000074,20241019,20241026,A005,EQ0024,SV4,R006,WT4,P3,S5,47.84,49.48,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,74
WO000075,20241012,20241013,A005,EQ0033,SV4,R026,WT2,P1,S4,6.54,7.81,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,75
WO000076,20240930,20241002,A006,EQ0001,SV5,R023,WT2,P2,S4,9.52,8.57,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,76
WO000077,20240705,20240710,A006,EQ0001,SV1,R019,WT6,P3,S4,59.22,34.12,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,77
WO000078,20240108,20240116,A002,EQ0034,SV1,R007,WT6,P3,S4,48.56,61.98,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,78
WO000079,20240806,,A002,EQ0005,SV1,R021,WT4,P3,S2,34.03,43.5,False,True,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,79
WO000080,20240409,,A005,EQ0007,SV3,R030,WT4,P3,S2,63.92,62.6,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,80
WO000081,20241010,,A002,EQ0021,SV5,R019,WT6,P2,S2,20.8,35.52,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,81
WO000082,20240620,20240626,A005,EQ0025,SV2,R024,WT4,P3,S4,58.69,47.9,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,82
WO000083,20241127,,A005,EQ0010,SV8,R028,WT2,P3,S2,61.3,32.19,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,83
WO000084,20240805,20240810,A001,EQ0018,SV4,R026,WT1,P3,S4,40.33,33.26,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,84
WO000085,20240720,20240723,A001,EQ0027,SV3,R005,WT1,P3,S4,34.22,19.8,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,85
WO000086,20241202,20241211,A001,EQ0018,SV8,R027,WT2,P4,S4,54.07,68.87,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,86
WO000087,20240622,20240701,A004,EQ0016,SV2,R023,WT2,P3,S4,59.8,65.06,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,87
WO000088,20240517,20240614,A004,EQ0003,SV2,R022,WT2,P4,S4,96.56,217.85,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,88
WO000089,20240515,,A006,EQ0019,SV4,R007,WT1,P1,S2,7.12,11.79,True,True,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,89
WO000090,20241116,20241122,A005,EQ0033,SV1,R014,WT2,P3,S5,58.79,44.06,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,90
WO000091,20241003,20241008,A003,EQ0026,SV6,R028,WT2,P3,S4,50.24,39.55,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,91
WO000092,20240229,20240306,A003,EQ0036,SV7,R028,WT2,P3,S4,30.83,42.65,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,92
WO000093,20240629,20240702,A006,EQ0006,SV3,R004,WT3,P2,S4,10.58,17.64,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,93
WO000094,20240515,,A006,EQ0001,SV7,R013,WT2,P3,S2,43.96,20.86,False,True,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,94
WO000095,20240824,20240828,A004,EQ0022,SV1,R019,WT2,P2,S4,18.53,31.13,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,95
WO000096,20240120,,A004,EQ0008,SV5,R003,WT1,P4,S2,53.44,31.68,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,96
WO000097,20240918,20240921,A005,EQ0024,SV6,R008,WT3,P2,S4,20.48,17.98,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,97
WO000098,20240928,,A003,EQ0037,SV4,R018,WT5,P2,S2,17.43,30.49,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,98
WO000099,20240323,20240411,A002,EQ0014,SV8,R020,WT1,P3,S4,37.57,146.97,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,99
WO000100,20240225,,A004,EQ0022,SV4,R004,WT5,P2,S2,20.09,27.12,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,100
WO000101,20240817,,A006,EQ0028,SV8,R013,WT5,P1,S2,5.43,3.56,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,101
WO000102,20240404,,A005,EQ0007,SV6,R020,WT6,P3,S2,54.23,48.31,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,102
WO000103,20241210,20241216,A003,EQ0036,SV2,R030,WT5,P3,S4,40.46,45.98,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,103
WO000104,20241010,,A003,EQ0009,SV7,R030,WT2,P2,S3,13.59,11.34,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,104
WO000105,20241215,20241218,A005,EQ0033,SV1,R010,WT1,P3,S4,25.7,19.26,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,105
WO000106,20240714,,A001,EQ0027,SV2,R021,WT1,P3,S3,46.5,42.96,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,106
WO000107,20241209,20241219,A006,EQ0006,SV7,R017,WT1,P3,S4,55.33,72.2,False,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,107
WO000108,20240106,,A003,EQ0029,SV8,R007,WT2,P2,S2,21.19,21.81,True,True,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,108
WO000109,20240416,20240419,A004,EQ0008,SV4,R016,WT6,P2,S4,20.18,20.79,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,109
WO000110,20240101,,A005,EQ0024,SV6,R005,WT1,P4,S3,47.74,39.82,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,110
WO000111,20240904,,A004,EQ0039,SV6,R004,WT2,P3,S2,64.03,80.29,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,111
WO000112,20240705,,A004,EQ0039,SV6,R011,WT6,P1,S2,3.46,3.39,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,112
WO000113,20240415,,A003,EQ0035,SV8,R008,WT1,P4,S1,44.71,36.72,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,113
WO000114,20240421,20240425,A005,EQ0020,SV1,R005,WT1,P2,S4,18.29,26.48,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,114
WO000115,20240823,,A001,EQ0023,SV2,R002,WT2,P3,S2,61.07,61.27,False,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,115
WO000116,20240306,20240311,A003,EQ0013,SV8,R018,WT1,P3,S4,62.81,33.24,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,116
WO000117,20240707,20240728,A003,EQ0037,SV5,R001,WT2,P4,S4,96.45,163.94,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,117
WO000118,20240812,,A005,EQ0020,SV5,R024,WT2,P4,S2,55.52,73.1,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,118
WO000119,20240328,20240329,A005,EQ0031,SV4,R003,WT3,P2,S4,10.43,6.45,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,119
WO000120,20240324,,A001,EQ0015,SV3,R020,WT1,P3,S2,27.54,26.1,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,120
WO000121,20240509,,A006,EQ0030,SV2,R005,WT3,P2,S2,16.08,12.74,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,121
WO000122,20240804,,A003,EQ0009,SV4,R019,WT1,P3,S3,44.49,65.34,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,122
WO000123,20240403,,A006,EQ0030,SV1,R005,WT2,P3,S2,29.53,27.92,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,123
WO000124,20240518,,A003,EQ0002,SV3,R014,WT1,P1,S2,4.85,5.19,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,124
WO000125,20240717,20240718,A002,EQ0005,SV8,R020,WT4,P1,S4,5.3,5.41,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,125
WO000126,20240309,20240310,A001,EQ0015,SV2,R006,WT3,P1,S4,5.98,3.55,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,126
WO000127,20240727,20240731,A005,EQ0020,SV6,R004,WT1,P2,S4,13.87,27.66,True,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,127
WO000128,20240220,,A003,EQ0029,SV1,R020,WT3,P2,S2,12.6,18.39,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,128
WO000129,20240222,20240302,A001,EQ0015,SV6,R020,WT2,P4,S4,85.93,69.39,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,129
WO000130,20240327,20240404,A006,EQ0001,SV3,R013,WT5,P3,S4,52.3,62.65,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,130
WO000131,20240414,,A002,EQ0014,SV6,R004,WT6,P3,S2,35.91,59.75,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,131
WO000132,20240111,20240118,A001,EQ0018,SV4,R010,WT1,P4,S4,43.31,49.0,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,132
WO000133,20241217,,A004,EQ0022,SV7,R007,WT2,P3,S1,62.65,179.74,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,133
WO000134,20240422,20240501,A003,EQ0026,SV6,R020,WT2,P2,S4,18.37,69.14,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,134
WO000135,20241021,20241029,A005,EQ0010,SV5,R010,WT4,P4,S4,55.27,57.93,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,135
WO000136,20241126,20241202,A005,EQ0025,SV6,R012,WT1,P3,S4,47.6,41.19,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,136
WO000137,20241020,20241025,A003,EQ0026,SV8,R008,WT2,P3,S4,48.76,35.56,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,137
WO000138,20241031,20241103,A005,EQ0032,SV5,R006,WT5,P4,S4,50.32,21.95,False,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,138
WO000139,20240206,,A002,EQ0021,SV2,R025,WT2,P3,S1,32.79,61.21,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,139
WO000140,20240516,20240524,A005,EQ0033,SV1,R015,WT5,P3,S5,63.09,60.1,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,140
WO000141,20240930,,A003,EQ0009,SV5,R018,WT1,P4,S2,75.53,120.56,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,141
WO000142,20240729,,A003,EQ0029,SV4,R009,WT6,P3,S2,32.78,56.94,False,False,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,142
WO000143,20240103,,A003,EQ0002,SV5,R003,WT4,P3,S2,56.78,39.85,False,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,143
WO000144,20240726,20240727,A002,EQ0005,SV6,R023,WT2,P1,S4,4.87,3.64,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,144
WO000145,20241021,20241023,A003,EQ0035,SV2,R022,WT1,P1,S4,5.61,12.9,True,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,145
WO000146,20241030,20241104,A005,EQ0020,SV6,R002,WT2,P3,S4,36.98,39.69,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,146
WO000147,20240520,20240521,A005,EQ0025,SV8,R027,WT3,P1,S4,3.05,2.56,True,True,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,147
WO000148,20240327,,A005,EQ0025,SV3,R026,WT1,P4,S1,52.89,37.68,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,148
WO000149,20240423,20240424,A006,EQ0028,SV8,R026,WT6,P1,S4,7.08,7.37,True,True,ServiceDesk,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,149
WO000150,20240418,,A005,EQ0010,SV8,R014,WT4,P3,S1,49.89,103.88,False,False,ERP,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,150
WO000151,20240506,20240511,A004,EQ0008,SV4,R021,WT6,P2,S4,19.37,38.54,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,151
WO000152,20240420,,A003,EQ0002,SV7,R001,WT2,P4,S1,43.42,51.79,False,True,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,152
WO000153,20240616,20240621,A003,EQ0035,SV8,R018,WT2,P2,S5,18.5,39.85,True,False,CMMS,training_fact_ordenestrabajo_export.csv,2026-06-23T00:00:00,153
