ProjectID,ProjectName,ProjectType,ClientID,AreaID,ResponsibleID,PriorityID,PlannedStartDate,PlannedEndDate,_SourceFile,_ExportedAt,_LegacyRowNumber
PR0047,Proyecto TechEng 0047,Digitalización,C015,A001,R005,P2,2024-07-21,2024-09-20,training_dim_proyecto_export.csv,2026-06-23T00:00:00,47
PR0048,Proyecto TechEng 0048,Expansión,C013,A003,R007,P2,2024-07-13,2024-11-20,training_dim_proyecto_export.csv,2026-06-23T00:00:00,48
PR0049,Proyecto TechEng 0049,Implementación,C011,A006,R003,P2,2024-10-07,2025-02-23,training_dim_proyecto_export.csv,2026-06-23T00:00:00,49
PR0050,Proyecto TechEng 0050,Implementación,C002,A004,R018,P4,2024-08-19,2024-11-07,training_dim_proyecto_export.csv,2026-06-23T00:00:00,50
PR0051,Proyecto TechEng 0051,Digitalización,C002,A006,R011,P1,2024-01-27,2024-06-15,training_dim_proyecto_export.csv,2026-06-23T00:00:00,51
PR0052,Proyecto TechEng 0052,Expansión,C013,A001,R017,P2,2024-04-15,2024-09-26,training_dim_proyecto_export.csv,2026-06-23T00:00:00,52
PR0053,Proyecto TechEng 0053,Implementación,C001,A001,R018,P2,2024-03-05,2024-08-04,training_dim_proyecto_export.csv,2026-06-23T00:00:00,53
PR0054,Proyecto TechEng 0054,Digitalización,C001,A006,R022,P3,2024-09-25,2025-02-16,training_dim_proyecto_export.csv,2026-06-23T00:00:00,54
PR0055,Proyecto TechEng 0055,Implementación,C005,A001,R017,P3,13/01/2024,2024-05-17,training_dim_proyecto_export.csv,2026-06-23T00:00:00,55
PR0056,Proyecto TechEng 0056,Digitalización,C018,A001,R020,P3,2024-03-15,2024-05-24,training_dim_proyecto_export.csv,2026-06-23T00:00:00,56
PR0057,Proyecto TechEng 0057,Digitalización,C010,A003,R018,P1,2024-08-06,2025-01-02,training_dim_proyecto_export.csv,2026-06-23T00:00:00,57
PR0058,Proyecto TechEng 0058,Implementación,C015,A006,R020,P2,11/09/2024,2024-12-04,training_dim_proyecto_export.csv,2026-06-23T00:00:00,58
PR0059,Proyecto TechEng 0059,Digitalización,C009,A005,R019,P4,2024-07-03,2024-10-20,training_dim_proyecto_export.csv,2026-06-23T00:00:00,59
PR0060,Proyecto TechEng 0060,Expansión,C004,A001,R010,P3,2024-11-11,2025-01-27,training_dim_proyecto_export.csv,2026-06-23T00:00:00,60
PR0061,Proyecto TechEng 0061,Expansión,C008,A006,R008,P3,2024-12-02,2025-02-16,training_dim_proyecto_export.csv,2026-06-23T00:00:00,61
PR0062,Proyecto TechEng 0062,Implementación,C002,A006,R024,P3,2024-02-18,2024-04-11,training_dim_proyecto_export.csv,2026-06-23T00:00:00,62
PR0063,Proyecto TechEng 0063,Optimización,C016,A005,R011,P3,2024-12-14,2025-06-06,training_dim_proyecto_export.csv,2026-06-23T00:00:00,63
PR0064,Proyecto TechEng 0064,Optimización,C004,A006,R017,P1,2024-08-12,2024-10-03,training_dim_proyecto_export.csv,2026-06-23T00:00:00,64
PR0065,Proyecto TechEng 0065,Mantenimiento mayor,C008,A002,R006,P2,20/08/2024,2024-10-01,training_dim_proyecto_export.csv,2026-06-23T00:00:00,65
PR0066,Proyecto TechEng 0066,Implementación,C020,A006,R013,P3,2024-02-04,2024-07-23,training_dim_proyecto_export.csv,2026-06-23T00:00:00,66
PR0067,Proyecto TechEng 0067,Expansión,C012,A002,R016,P2,2024-08-15,2024-12-06,training_dim_proyecto_export.csv,2026-06-23T00:00:00,67
PR0068,Proyecto TechEng 0068,Digitalización,C010,A005,R019,P4,2024-09-22,2024-12-26,training_dim_proyecto_export.csv,2026-06-23T00:00:00,68
PR0069,Proyecto TechEng 0069,Expansión,C011,A004,R016,P3,2024-07-31,2024-12-18,training_dim_proyecto_export.csv,2026-06-23T00:00:00,69
PR0070,Proyecto TechEng 0070,Implementación,C016,A005,R011,P3,2024-01-31,2024-04-27,training_dim_proyecto_export.csv,2026-06-23T00:00:00,70
PR0071,Proyecto TechEng 0071,Implementación,C006,A004,R029,P4,2024-07-10,2024-08-28,training_dim_proyecto_export.csv,2026-06-23T00:00:00,71
PR0072,Proyecto TechEng 0072,Expansión,C013,A004,R016,P3,2024-12-08,2025-04-26,training_dim_proyecto_export.csv,2026-06-23T00:00:00,72
PR0073,Proyecto TechEng 0073,Optimización,C018,A004,R025,P4,2024-09-21,2024-11-16,training_dim_proyecto_export.csv,2026-06-23T00:00:00,73
PR0074,Proyecto TechEng 0074,Digitalización,C012,A005,R023,P3,2024-02-20,2024-06-11,training_dim_proyecto_export.csv,2026-06-23T00:00:00,74
PR0075,Proyecto TechEng 0075,Expansión,C009,A005,R017,P4,2024-12-17,2025-06-07,training_dim_proyecto_export.csv,2026-06-23T00:00:00,75
PR0076,Proyecto TechEng 0076,Implementación,C003,A001,R027,P2,2024-12-16,2025-06-04,training_dim_proyecto_export.csv,2026-06-23T00:00:00,76
PR0077,Proyecto TechEng 0077,Implementación,C005,A005,R004,P3,2024-03-02,2024-05-25,training_dim_proyecto_export.csv,2026-06-23T00:00:00,77
PR0078,Proyecto TechEng 0078,Implementación,C019,A004,R028,P3,2024-10-20,2025-03-16,training_dim_proyecto_export.csv,2026-06-23T00:00:00,78
PR0079,Proyecto TechEng 0079,Implementación,C011,A002,R026,P1,2024-05-28,2024-09-26,training_dim_proyecto_export.csv,2026-06-23T00:00:00,79
PR0080,Proyecto TechEng 0080,Implementación,C007,A004,R016,P2,2024-08-05,2024-11-14,training_dim_proyecto_export.csv,2026-06-23T00:00:00,80
