EquipmentID,EquipmentName,EquipmentType,Criticality,AreaID,Manufacturer,Model,CommissioningDate,ActiveFlag,_SourceFile,_ExportedAt,_LegacyRowNumber
EQ0017,Equipo Sintético 0017,Sensor,Media,A006,Kuntur Labs,M-542,2019-12-06,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,17
EQ0018,Equipo Sintético 0018,Servidor OT,Media,A001,AndesTech,M-746,2020-05-18,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,18
EQ0019,Equipo Sintético 0019,PLC,Media,A006,NovaControls,M-696,2020-04-09,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,19
EQ0020,Equipo Sintético 0020,Compresor,Alta,A005,AndesTech,M-488,2022-06-25,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,20
EQ0021,Equipo Sintético 0021,Transformador,Media,A002,NovaControls,M-377,2017-06-16,False,training_dim_equipo_export.csv,2026-06-23T00:00:00,21
EQ0022,Equipo Sintético 0022,Sensor,Alta,A004,Kuntur Labs,M-663,2017-07-31,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,22
EQ0023,Equipo Sintético 0023,Tablero,Media,A001,NovaControls,M-226,2018-12-07,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,23
EQ0024,Equipo Sintético 0024,Servidor OT,Baja,A005,Kuntur Labs,M-625,2020-05-29,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,24
EQ0025,Equipo Sintético 0025,Compresor,Alta,A005,InnovaPower,M-185,2021-09-13,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,25
EQ0026,Equipo Sintético 0026,Transportador,Alta,A003,Aster Systems,M-684,2020-06-08,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,26
EQ0027,Equipo Sintético 0027,Sensor,Media,A001,InnovaPower,M-665,2020-02-03,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,27
EQ0028,Equipo Sintético 0028,Sensor,Media,A006,NovaControls,M-175,2023-07-27,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,28
EQ0029,Equipo Sintético 0029,Bomba,Media,A003,Aster Systems,M-780,2018-02-16,False,training_dim_equipo_export.csv,2026-06-23T00:00:00,29
EQ0030,Equipo Sintético 0030,PLC,Media,A006,Kuntur Labs,M-473,2021-01-01,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,30
EQ0031,Equipo Sintético 0031,Transportador,Baja,A005,NovaControls,M-807,2020-10-18,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,31
EQ0032,Equipo Sintético 0032,Transportador,Media,A005,Aster Systems,M-137,2020-04-25,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,32
EQ0033,Equipo Sintético 0033,Servidor OT,Media,A005,NovaControls,M-261,2022-08-28,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,33
EQ0034,Equipo Sintético 0034,Transportador,Baja,A002,Aster Systems,M-544,2018-11-14,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,34
EQ0035,Equipo Sintético 0035,Transportador,Alta,A003,Aster Systems,M-269,2023-09-05,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,35
EQ0036,Equipo Sintético 0036,Servidor OT,Alta,A003,InnovaPower,M-396,2019-04-28,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,36
EQ0037,Equipo Sintético 0037,Tablero,Alta,A003,Aster Systems,M-693,2020-10-25,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,37
EQ0038,Equipo Sintético 0038,PLC,Media,A001,NovaControls,M-229,2020-08-24,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,38
EQ0039,Equipo Sintético 0039,Compresor,Media,A004,AndesTech,M-709,2022-12-13,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,39
EQ0040,Equipo Sintético 0040,Sensor,Alta,A001,AndesTech,M-192,2020-01-28,True,training_dim_equipo_export.csv,2026-06-23T00:00:00,40
