ProjectFactID,ProjectID,DateKey,AreaID,ClientID,ResponsibleID,StatusID,PriorityID,PlannedProgressPct,ActualProgressPct,PlannedCost,ActualCost,RiskScore,DelayDays
PF00023,PR0023,20250227,A015,C015,R021,S4,P4,63.0,58.5,355145.05,249543.81,39.4,7
PF00024,PR0024,20250608,A002,C008,R011,S2,P2,99.8,85.0,666778.07,728739.6,99.9,33
PF00025,PR0025,20250224,A003,C017,R001,S4,P4,56.1,40.3,551900.25,600684.61,39.0,3
PF00026,PR0026,20250421,A004,C019,R017,S4,P3,84.9,74.6,680437.29,640251.99,79.5,4
PF00027,PR0027,20250123,A006,C009,R003,S3,P3,84.3,83.6,652113.78,746079.74,51.5,6
PF00028,PR0028,20250123,A008,C017,R005,S2,P2,91.6,85.4,405289.75,645395.9,22.7,4
PF00029,PR0029,20250409,A001,C008,R025,S4,P4,41.5,34.9,209068.91,245523.49,26.9,2
PF00030,PR0030,20250415,A008,C012,R028,S2,P3,94.3,82.0,355004.67,481483.89,33.3,3
PF00031,PR0031,20250630,A003,C003,R023,S2,P4,83.5,79.8,371547.56,393401.0,1.0,1
PF00032,PR0032,20250426,A002,C010,R020,S4,P2,75.1,50.9,562616.61,612653.65,75.4,34
PF00033,PR0033,20250608,A008,C010,R019,S2,P1,92.2,82.1,299515.73,524994.02,75.8,5
PF00034,PR0034,20250612,A014,C004,R015,S4,P2,91.7,83.1,700851.64,915794.53,19.0,5
PF00035,PR0035,20250328,A006,C015,R015,S4,P3,61.0,48.6,242691.36,231606.29,50.4,2
PF00036,PR0036,20250208,A006,C004,R019,S4,P3,35.4,33.0,122134.16,128650.51,29.2,4
PF00037,PR0037,20250526,A001,C016,R027,S2,P1,86.3,71.8,276927.91,298226.0,27.7,3
PF00038,PR0038,20250519,A011,C011,R018,S4,P2,54.4,41.7,645924.09,648888.89,36.3,7
PF00039,PR0039,20250116,A016,C005,R007,S4,P1,82.6,81.8,122167.36,100928.77,91.5,3
PF00040,PR0040,20250513,A002,C005,R013,S4,P3,47.5,34.4,504001.9,495211.42,43.8,39
PF00041,PR0041,20250114,A009,C001,R029,S1,P3,67.6,60.1,629120.11,627004.13,66.3,1
PF00042,PR0042,20250302,A010,C014,R006,S2,P3,62.5,46.1,511205.02,448791.96,87.4,32
PF00043,PR0043,20250522,A002,C017,R027,S4,P3,79.2,47.6,287579.04,348421.93,84.8,15
PF00044,PR0044,20250228,A009,C003,R021,S4,P2,73.4,60.8,211192.9,179105.35,49.7,6
PF00045,PR0045,20250106,A017,C018,R019,S3,P4,49.4,37.8,145889.42,152727.03,43.9,8
PF00046,PR0046,20250526,A004,C019,R011,S2,P2,95.1,91.5,465863.86,416829.62,55.8,8
PF00047,PR0047,20250606,A006,C003,R006,S2,P1,98.4,83.4,493673.37,546512.66,37.4,3
PF00048,PR0048,20250122,A016,C006,R002,S2,P3,86.6,85.3,370303.62,411331.04,70.8,4
PF00049,PR0049,20250106,A017,C006,R002,S3,P4,49.8,33.8,599258.65,686684.35,22.7,4
PF00050,PR0050,20250510,A005,C010,R001,S1,P3,40.2,37.1,584504.94,518815.46,54.9,3
PF00051,PR0051,20250102,A009,C009,R012,S2,P3,89.2,77.7,549659.14,655438.92,53.3,1
PF00052,PR0052,20250311,A006,C002,R020,S2,P3,73.2,60.2,579181.02,550745.29,47.7,3
PF00053,PR0053,20250302,A015,C013,R030,S4,P2,83.2,81.3,654083.16,724928.6,1.3,2
PF00054,PR0054,20250130,A009,C001,R008,S2,P2,87.5,84.4,483957.23,437209.62,60.3,4
PF00055,PR0055,20250415,A004,C008,R009,S3,P3,88.2,74.7,365951.92,344076.71,65.2,3
PF00056,PR0056,20250623,A008,C002,R024,S4,P1,78.8,74.7,449559.55,542196.33,85.9,5
PF00057,PR0057,20250519,A001,C016,R006,S4,P2,79.8,64.9,168905.19,199892.05,54.2,3
PF00058,PR0058,20250608,A017,C010,R013,S4,P4,65.5,52.0,153173.43,156775.53,53.5,7
PF00059,PR0059,20250218,A008,C006,R017,S2,P2,55.4,50.0,532289.53,763309.17,36.8,3
PF00060,PR0060,20250601,A015,C006,R005,S4,P4,73.5,64.5,320761.35,381988.49,31.4,3
PF00061,PR0061,20250617,A012,C017,R024,S2,P2,98.4,87.2,177008.07,179151.31,33.8,6
PF00062,PR0062,20250110,A013,C007,R025,S4,P3,59.1,53.0,93986.9,98032.44,27.2,1
PF00063,PR0063,20250221,A013,C006,R002,S3,P2,62.4,59.9,718761.22,649477.87,42.2,2
PF00064,PR0064,20250418,A012,C008,R027,S4,P4,57.6,54.2,479621.7,620056.19,74.5,3
PF00065,PR0065,20250315,A008,C010,R014,S3,P3,56.1,41.1,552071.19,816465.78,49.9,7
PF00066,PR0066,20250423,A012,C005,R024,S4,P2,55.5,41.6,419649.09,454301.97,37.3,5
PF00067,PR0067,20250612,A011,C017,R017,S4,P4,71.2,62.7,432533.52,354124.47,40.9,5
PF00068,PR0068,20250129,A017,C011,R015,S2,P2,85.5,73.7,367107.3,371911.32,15.5,1
PF00069,PR0069,20250208,A005,C008,R010,S2,P2,86.3,79.7,682255.73,613904.08,41.0,8
PF00070,PR0070,20250529,A002,C020,R019,S3,P4,45.0,23.4,321212.96,378751.34,66.7,33
PF00071,PR0071,20250518,A011,C003,R002,S4,P1,58.1,47.5,620714.31,672035.56,42.4,2
PF00072,PR0072,20250412,A006,C005,R018,S3,P4,69.4,65.2,459278.64,462185.55,25.7,5
PF00073,PR0073,20250128,A012,C017,R025,S2,P2,84.4,83.8,336460.46,335058.79,21.0,4
PF00074,PR0074,20250505,A002,C003,R013,S2,P4,82.3,55.1,173383.83,159982.17,78.5,14
PF00075,PR0075,20250127,A008,C003,R027,S2,P1,62.3,49.8,518473.28,563301.55,67.7,6
PF00076,PR0076,20250614,A017,C014,R009,S2,P4,95.5,80.1,137311.18,176929.5,27.8,3
PF00077,PR0077,20250515,A002,C013,R024,S4,P2,49.9,17.4,88107.72,83921.6,88.0,40
PF00078,PR0078,20250507,A012,C011,R010,S4,P3,89.2,74.4,437468.16,432089.43,78.5,7
PF00079,PR0079,20250616,A004,C019,R029,S2,P2,83.4,78.8,665512.48,483881.74,23.7,5
PF00080,PR0080,20250131,A004,C006,R006,S4,P3,97.9,91.1,407529.89,398471.34,61.5,5
