MaintenanceID,DateKey,EquipmentID,AreaID,WorkTypeID,PriorityID,FailureMode,SystemCategory,DowntimeHours,RepairHours,MaintenanceCost,PlannedFlag
MT000043,20250529,EQ0038,A006,WT1,P4,Calibración,Eléctrico,1.86,0.75,1766.5,True
MT000044,20250112,EQ0020,A001,WT1,P1,Calibración,Energía,4.15,3.04,3884.63,True
MT000045,20250325,EQ0007,A001,WT2,P2,Sobrecalentamiento,Control,4.88,3.73,1831.27,False
MT000046,20250315,EQ0017,A005,WT1,P3,Falla eléctrica,TI/OT,0.84,0.65,796.01,True
MT000047,20250530,EQ0031,A003,WT1,P2,Falla eléctrica,Eléctrico,5.17,2.72,1592.42,True
MT000048,20250413,EQ0028,A001,WT2,P1,Calibración,Eléctrico,21.57,11.46,19462.83,False
MT000049,20250303,EQ0017,A005,WT2,P3,Falla eléctrica,Energía,2.38,2.14,1136.25,False
MT000050,20250624,EQ0005,A004,WT1,P3,Falla eléctrica,Control,1.36,0.68,489.39,True
MT000051,20250425,EQ0019,A006,WT2,P3,Calibración,Mecánico,7.52,6.18,3025.27,False
MT000052,20250516,EQ0005,A004,WT2,P3,Desgaste,TI/OT,4.86,3.2,1881.31,False
MT000053,20250325,EQ0036,A002,WT2,P4,Falla eléctrica,TI/OT,2.84,1.34,1173.12,False
MT000054,20250622,EQ0007,A001,WT1,P2,Vibración,Energía,3.97,2.28,2020.71,True
MT000055,20250112,EQ0004,A004,WT1,P4,No aplica,TI/OT,2.0,1.47,1446.63,True
MT000056,20250408,EQ0015,A002,WT1,P2,Falla eléctrica,Eléctrico,2.91,1.62,2686.43,True
MT000057,20250507,EQ0012,A004,WT2,P2,Sobrecalentamiento,Energía,7.68,3.77,1829.96,False
MT000058,20250204,EQ0014,A006,WT1,P3,Falla eléctrica,Mecánico,5.81,2.98,4221.12,True
MT000059,20250505,EQ0038,A006,WT2,P2,Vibración,Eléctrico,5.63,4.41,3756.49,False
MT000060,20250421,EQ0016,A005,WT1,P2,Sobrecalentamiento,Energía,4.35,1.79,1306.68,True
MT000061,20250615,EQ0039,A005,WT2,P1,Sobrecalentamiento,Energía,0.47,0.32,385.0,False
MT000062,20250308,EQ0016,A005,WT1,P1,Falla eléctrica,Control,5.42,3.7,3846.46,True
MT000063,20250402,EQ0040,A003,WT1,P2,Desgaste,Control,2.72,1.27,621.15,True
MT000064,20250224,EQ0014,A006,WT1,P3,Falla eléctrica,TI/OT,2.26,2.04,917.13,True
MT000065,20250312,EQ0030,A002,WT1,P3,Falla eléctrica,Eléctrico,4.76,3.2,2288.85,True
MT000066,20250425,EQ0025,A003,WT2,P2,Desgaste,Mecánico,4.1,2.46,3705.62,False
MT000067,20250124,EQ0023,A005,WT1,P2,Calibración,Control,7.7,4.6,3634.47,True
MT000068,20250326,EQ0033,A003,WT2,P3,Vibración,TI/OT,2.36,1.8,1156.06,False
MT000069,20250222,EQ0017,A005,WT1,P3,Calibración,TI/OT,1.12,0.76,604.92,True
MT000070,20250119,EQ0006,A005,WT2,P3,No aplica,Energía,2.48,1.16,921.22,False
MT000071,20250607,EQ0023,A005,WT1,P4,Desgaste,TI/OT,8.91,5.86,6195.76,True
MT000072,20250509,EQ0030,A002,WT2,P2,Calibración,Mecánico,5.33,3.12,1197.07,False
MT000073,20250122,EQ0040,A003,WT2,P3,Vibración,Energía,0.43,0.33,306.74,False
MT000074,20250304,EQ0036,A002,WT1,P3,Vibración,Eléctrico,1.48,0.79,453.85,True
MT000075,20250401,EQ0016,A005,WT1,P3,Calibración,TI/OT,5.67,2.78,2638.48,True
MT000076,20250323,EQ0012,A004,WT2,P3,Desgaste,Control,8.62,5.9,5185.76,False
MT000077,20250506,EQ0009,A005,WT2,P4,No aplica,Control,2.04,1.44,624.0,False
MT000078,20250601,EQ0009,A005,WT2,P4,Falla eléctrica,Energía,10.01,7.41,5378.7,False
MT000079,20250106,EQ0012,A004,WT2,P3,Vibración,Mecánico,2.03,0.95,1855.63,False
MT000080,20250123,EQ0001,A003,WT2,P3,No aplica,Energía,20.89,18.87,6530.03,False
MT000081,20250423,EQ0034,A005,WT1,P3,Falla eléctrica,Mecánico,4.01,2.5,3372.85,True
MT000082,20250511,EQ0011,A005,WT1,P4,Falla eléctrica,Control,4.3,2.62,873.66,True
MT000083,20250314,EQ0022,A003,WT1,P4,Calibración,Eléctrico,5.35,4.97,1576.56,True
MT000084,20250304,EQ0030,A002,WT1,P3,Vibración,TI/OT,0.58,0.45,272.11,True
MT000085,20250105,EQ0015,A002,WT1,P4,Falla eléctrica,Energía,2.65,1.66,769.29,True
MT000086,20250331,EQ0021,A005,WT2,P3,Calibración,TI/OT,9.61,6.28,8658.53,False
MT000087,20250609,EQ0013,A004,WT2,P1,Falla eléctrica,Control,1.96,1.02,1102.12,False
MT000088,20250608,EQ0037,A005,WT2,P4,Calibración,TI/OT,2.73,1.5,1974.43,False
MT000089,20250202,EQ0002,A004,WT1,P3,No aplica,Mecánico,4.75,2.17,4014.61,True
MT000090,20250107,EQ0034,A005,WT1,P3,Calibración,Eléctrico,2.37,1.31,2156.98,True
MT000091,20250204,EQ0009,A005,WT2,P2,Falla eléctrica,Eléctrico,9.85,5.64,1935.55,False
MT000092,20250324,EQ0005,A004,WT2,P3,Falla eléctrica,Eléctrico,3.65,2.01,2707.95,False
MT000093,20250508,EQ0011,A005,WT2,P3,Vibración,Energía,8.85,4.15,5863.39,False
MT000094,20250125,EQ0019,A006,WT1,P3,Desgaste,Mecánico,1.21,1.04,456.49,True
MT000095,20250404,EQ0014,A006,WT2,P3,Sobrecalentamiento,Energía,8.16,5.25,2450.17,False
MT000096,20250222,EQ0009,A005,WT1,P4,Desgaste,TI/OT,4.42,3.5,2385.83,True
MT000097,20250417,EQ0025,A003,WT2,P4,Desgaste,Energía,3.85,3.17,2601.79,False
MT000098,20250610,EQ0026,A001,WT2,P3,No aplica,Eléctrico,2.33,1.82,2039.77,False
MT000099,20250120,EQ0038,A006,WT1,P4,Sobrecalentamiento,Eléctrico,2.01,1.12,1352.42,True
MT000100,20250107,EQ0028,A001,WT1,P2,Desgaste,TI/OT,1.2,0.84,1073.9,True
MT000101,20250529,EQ0011,A005,WT2,P3,Desgaste,Mecánico,4.76,4.15,2731.66,False
MT000102,20250212,EQ0006,A005,WT1,P2,Desgaste,TI/OT,3.61,1.94,816.92,True
MT000103,20250406,EQ0003,A004,WT2,P3,Vibración,Eléctrico,0.58,0.48,187.27,False
MT000104,20250305,EQ0038,A006,WT2,P2,Calibración,Energía,3.78,3.03,1376.54,False
MT000105,20250202,EQ0003,A004,WT2,P2,Calibración,Eléctrico,5.72,4.97,2445.04,False
MT000106,20250315,EQ0029,A004,WT1,P3,Desgaste,TI/OT,4.69,3.34,1548.39,True
MT000107,20250420,EQ0031,A003,WT1,P3,Desgaste,Energía,4.16,3.04,3576.98,True
MT000108,20250418,EQ0031,A003,WT2,P2,Sobrecalentamiento,TI/OT,7.61,3.31,1465.21,False
MT000109,20250223,EQ0002,A004,WT2,P2,Sobrecalentamiento,Energía,4.15,3.22,2646.07,False
MT000110,20250128,EQ0023,A005,WT1,P3,Sobrecalentamiento,Mecánico,5.78,4.37,2833.65,True
MT000111,20250117,EQ0024,A006,WT2,P3,No aplica,TI/OT,8.9,6.89,8167.95,False
MT000112,20250210,EQ0018,A005,WT1,P4,Vibración,TI/OT,3.28,2.41,2510.63,True
MT000113,20250429,EQ0035,A003,WT2,P1,Vibración,Eléctrico,0.53,0.44,474.79,False
MT000114,20250312,EQ0001,A003,WT1,P3,Vibración,Mecánico,1.87,1.62,1531.68,True
MT000115,20250112,EQ0040,A003,WT2,P2,Falla eléctrica,Eléctrico,3.9,1.93,2000.74,False
MT000116,20250417,EQ0033,A003,WT2,P2,No aplica,Energía,2.07,1.11,1405.28,False
MT000117,20250609,EQ0013,A004,WT1,P4,Sobrecalentamiento,Eléctrico,1.96,0.96,1403.46,True
MT000118,20250613,EQ0013,A004,WT1,P2,Desgaste,Eléctrico,0.61,0.46,300.4,True
MT000119,20250329,EQ0040,A003,WT1,P2,Desgaste,Eléctrico,1.74,1.12,560.76,True
MT000120,20250626,EQ0003,A004,WT1,P2,Vibración,TI/OT,1.07,0.74,698.76,True
MT000121,20250516,EQ0032,A005,WT2,P3,Vibración,TI/OT,4.48,3.16,3957.49,False
MT000122,20250223,EQ0030,A002,WT1,P1,Calibración,Energía,2.13,0.85,1617.43,True
MT000123,20250326,EQ0006,A005,WT2,P3,Vibración,Mecánico,13.78,8.62,3438.78,False
MT000124,20250402,EQ0019,A006,WT1,P3,Sobrecalentamiento,Control,0.85,0.49,692.48,True
MT000125,20250118,EQ0019,A006,WT2,P2,Vibración,Energía,6.01,4.09,2262.71,False
MT000126,20250513,EQ0022,A003,WT1,P2,Desgaste,Control,0.32,0.2,165.91,True
MT000127,20250605,EQ0027,A006,WT1,P1,No aplica,Eléctrico,4.13,2.19,2670.51,True
MT000128,20250615,EQ0020,A001,WT1,P3,Falla eléctrica,Control,1.81,0.76,1418.92,True
MT000129,20250329,EQ0017,A005,WT2,P4,Sobrecalentamiento,Mecánico,8.21,7.72,3733.97,False
MT000130,20250215,EQ0038,A006,WT2,P2,Vibración,TI/OT,2.81,2.22,1962.24,False
MT000131,20250228,EQ0015,A002,WT1,P3,No aplica,Mecánico,0.95,0.84,470.28,True
MT000132,20250602,EQ0013,A004,WT2,P3,No aplica,Eléctrico,1.42,0.91,268.96,False
MT000133,20250102,EQ0024,A006,WT2,P3,Sobrecalentamiento,Eléctrico,3.62,1.93,1764.83,False
MT000134,20250608,EQ0037,A005,WT1,P4,Vibración,Eléctrico,9.43,8.01,4599.69,True
MT000135,20250525,EQ0016,A005,WT1,P2,Sobrecalentamiento,Control,11.16,5.85,2918.8,True
MT000136,20250415,EQ0018,A005,WT1,P2,No aplica,Eléctrico,1.05,0.55,280.97,True
MT000137,20250422,EQ0014,A006,WT1,P1,Sobrecalentamiento,TI/OT,3.32,2.3,692.81,True
MT000138,20250423,EQ0008,A004,WT1,P2,Sobrecalentamiento,Control,1.66,0.94,580.24,True
MT000139,20250527,EQ0019,A006,WT1,P4,Sobrecalentamiento,TI/OT,1.27,1.06,782.6,True
MT000140,20250325,EQ0030,A002,WT1,P1,Sobrecalentamiento,Energía,1.46,0.69,1338.4,True
MT000141,20250105,EQ0037,A005,WT2,P2,No aplica,Energía,4.74,3.57,4114.14,False
MT000142,20250117,EQ0012,A004,WT1,P4,Vibración,Eléctrico,0.8,0.37,492.63,True
MT000143,20250114,EQ0001,A003,WT1,P3,Sobrecalentamiento,Energía,3.85,2.41,3214.09,True
MT000144,20250410,EQ0005,A004,WT2,P1,Sobrecalentamiento,Mecánico,4.17,3.39,3773.98,False
MT000145,20250122,EQ0013,A004,WT2,P3,No aplica,Eléctrico,2.89,1.97,2468.36,False
MT000146,20250521,EQ0024,A006,WT1,P3,Sobrecalentamiento,Mecánico,1.96,1.11,1049.46,True
MT000147,20250505,EQ0012,A004,WT1,P3,Calibración,Mecánico,2.09,1.96,1857.06,True
MT000148,20250319,EQ0034,A005,WT1,P3,Falla eléctrica,Control,3.9,2.01,2245.5,True
MT000149,20250327,EQ0039,A005,WT1,P3,No aplica,Eléctrico,2.73,2.13,504.51,True
MT000150,20250224,EQ0033,A003,WT2,P4,No aplica,Mecánico,4.7,2.79,1521.07,False
MT000151,20250624,EQ0027,A006,WT1,P2,Desgaste,Control,1.71,1.13,437.57,True
MT000152,20250405,EQ0036,A002,WT2,P2,Desgaste,Energía,8.69,6.08,7990.39,False
MT000153,20250629,EQ0004,A004,WT1,P4,Calibración,Energía,0.69,0.39,530.15,True
MT000154,20250606,EQ0005,A004,WT2,P4,Calibración,Energía,8.87,8.22,2173.89,False
MT000155,20250208,EQ0039,A005,WT1,P1,No aplica,Eléctrico,1.69,1.2,1044.67,True
MT000156,20250414,EQ0004,A004,WT2,P3,Desgaste,Eléctrico,2.02,1.84,1709.41,False
MT000157,20250416,EQ0004,A004,WT2,P3,Vibración,Control,8.99,4.69,5327.03,False
MT000158,20250310,EQ0026,A001,WT2,P3,Falla eléctrica,Eléctrico,11.45,6.61,3462.61,False
MT000159,20250522,EQ0025,A003,WT1,P2,Desgaste,Control,2.79,1.41,2423.47,True
MT000160,20250320,EQ0032,A005,WT2,P2,Vibración,Control,3.66,1.61,3018.47,False
MT000161,20250309,EQ0027,A006,WT1,P4,Desgaste,Energía,2.35,2.22,1379.93,True
MT000162,20250221,EQ0024,A006,WT2,P3,Falla eléctrica,Eléctrico,11.36,4.82,3354.04,False
MT000163,20250428,EQ0012,A004,WT1,P2,Falla eléctrica,Energía,2.35,1.41,766.66,True
MT000164,20250124,EQ0016,A005,WT1,P4,Vibración,TI/OT,3.47,2.11,2948.2,True
MT000165,20250531,EQ0011,A005,WT1,P2,Falla eléctrica,Mecánico,5.9,3.98,2593.25,True
MT000166,20250309,EQ0038,A006,WT1,P2,No aplica,Energía,6.74,5.48,5987.43,True
MT000167,20250629,EQ0008,A004,WT1,P3,Sobrecalentamiento,TI/OT,0.56,0.39,188.88,True
MT000168,20250608,EQ0024,A006,WT2,P2,No aplica,TI/OT,10.46,4.24,4511.73,False
MT000169,20250215,EQ0016,A005,WT1,P4,Sobrecalentamiento,TI/OT,1.48,0.97,766.41,True
MT000170,20250611,EQ0009,A005,WT1,P2,Calibración,Mecánico,3.16,2.48,1699.52,True
MT000171,20250513,EQ0030,A002,WT1,P1,Falla eléctrica,Eléctrico,2.11,1.31,417.84,True
MT000172,20250612,EQ0006,A005,WT1,P4,Vibración,Eléctrico,1.71,1.01,1562.65,True
MT000173,20250215,EQ0032,A005,WT1,P3,Vibración,Energía,4.34,2.37,1326.06,True
MT000174,20250209,EQ0032,A005,WT1,P2,Sobrecalentamiento,Control,2.74,1.54,2382.37,True
MT000175,20250617,EQ0009,A005,WT2,P2,Calibración,Mecánico,10.68,4.58,4230.98,False
MT000176,20250318,EQ0004,A004,WT2,P2,No aplica,Eléctrico,10.8,6.14,3991.62,False
MT000177,20250630,EQ0001,A003,WT2,P4,Sobrecalentamiento,TI/OT,5.38,2.52,4966.39,False
MT000178,20250303,EQ0023,A005,WT1,P3,Vibración,Control,5.62,5.3,4918.44,True
MT000179,20250109,EQ0005,A004,WT1,P3,No aplica,TI/OT,2.54,2.26,2296.3,True
MT000180,20250307,EQ0024,A006,WT2,P3,Falla eléctrica,Mecánico,2.91,2.09,2446.46,False
MT000181,20250108,EQ0030,A002,WT1,P2,Vibración,Eléctrico,4.02,3.58,3570.39,True
MT000182,20250302,EQ0005,A004,WT2,P2,No aplica,Control,1.01,0.44,504.21,False
MT000183,20250114,EQ0025,A003,WT2,P4,Falla eléctrica,TI/OT,2.33,1.14,1998.75,False
MT000184,20250622,EQ0006,A005,WT2,P4,No aplica,Energía,1.43,1.32,322.96,False
MT000185,20250110,EQ0022,A003,WT2,P3,No aplica,TI/OT,1.12,0.66,314.03,False
MT000186,20250627,EQ0007,A001,WT2,P3,Vibración,Control,0.86,0.62,786.78,False
MT000187,20250512,EQ0017,A005,WT1,P3,Falla eléctrica,TI/OT,3.87,2.24,1038.18,True
MT000188,20250531,EQ0009,A005,WT1,P1,Sobrecalentamiento,Mecánico,0.7,0.52,641.59,True
MT000189,20250412,EQ0037,A005,WT2,P1,Falla eléctrica,Control,5.09,4.66,3423.13,False
MT000190,20250120,EQ0009,A005,WT1,P2,Sobrecalentamiento,Control,2.18,1.6,1355.97,True
MT000191,20250430,EQ0020,A001,WT1,P3,Vibración,Energía,0.42,0.32,201.81,True
MT000192,20250320,EQ0033,A003,WT1,P3,Desgaste,Eléctrico,3.28,2.45,1162.86,True
MT000193,20250409,EQ0029,A004,WT2,P3,Falla eléctrica,Control,3.83,2.61,754.07,False
MT000194,20250524,EQ0040,A003,WT1,P3,Calibración,Control,4.55,2.34,2924.4,True
MT000195,20250116,EQ0016,A005,WT1,P4,Desgaste,Control,2.88,2.66,1594.71,True
MT000196,20250502,EQ0014,A006,WT1,P2,No aplica,TI/OT,3.87,2.81,2067.79,True
MT000197,20250628,EQ0030,A002,WT2,P2,Falla eléctrica,Energía,7.28,3.41,4873.44,False
MT000198,20250220,EQ0032,A005,WT2,P2,Falla eléctrica,TI/OT,0.73,0.64,633.76,False
MT000199,20250205,EQ0017,A005,WT1,P2,Falla eléctrica,Eléctrico,3.64,1.87,1508.65,True
MT000200,20250622,EQ0013,A004,WT1,P3,Calibración,Control,10.53,4.87,6573.53,True
MT000201,20250626,EQ0033,A003,WT1,P4,Sobrecalentamiento,Energía,0.96,0.85,758.24,True
MT000202,20250305,EQ0007,A001,WT2,P2,Desgaste,Mecánico,2.01,1.29,1809.73,False
MT000203,20250112,EQ0009,A005,WT1,P2,No aplica,TI/OT,3.47,3.24,3226.81,True
MT000204,20250420,EQ0018,A005,WT1,P3,Desgaste,Mecánico,2.31,1.79,935.71,True
MT000205,20250322,EQ0004,A004,WT1,P3,Desgaste,Mecánico,1.35,1.07,699.4,True
MT000206,20250515,EQ0018,A005,WT1,P3,No aplica,TI/OT,4.42,3.46,1100.43,True
MT000207,20250112,EQ0022,A003,WT1,P2,No aplica,Control,1.69,1.04,1084.95,True
MT000208,20250101,EQ0026,A001,WT2,P3,Desgaste,TI/OT,3.06,2.64,1657.89,False
MT000209,20250329,EQ0017,A005,WT2,P4,Desgaste,Control,6.63,4.64,2826.3,False
MT000210,20250131,EQ0011,A005,WT2,P4,No aplica,Mecánico,1.2,0.62,737.65,False
MT000211,20250331,EQ0036,A002,WT2,P3,Sobrecalentamiento,TI/OT,3.44,1.81,788.48,False
MT000212,20250506,EQ0036,A002,WT1,P3,Desgaste,Eléctrico,3.06,1.4,975.01,True
MT000213,20250201,EQ0023,A005,WT1,P3,Calibración,Mecánico,2.25,1.55,1302.21,True
MT000214,20250214,EQ0001,A003,WT2,P4,Vibración,Eléctrico,0.89,0.81,712.11,False
MT000215,20250107,EQ0026,A001,WT1,P4,Vibración,Control,2.77,2.62,1941.53,True
MT000216,20250110,EQ0037,A005,WT1,P4,Calibración,Mecánico,4.53,2.09,1196.02,True
MT000217,20250524,EQ0017,A005,WT1,P3,No aplica,Eléctrico,12.61,9.91,6794.66,True
MT000218,20250615,EQ0011,A005,WT2,P1,Desgaste,Mecánico,6.59,6.2,6227.44,False
MT000219,20250328,EQ0020,A001,WT1,P1,Falla eléctrica,TI/OT,0.66,0.59,161.5,True
MT000220,20250118,EQ0034,A005,WT1,P2,Vibración,Eléctrico,1.51,0.89,381.41,True
MT000221,20250112,EQ0010,A001,WT1,P3,Desgaste,Control,3.12,1.36,2942.42,True
MT000222,20250330,EQ0031,A003,WT1,P2,Falla eléctrica,TI/OT,2.53,1.12,539.59,True
MT000223,20250418,EQ0017,A005,WT1,P1,No aplica,Mecánico,5.86,3.76,1505.49,True
MT000224,20250204,EQ0032,A005,WT2,P2,Calibración,Mecánico,4.73,3.44,3004.54,False
MT000225,20250604,EQ0013,A004,WT2,P3,Sobrecalentamiento,Energía,4.03,3.76,2450.77,False
MT000226,20250201,EQ0002,A004,WT1,P2,Falla eléctrica,TI/OT,2.05,1.2,1339.73,True
MT000227,20250608,EQ0039,A005,WT1,P2,Falla eléctrica,TI/OT,2.0,1.7,1531.89,True
MT000228,20250105,EQ0035,A003,WT2,P1,Falla eléctrica,Energía,8.14,7.22,2350.79,False
MT000229,20250222,EQ0012,A004,WT1,P3,Calibración,TI/OT,1.56,1.21,1164.6,True
MT000230,20250406,EQ0035,A003,WT2,P3,No aplica,TI/OT,1.77,0.74,1404.9,False
MT000231,20250406,EQ0004,A004,WT2,P3,Desgaste,TI/OT,4.4,3.25,1628.41,False
MT000232,20250314,EQ0007,A001,WT1,P2,Vibración,Mecánico,1.28,1.13,813.36,True
MT000233,20250604,EQ0023,A005,WT2,P4,Calibración,Mecánico,5.13,4.4,2841.96,False
MT000234,20250423,EQ0006,A005,WT1,P2,Vibración,Energía,1.03,0.69,257.39,True
MT000235,20250510,EQ0034,A005,WT2,P2,Desgaste,Control,5.08,2.89,4390.1,False
MT000236,20250623,EQ0040,A003,WT1,P3,Desgaste,Energía,2.98,1.41,2389.25,True
MT000237,20250524,EQ0040,A003,WT1,P2,No aplica,Energía,0.85,0.6,364.21,True
MT000238,20250609,EQ0011,A005,WT1,P3,Calibración,TI/OT,5.53,3.2,4262.99,True
MT000239,20250426,EQ0004,A004,WT1,P3,Vibración,Eléctrico,2.58,1.28,846.81,True
MT000240,20250215,EQ0034,A005,WT1,P2,Desgaste,TI/OT,1.39,1.28,1163.37,True
MT000241,20250627,EQ0025,A003,WT1,P2,Sobrecalentamiento,Control,2.4,1.96,1107.25,True
MT000242,20250315,EQ0016,A005,WT1,P3,Sobrecalentamiento,Control,6.36,3.86,2242.8,True
MT000243,20250214,EQ0027,A006,WT2,P3,Falla eléctrica,Energía,9.48,8.22,7232.39,False
MT000244,20250321,EQ0015,A002,WT1,P3,Sobrecalentamiento,Energía,4.7,2.1,3488.12,True
MT000245,20250416,EQ0004,A004,WT1,P3,Falla eléctrica,Eléctrico,2.57,1.52,1748.87,True
MT000246,20250406,EQ0036,A002,WT2,P2,Desgaste,Energía,8.22,5.79,6848.63,False
MT000247,20250316,EQ0029,A004,WT1,P4,Calibración,Control,4.74,3.65,2735.49,True
MT000248,20250426,EQ0028,A001,WT2,P4,Vibración,Control,5.65,4.33,4433.59,False
MT000249,20250615,EQ0024,A006,WT2,P3,No aplica,TI/OT,6.31,5.27,4218.99,False
MT000250,20250630,EQ0021,A005,WT2,P4,Sobrecalentamiento,Mecánico,4.26,2.72,3579.12,False
MT000251,20250324,EQ0026,A001,WT1,P3,No aplica,Control,2.08,1.3,720.34,True
MT000252,20250517,EQ0017,A005,WT1,P1,Vibración,Control,0.75,0.44,624.93,True
MT000253,20250427,EQ0023,A005,WT2,P4,Vibración,TI/OT,3.36,1.7,1833.34,False
MT000254,20250623,EQ0017,A005,WT1,P2,Sobrecalentamiento,Control,1.09,0.72,880.93,True
MT000255,20250220,EQ0001,A003,WT1,P2,Calibración,Eléctrico,4.47,2.41,1362.62,True
MT000256,20250320,EQ0024,A006,WT2,P3,Vibración,Mecánico,10.16,6.86,4627.35,False
MT000257,20250122,EQ0027,A006,WT1,P2,Desgaste,TI/OT,2.57,1.94,1665.84,True
MT000258,20250206,EQ0003,A004,WT1,P2,Falla eléctrica,TI/OT,1.78,1.19,1536.1,True
MT000259,20250327,EQ0028,A001,WT2,P2,Calibración,Control,10.74,8.88,2703.2,False
MT000260,20250605,EQ0027,A006,WT1,P4,Calibración,Energía,7.32,6.86,6662.67,True
MT000261,20250118,EQ0031,A003,WT1,P2,No aplica,TI/OT,1.39,1.3,1229.24,True
MT000262,20250402,EQ0027,A006,WT2,P4,No aplica,Control,16.88,9.76,8485.71,False
MT000263,20250623,EQ0031,A003,WT2,P2,Sobrecalentamiento,Energía,3.36,2.19,2904.2,False
MT000264,20250627,EQ0012,A004,WT1,P4,No aplica,Mecánico,1.2,0.58,223.47,True
MT000265,20250127,EQ0028,A001,WT1,P3,Desgaste,TI/OT,0.87,0.54,202.7,True
MT000266,20250207,EQ0032,A005,WT2,P1,Calibración,Energía,3.3,2.23,789.5,False
MT000267,20250622,EQ0006,A005,WT2,P2,No aplica,TI/OT,4.04,2.43,1639.93,False
