EnergyID,DateKey,AreaID,EquipmentID,LocationID,kWh,EnergyCost,OperatingHours,OutputUnits,Shift
EN0000030,20250530,A005,EQ0001,L016,3805.02,632.17,13.6,2731,Noche
EN0000031,20250218,A005,EQ0037,L016,5646.9,850.26,22.58,3586,Día
EN0000032,20250502,A004,EQ0036,L009,3318.72,422.84,19.6,465,Día
EN0000033,20250103,A004,EQ0051,L009,2535.43,334.67,22.52,172,Día
EN0000034,20250428,A017,EQ0030,L013,4384.15,542.07,14.33,4083,Noche
EN0000035,20250309,A004,EQ0036,L009,1724.55,244.27,20.74,2596,Tarde
EN0000036,20250512,A004,EQ0007,L009,7311.95,1089.0,21.32,3850,Día
EN0000037,20250116,A010,EQ0038,L005,7848.27,1231.06,17.46,1481,Día
EN0000038,20250211,A004,EQ0049,L009,4914.8,864.03,17.15,2000,Tarde
EN0000039,20250121,A008,EQ0058,L006,4803.27,798.28,14.88,1946,Noche
EN0000040,20250424,A004,EQ0059,L009,4133.54,627.17,15.77,1280,Día
EN0000041,20250123,A013,EQ0026,L007,2955.91,436.9,11.24,3081,Tarde
EN0000042,20250629,A006,EQ0031,L016,8515.29,1185.08,20.58,3374,Noche
EN0000043,20250221,A004,EQ0006,L009,3986.99,698.48,8.78,1462,Noche
EN0000044,20250320,A017,EQ0055,L013,3660.86,431.91,12.86,1319,Noche
EN0000045,20250519,A010,EQ0028,L005,7263.12,1253.04,19.87,1515,Tarde
EN0000046,20250410,A009,EQ0043,L006,3334.95,598.33,8.37,3468,Día
EN0000047,20250528,A012,EQ0045,L015,6208.45,1069.31,19.13,967,Tarde
EN0000048,20250614,A010,EQ0015,L005,5477.99,698.96,16.4,2652,Día
EN0000049,20250615,A004,EQ0046,L009,2470.43,422.29,8.87,3854,Tarde
EN0000050,20250507,A005,EQ0037,L016,4931.48,881.82,23.01,2743,Noche
EN0000051,20250119,A017,EQ0017,L013,3262.97,395.73,23.89,2845,Tarde
EN0000052,20250317,A017,EQ0017,L013,8556.0,902.27,17.02,3057,Tarde
EN0000053,20250402,A004,EQ0046,L009,2925.45,295.26,13.63,673,Día
EN0000054,20250206,A004,EQ0048,L009,2590.86,417.13,12.35,2283,Día
EN0000055,20250205,A012,EQ0035,L015,2226.38,204.65,6.52,2766,Tarde
EN0000056,20250107,A017,EQ0021,L013,1507.25,208.68,11.4,1450,Noche
EN0000057,20250618,A012,EQ0045,L015,1335.84,130.81,15.55,821,Día
EN0000058,20250411,A004,EQ0057,L009,767.14,104.19,4.74,2170,Día
EN0000059,20250206,A006,EQ0031,L016,2678.19,461.73,19.87,1243,Tarde
EN0000060,20250423,A004,EQ0059,L009,2932.78,498.14,7.21,309,Día
EN0000061,20250119,A017,EQ0030,L013,3056.94,452.55,6.39,2054,Día
EN0000062,20250603,A004,EQ0059,L009,6245.18,969.2,18.3,3156,Día
EN0000063,20250522,A017,EQ0014,L013,2214.72,208.57,7.27,1541,Tarde
EN0000064,20250528,A017,EQ0055,L013,2437.2,337.52,13.72,2800,Noche
EN0000065,20250217,A017,EQ0009,L013,3218.67,331.34,13.39,3422,Noche
EN0000066,20250614,A006,EQ0031,L016,5192.84,723.47,17.62,1156,Noche
EN0000067,20250626,A010,EQ0025,L005,4487.08,460.33,9.74,926,Día
EN0000068,20250622,A017,EQ0040,L013,1865.81,207.7,12.18,1910,Tarde
EN0000069,20250225,A004,EQ0059,L009,1782.5,303.39,20.33,3752,Noche
EN0000070,20250212,A004,EQ0036,L009,2533.33,403.61,6.06,3806,Noche
EN0000071,20250101,A005,EQ0044,L016,834.39,111.5,5.37,1010,Tarde
EN0000072,20250316,A017,EQ0014,L013,3900.5,390.97,24.0,1297,Tarde
EN0000073,20250325,A004,EQ0048,L009,5884.44,889.62,18.56,134,Día
EN0000074,20250115,A004,EQ0051,L009,3900.97,421.95,8.52,1111,Noche
EN0000075,20250520,A005,EQ0037,L016,2057.93,339.96,9.16,1380,Tarde
EN0000076,20250217,A004,EQ0054,L009,1039.85,146.69,7.37,2903,Tarde
EN0000077,20250225,A010,EQ0038,L005,1902.36,313.12,8.51,2481,Noche
EN0000078,20250610,A008,EQ0012,L006,3616.44,587.32,19.38,3719,Noche
EN0000079,20250405,A006,EQ0056,L016,10060.38,1485.83,23.77,2106,Día
EN0000080,20250520,A004,EQ0019,L009,7365.86,911.71,17.68,699,Tarde
EN0000081,20250405,A017,EQ0040,L013,3384.96,608.86,9.73,1140,Tarde
EN0000082,20250324,A004,EQ0018,L009,6204.1,793.54,14.07,252,Noche
EN0000083,20250326,A005,EQ0029,L016,16814.55,2437.62,21.86,1271,Noche
EN0000084,20250124,A010,EQ0015,L005,1951.88,253.16,13.49,2205,Noche
EN0000085,20250122,A012,EQ0035,L015,5422.14,865.86,13.83,2261,Día
EN0000086,20250110,A017,EQ0021,L013,7074.57,998.61,15.72,1924,Día
EN0000087,20250122,A017,EQ0017,L013,3549.63,602.91,20.62,1963,Tarde
EN0000088,20250612,A017,EQ0021,L013,5480.36,954.24,13.26,3265,Día
EN0000089,20250226,A017,EQ0030,L013,540.66,52.38,4.44,3619,Tarde
EN0000090,20250123,A009,EQ0043,L006,4545.14,751.58,23.71,1801,Noche
EN0000091,20250305,A017,EQ0027,L013,1220.41,111.8,7.19,2180,Día
EN0000092,20250604,A004,EQ0057,L009,5701.32,657.03,14.72,3650,Día
EN0000093,20250430,A017,EQ0014,L013,2909.43,357.11,8.95,1812,Noche
EN0000094,20250320,A010,EQ0025,L005,3503.11,480.35,7.61,2242,Noche
EN0000095,20250110,A004,EQ0006,L009,3319.43,460.84,12.62,1591,Noche
EN0000096,20250429,A004,EQ0060,L009,4454.87,633.02,9.24,495,Tarde
EN0000097,20250322,A017,EQ0017,L013,3561.39,475.76,10.54,1540,Tarde
EN0000098,20250110,A004,EQ0019,L009,5320.47,884.31,23.39,3671,Tarde
EN0000099,20250409,A004,EQ0046,L009,2093.61,248.68,9.5,1369,Día
EN0000100,20250104,A006,EQ0056,L016,8268.57,1205.99,20.99,1089,Noche
EN0000101,20250402,A006,EQ0056,L016,8705.75,969.31,20.5,3395,Noche
EN0000102,20250102,A009,EQ0043,L006,2451.61,380.98,10.33,4174,Día
EN0000103,20250304,A008,EQ0058,L006,4334.95,575.11,9.28,1441,Noche
EN0000104,20250510,A005,EQ0013,L016,3265.89,368.81,8.5,1026,Tarde
EN0000105,20250121,A004,EQ0051,L009,5163.31,750.09,17.46,2139,Día
EN0000106,20250329,A008,EQ0033,L006,1605.05,288.2,8.54,749,Día
EN0000107,20250522,A017,EQ0009,L013,1541.03,198.59,16.07,1024,Tarde
EN0000108,20250326,A004,EQ0059,L009,4131.31,519.86,18.36,1217,Tarde
EN0000109,20250621,A004,EQ0051,L009,7055.54,805.54,18.13,1771,Día
EN0000110,20250213,A008,EQ0033,L006,7133.24,1177.72,16.58,2538,Tarde
EN0000111,20250326,A005,EQ0001,L016,4218.91,692.69,4.33,508,Día
EN0000112,20250106,A004,EQ0018,L009,2962.95,321.79,19.37,1007,Noche
EN0000113,20250316,A006,EQ0056,L016,1699.57,226.3,5.59,4129,Noche
EN0000114,20250610,A005,EQ0001,L016,3023.07,314.05,15.84,1248,Tarde
EN0000115,20250527,A004,EQ0036,L009,2819.53,482.94,7.2,3793,Noche
EN0000116,20250415,A013,EQ0026,L007,8264.73,1411.47,16.02,2291,Tarde
EN0000117,20250618,A004,EQ0059,L009,6450.03,877.63,21.51,2001,Noche
EN0000118,20250302,A008,EQ0012,L006,959.03,150.26,6.12,711,Día
EN0000119,20250119,A004,EQ0060,L009,1800.88,241.55,15.86,1002,Día
EN0000120,20250123,A005,EQ0013,L016,10497.18,1028.55,23.75,2370,Día
EN0000121,20250612,A008,EQ0042,L006,709.58,63.89,5.02,968,Tarde
EN0000122,20250217,A013,EQ0050,L007,10662.9,1335.36,20.64,2722,Tarde
EN0000123,20250419,A017,EQ0055,L013,2181.72,333.09,19.09,1764,Tarde
EN0000124,20250210,A004,EQ0057,L009,2643.74,361.15,14.64,2350,Tarde
EN0000125,20250220,A004,EQ0011,L009,3119.3,544.59,15.96,3499,Noche
EN0000126,20250117,A004,EQ0052,L009,10585.25,1695.28,23.75,473,Noche
EN0000127,20250417,A005,EQ0013,L016,1275.99,227.47,5.01,2457,Tarde
EN0000128,20250209,A004,EQ0059,L009,5090.83,887.87,16.06,3349,Noche
EN0000129,20250621,A009,EQ0022,L006,8916.08,839.75,23.5,2068,Tarde
EN0000130,20250413,A017,EQ0023,L013,9836.04,1494.3,20.66,330,Noche
EN0000131,20250205,A004,EQ0057,L009,5179.83,629.62,10.96,3820,Noche
EN0000132,20250303,A004,EQ0020,L009,680.13,101.92,7.31,1023,Tarde
EN0000133,20250502,A017,EQ0008,L013,2005.88,359.71,5.77,1272,Tarde
EN0000134,20250323,A017,EQ0017,L013,9273.83,1367.58,23.72,2155,Tarde
EN0000135,20250324,A017,EQ0041,L013,7434.14,983.09,21.05,1750,Día
EN0000136,20250222,A005,EQ0034,L016,626.53,88.9,4.88,3805,Tarde
EN0000137,20250621,A004,EQ0051,L009,2234.73,335.97,20.92,3464,Tarde
EN0000138,20250607,A004,EQ0019,L009,5204.46,777.03,17.89,3490,Tarde
EN0000139,20250125,A010,EQ0038,L005,2351.66,378.96,5.94,286,Tarde
EN0000140,20250109,A017,EQ0005,L013,1242.82,158.42,8.24,2878,Día
EN0000141,20250222,A017,EQ0008,L013,4736.24,674.49,13.35,568,Noche
EN0000142,20250126,A004,EQ0048,L009,4766.86,673.51,9.25,2304,Tarde
EN0000143,20250319,A017,EQ0017,L013,11150.2,1040.9,22.86,2782,Noche
EN0000144,20250630,A017,EQ0014,L013,6514.39,726.62,15.55,467,Noche
EN0000145,20250223,A017,EQ0041,L013,889.87,159.06,8.85,1886,Noche
EN0000146,20250606,A017,EQ0014,L013,6932.62,678.39,20.16,629,Noche
EN0000147,20250105,A004,EQ0053,L009,1589.5,269.09,4.39,3055,Tarde
EN0000148,20250314,A013,EQ0050,L007,6564.75,934.47,22.63,1601,Día
EN0000149,20250222,A012,EQ0035,L015,9720.67,1709.59,23.29,2847,Noche
EN0000150,20250115,A017,EQ0021,L013,1368.62,241.87,16.71,3995,Día
EN0000151,20250421,A004,EQ0051,L009,1949.2,245.23,12.51,2135,Tarde
EN0000152,20250502,A004,EQ0059,L009,3822.85,352.97,17.25,719,Tarde
EN0000153,20250613,A017,EQ0003,L013,2907.13,271.42,11.29,639,Tarde
EN0000154,20250102,A017,EQ0021,L013,3496.98,620.44,15.98,1426,Noche
EN0000155,20250629,A004,EQ0051,L009,2819.27,365.29,14.51,1400,Día
EN0000156,20250516,A008,EQ0033,L006,7141.58,1249.34,18.2,1844,Noche
EN0000157,20250317,A004,EQ0004,L009,2187.2,283.55,22.24,2611,Día
EN0000158,20250324,A005,EQ0047,L016,10948.95,1473.86,19.65,3097,Tarde
EN0000159,20250522,A005,EQ0037,L016,1457.35,140.61,11.58,2863,Tarde
EN0000160,20250305,A004,EQ0020,L009,5032.18,599.93,11.24,344,Día
EN0000161,20250611,A010,EQ0028,L005,5170.39,857.8,10.01,1919,Tarde
EN0000162,20250104,A004,EQ0059,L009,1848.63,223.59,16.01,1015,Noche
EN0000163,20250313,A017,EQ0014,L013,4051.8,492.67,12.15,2402,Noche
EN0000164,20250412,A017,EQ0009,L013,1738.59,300.2,16.87,4005,Noche
EN0000165,20250405,A008,EQ0042,L006,4204.84,611.57,8.29,913,Día
EN0000166,20250627,A004,EQ0006,L009,1068.74,125.92,6.53,2971,Noche
EN0000167,20250120,A004,EQ0007,L009,2151.43,196.02,16.47,2095,Tarde
EN0000168,20250507,A012,EQ0045,L015,3509.16,434.55,8.57,2305,Tarde
EN0000169,20250403,A004,EQ0049,L009,2461.82,406.2,8.34,3457,Tarde
EN0000170,20250324,A017,EQ0041,L013,1145.02,143.89,12.29,2533,Día
EN0000171,20250330,A004,EQ0011,L009,5598.41,956.33,12.55,2358,Día
EN0000172,20250321,A004,EQ0051,L009,6360.6,974.93,21.06,1014,Tarde
EN0000173,20250418,A017,EQ0014,L013,3391.65,363.66,9.87,2201,Tarde
EN0000174,20250612,A017,EQ0030,L013,7124.55,987.36,18.69,176,Noche
EN0000175,20250619,A017,EQ0030,L013,3870.49,681.78,15.74,979,Tarde
EN0000176,20250519,A010,EQ0039,L005,9237.11,1212.57,20.12,3507,Noche
EN0000177,20250506,A004,EQ0057,L009,3481.07,398.71,10.62,1984,Día
EN0000178,20250224,A017,EQ0008,L013,3784.34,373.8,23.68,3932,Día
EN0000179,20250223,A004,EQ0052,L009,5205.23,482.21,13.92,2042,Tarde
EN0000180,20250330,A013,EQ0050,L007,1642.65,284.55,18.27,1531,Noche
EN0000181,20250208,A009,EQ0043,L006,9364.26,1636.95,18.55,3648,Noche
EN0000182,20250317,A005,EQ0013,L016,15101.46,1605.76,21.1,2153,Noche
EN0000183,20250628,A004,EQ0020,L009,3946.11,706.53,8.88,251,Día
EN0000184,20250320,A006,EQ0056,L016,2112.97,337.94,7.35,2157,Tarde
EN0000185,20250310,A004,EQ0048,L009,5108.56,917.61,15.29,3644,Tarde
EN0000186,20250125,A017,EQ0024,L013,1696.85,169.2,7.03,2538,Tarde
EN0000187,20250501,A008,EQ0042,L006,2431.23,276.85,19.3,1908,Tarde
EN0000188,20250521,A010,EQ0025,L005,3949.43,656.06,14.86,3002,Día
EN0000189,20250112,A013,EQ0026,L007,2053.27,292.37,7.34,2388,Noche
EN0000190,20250113,A017,EQ0009,L013,1899.42,277.61,21.37,458,Noche
EN0000191,20250402,A010,EQ0028,L005,3198.8,385.88,15.61,2169,Tarde
EN0000192,20250415,A004,EQ0020,L009,928.37,153.18,5.02,2046,Noche
EN0000193,20250315,A004,EQ0049,L009,7594.02,706.62,23.02,3335,Día
EN0000194,20250615,A017,EQ0055,L013,849.75,146.11,6.79,169,Día
EN0000195,20250226,A004,EQ0048,L009,2488.82,420.79,9.24,3694,Día
EN0000196,20250206,A004,EQ0053,L009,1268.97,213.91,6.18,3786,Noche
EN0000197,20250205,A010,EQ0015,L005,8583.91,824.9,23.76,2158,Día
EN0000198,20250527,A010,EQ0028,L005,2574.51,309.66,5.11,3140,Noche
EN0000199,20250420,A008,EQ0033,L006,3334.83,406.19,11.09,1220,Tarde
EN0000200,20250626,A004,EQ0018,L009,5225.95,617.03,13.37,1818,Tarde
EN0000201,20250125,A004,EQ0020,L009,2358.76,354.01,6.64,1407,Día
EN0000202,20250329,A004,EQ0060,L009,4774.38,831.73,14.73,1672,Día
EN0000203,20250215,A017,EQ0030,L013,6455.81,597.22,12.89,2979,Noche
EN0000204,20250403,A017,EQ0021,L013,8248.51,1046.79,16.56,910,Tarde
EN0000205,20250408,A004,EQ0049,L009,1286.13,181.1,12.56,4129,Día
EN0000206,20250411,A004,EQ0006,L009,1267.64,189.11,7.76,715,Noche
EN0000207,20250228,A017,EQ0017,L013,5539.85,776.44,15.25,427,Noche
EN0000208,20250128,A004,EQ0002,L009,2792.99,328.76,7.61,1101,Tarde
EN0000209,20250202,A004,EQ0060,L009,2686.63,280.99,7.25,2466,Día
EN0000210,20250530,A017,EQ0055,L013,2915.73,398.65,6.82,2245,Día
EN0000211,20250201,A010,EQ0038,L005,3531.19,364.5,11.19,3604,Noche
EN0000212,20250304,A004,EQ0054,L009,3240.53,481.91,9.23,1396,Noche
EN0000213,20250619,A017,EQ0027,L013,799.14,79.97,8.28,910,Noche
EN0000214,20250509,A005,EQ0029,L016,4668.57,541.23,20.89,933,Noche
EN0000215,20250312,A004,EQ0036,L009,3763.9,356.07,19.0,1303,Día
EN0000216,20250113,A008,EQ0058,L006,3695.8,473.04,11.43,788,Tarde
EN0000217,20250105,A013,EQ0050,L007,3067.38,460.75,11.72,2201,Día
EN0000218,20250210,A004,EQ0053,L009,7421.16,1301.42,15.02,1330,Día
EN0000219,20250123,A004,EQ0004,L009,1427.47,238.75,17.32,1978,Noche
EN0000220,20250619,A017,EQ0017,L013,6090.48,784.0,15.8,3676,Noche
EN0000221,20250317,A008,EQ0033,L006,7189.14,1041.45,22.99,3919,Día
EN0000222,20250109,A017,EQ0003,L013,2999.03,411.78,18.37,3172,Día
EN0000223,20250302,A006,EQ0056,L016,3066.39,403.47,6.77,2889,Día
EN0000224,20250522,A012,EQ0045,L015,1724.04,229.14,12.83,2327,Noche
EN0000225,20250318,A017,EQ0005,L013,1749.45,195.68,19.18,120,Noche
EN0000226,20250218,A004,EQ0052,L009,2543.43,429.08,9.95,3402,Día
EN0000227,20250619,A010,EQ0015,L005,1636.15,212.42,6.04,3159,Noche
EN0000228,20250516,A004,EQ0059,L009,4079.96,688.94,9.74,2343,Noche
EN0000229,20250320,A004,EQ0002,L009,1879.88,310.0,16.39,2960,Día
EN0000230,20250209,A005,EQ0034,L016,2110.52,316.47,6.76,2437,Día
EN0000231,20250402,A010,EQ0039,L005,6140.77,1062.36,13.07,1115,Noche
EN0000232,20250217,A005,EQ0001,L016,1131.73,131.7,4.49,3092,Tarde
EN0000233,20250508,A017,EQ0005,L013,1462.86,259.16,11.59,3078,Tarde
EN0000234,20250303,A012,EQ0045,L015,1267.71,225.19,8.25,1419,Noche
EN0000235,20250210,A017,EQ0040,L013,8784.9,1542.54,16.93,884,Tarde
EN0000236,20250310,A017,EQ0024,L013,4911.32,745.42,23.53,2781,Tarde
EN0000237,20250514,A017,EQ0040,L013,4324.83,659.98,19.63,2143,Día
EN0000238,20250309,A004,EQ0006,L009,5221.15,827.28,18.01,3992,Noche
EN0000239,20250415,A010,EQ0038,L005,1405.62,216.72,4.1,1457,Tarde
EN0000240,20250602,A008,EQ0042,L006,2004.86,278.07,10.9,3258,Día
EN0000241,20250308,A017,EQ0023,L013,9307.89,896.03,18.07,407,Tarde
EN0000242,20250126,A010,EQ0038,L005,7595.21,1051.2,18.71,1518,Tarde
EN0000243,20250116,A004,EQ0004,L009,1232.76,184.19,11.12,2217,Noche
EN0000244,20250130,A017,EQ0017,L013,5803.32,625.96,18.53,411,Día
EN0000245,20250405,A017,EQ0055,L013,5333.2,955.86,20.34,4077,Tarde
EN0000246,20250415,A004,EQ0046,L009,2405.39,334.94,11.58,984,Día
EN0000247,20250324,A017,EQ0009,L013,1801.41,191.05,10.37,687,Noche
EN0000248,20250415,A008,EQ0012,L006,3820.28,431.67,17.17,242,Tarde
EN0000249,20250403,A017,EQ0055,L013,3739.99,490.8,7.54,2823,Tarde
EN0000250,20250408,A005,EQ0029,L016,3583.36,442.64,14.48,1334,Día
EN0000251,20250123,A008,EQ0042,L006,3706.34,365.35,7.28,1658,Tarde
EN0000252,20250316,A009,EQ0043,L006,3336.5,528.8,8.93,110,Día
EN0000253,20250419,A017,EQ0009,L013,11372.68,2035.19,22.86,1721,Tarde
EN0000254,20250319,A017,EQ0023,L013,2669.17,418.17,11.97,3032,Tarde
EN0000255,20250123,A005,EQ0034,L016,8980.21,1149.79,19.41,2316,Día
EN0000256,20250427,A005,EQ0029,L016,7495.15,690.37,23.32,2101,Tarde
EN0000257,20250108,A009,EQ0043,L006,10660.81,1859.04,21.68,3488,Día
EN0000258,20250403,A017,EQ0030,L013,1320.21,205.67,4.9,1904,Tarde
EN0000259,20250406,A004,EQ0051,L009,3749.82,399.18,16.98,3894,Noche
EN0000260,20250602,A010,EQ0032,L005,5278.84,571.78,14.99,3029,Día
EN0000261,20250406,A017,EQ0017,L013,6283.37,1122.75,17.77,559,Tarde
EN0000262,20250219,A017,EQ0021,L013,4146.68,687.0,19.18,487,Noche
EN0000263,20250221,A004,EQ0018,L009,4688.31,567.86,12.99,454,Noche
EN0000264,20250427,A012,EQ0045,L015,8132.8,1331.08,17.03,2021,Noche
EN0000265,20250627,A004,EQ0054,L009,3633.95,348.14,17.83,2493,Tarde
EN0000266,20250412,A008,EQ0033,L006,8120.95,1144.78,22.89,3307,Noche
EN0000267,20250611,A004,EQ0048,L009,6843.41,1010.66,20.29,1515,Noche
EN0000268,20250129,A008,EQ0058,L006,3231.86,454.28,20.98,3249,Tarde
EN0000269,20250130,A004,EQ0057,L009,3664.32,410.58,17.45,591,Día
EN0000270,20250430,A004,EQ0019,L009,1093.88,177.0,5.08,1837,Día
EN0000271,20250122,A017,EQ0055,L013,3893.61,651.7,16.79,2953,Tarde
EN0000272,20250326,A017,EQ0024,L013,1337.11,237.71,6.12,1440,Día
EN0000273,20250302,A005,EQ0044,L016,8854.38,1272.94,9.27,1262,Noche
EN0000274,20250501,A004,EQ0004,L009,747.27,86.1,6.74,459,Noche
EN0000275,20250213,A004,EQ0019,L009,1821.28,305.52,8.26,2992,Tarde
EN0000276,20250627,A005,EQ0001,L016,6873.89,1018.19,16.54,1098,Día
EN0000277,20250223,A004,EQ0007,L009,857.44,82.94,8.99,2648,Día
EN0000278,20250103,A004,EQ0010,L009,8039.9,1444.14,15.59,2606,Noche
EN0000279,20250213,A004,EQ0046,L009,4132.42,562.71,23.74,3621,Tarde
EN0000280,20250517,A017,EQ0023,L013,7965.95,1252.91,18.69,591,Tarde
EN0000281,20250303,A004,EQ0020,L009,3237.69,292.05,15.86,1408,Noche
EN0000282,20250421,A008,EQ0058,L006,6585.53,731.3,13.75,2720,Noche
EN0000283,20250312,A004,EQ0007,L009,6405.85,610.33,14.63,1362,Día
EN0000284,20250121,A004,EQ0019,L009,2580.32,265.96,18.94,1523,Tarde
EN0000285,20250216,A008,EQ0058,L006,4514.34,452.57,22.23,2936,Tarde
EN0000286,20250613,A004,EQ0002,L009,4400.4,696.45,13.45,2939,Tarde
EN0000287,20250122,A017,EQ0041,L013,1909.57,260.79,18.63,539,Tarde
EN0000288,20250316,A009,EQ0043,L006,4102.67,427.09,8.46,751,Tarde
EN0000289,20250227,A010,EQ0025,L005,3761.22,339.22,8.31,744,Día
EN0000290,20250621,A006,EQ0056,L016,6238.77,566.45,19.19,828,Noche
EN0000291,20250304,A005,EQ0013,L016,7839.15,939.09,9.64,1411,Día
EN0000292,20250103,A017,EQ0041,L013,3025.13,307.01,12.89,1760,Tarde
EN0000293,20250314,A004,EQ0002,L009,3928.9,412.49,12.06,242,Noche
EN0000294,20250324,A005,EQ0029,L016,6394.35,790.75,15.46,2421,Noche
EN0000295,20250219,A017,EQ0027,L013,2692.63,483.57,8.64,484,Día
EN0000296,20250426,A008,EQ0033,L006,858.82,102.7,7.62,1826,Noche
EN0000297,20250125,A010,EQ0028,L005,7063.33,822.0,16.46,2756,Día
EN0000298,20250514,A008,EQ0012,L006,4480.82,607.33,11.31,1227,Tarde
EN0000299,20250307,A008,EQ0058,L006,9070.96,1181.42,20.35,2793,Día
EN0000300,20250609,A004,EQ0052,L009,1937.03,284.51,4.26,3853,Día
EN0000301,20250615,A017,EQ0040,L013,8537.87,1405.88,19.98,4007,Día
EN0000302,20250502,A004,EQ0010,L009,4857.09,535.36,11.48,3175,Tarde
EN0000303,20250214,A008,EQ0033,L006,6853.96,852.6,23.47,880,Tarde
EN0000304,20250109,A008,EQ0042,L006,2797.39,278.92,7.08,4073,Noche
EN0000305,20250507,A005,EQ0013,L016,10986.96,1838.13,23.5,3184,Tarde
EN0000306,20250406,A010,EQ0028,L005,2441.25,244.94,5.95,1595,Noche
EN0000307,20250120,A008,EQ0012,L006,7135.67,642.6,22.6,128,Día
EN0000308,20250322,A004,EQ0054,L009,5603.52,978.81,19.44,3981,Tarde
EN0000309,20250314,A004,EQ0049,L009,2630.03,335.58,21.05,3761,Día
EN0000310,20250410,A004,EQ0048,L009,5383.05,762.12,21.26,492,Tarde
EN0000311,20250308,A005,EQ0037,L016,3519.97,409.28,9.96,2151,Tarde
EN0000312,20250219,A017,EQ0030,L013,3500.72,403.63,7.87,346,Día
EN0000313,20250213,A017,EQ0014,L013,3228.21,355.55,6.44,456,Tarde
EN0000314,20250218,A017,EQ0017,L013,5296.92,737.44,21.68,627,Día
EN0000315,20250404,A004,EQ0057,L009,964.23,135.25,5.89,2487,Día
EN0000316,20250427,A004,EQ0053,L009,3731.23,521.24,19.69,3554,Día
EN0000317,20250630,A017,EQ0021,L013,8371.69,824.41,20.28,1535,Noche
EN0000318,20250319,A005,EQ0029,L016,3497.96,580.01,5.65,2075,Noche
EN0000319,20250322,A008,EQ0042,L006,1132.13,159.51,4.49,1424,Día
EN0000320,20250502,A010,EQ0028,L005,5761.99,557.82,14.58,3947,Noche
EN0000321,20250319,A004,EQ0052,L009,5682.67,590.75,15.83,1303,Tarde
EN0000322,20250308,A013,EQ0026,L007,3265.22,416.66,11.16,3191,Noche
EN0000323,20250312,A010,EQ0039,L005,6814.11,841.71,17.08,1873,Tarde
EN0000324,20250331,A017,EQ0021,L013,2702.63,267.86,7.7,728,Tarde
EN0000325,20250120,A004,EQ0048,L009,2807.21,485.73,21.02,4020,Noche
EN0000326,20250526,A005,EQ0047,L016,5100.53,507.38,10.43,1234,Noche
EN0000327,20250613,A004,EQ0053,L009,4571.03,657.52,21.73,3509,Noche
EN0000328,20250515,A017,EQ0055,L013,1091.77,155.91,4.95,4182,Noche
EN0000329,20250526,A005,EQ0001,L016,2159.59,382.42,19.82,3423,Día
EN0000330,20250128,A006,EQ0031,L016,2017.84,274.26,23.06,1012,Tarde
EN0000331,20250126,A005,EQ0044,L016,8132.15,1003.17,21.11,3171,Día
