IncidentID,DateKey,AreaID,EquipmentID,LocationID,Severity,IncidentType,CorrectiveActionStatus,DaysOpen,LostTimeFlag,RiskCategory,_SourceFile,_ExportedAt,_LegacyRowNumber
IN00014,20250320,A003,EQ0001,L006,Baja,Ambiental,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,14
IN00015,20250211,A006,EQ0027,L007,Baja,Ambiental,En progreso,12,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,15
IN00016,20250122,A006,EQ0019,L007,Media,Daño equipo,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,16
IN00017,20250121,A001,EQ0028,L003,Media,Lesión menor,Abierta,35,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,17
IN00018,20250109,A005,EQ0011,L006,Alta,Lesión menor,Cerrada,0,True,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,18
IN00019,20250510,A003,EQ0035,L006,Media,Ambiental,Abierta,70,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,19
IN00020,20250325,A005,EQ0017,L006,Alta,Ambiental,Abierta,44,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,20
IN00021,20250111,A005,EQ0006,L006,Media,Lesión menor,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,21
IN00022,20250412,A005,EQ0017,L006,Alta,Casi accidente,En progreso,58,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,22
IN00023,20250507,A005,EQ0021,L006,Baja,Condición insegura,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,23
IN00024,20250529,A006,EQ0038,L007,Media,Daño equipo,En progreso,30,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,24
IN00025,20250505,A005,EQ0011,L006,Alta,Ambiental,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,25
IN00026,20250620,A005,EQ0018,L006,Alta,Daño equipo,En progreso,52,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,26
IN00027,20250430,A004,EQ0004,L007,Alta,Lesión menor,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,27
IN00028,20250516,A001,EQ0028,L003,Baja,Condición insegura,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,28
IN00029,20250119,A005,EQ0032,L006,Baja,Ambiental,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,29
IN00030,20250101,A003,EQ0022,L006,Baja,Daño equipo,Abierta,9,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,30
IN00031,20250605,A005,EQ0006,L006,Alta,Condición insegura,En progreso,89,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,31
IN00032,20250417,A006,EQ0014,L007,Alta,Lesión menor,En progreso,32,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,32
IN00033,20250616,A004,EQ0004,L007,Baja,Casi accidente,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,33
IN00034,20250211,A002,EQ0036,L002,Baja,Ambiental,Cerrada,0,True,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,34
IN00035,20250308,A004,EQ0013,L007,Media,Casi accidente,En progreso,23,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,35
IN00036,20250621,A006,EQ0019,L007,Media,Ambiental,En progreso,78,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,36
IN00037,20250303,A001,EQ0028,L003,Baja,Daño equipo,En progreso,77,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,37
IN00038,20250219,A005,EQ0021,L006,Media,Lesión menor,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,38
IN00039,20250629,A005,EQ0009,L006,Baja,Ambiental,En progreso,35,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,39
IN00040,20250425,A001,EQ0007,L003,Media,Condición insegura,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,40
IN00041,20250404,A004,EQ0003,L007,Media,Lesión menor,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,41
IN00042,20250524,A005,EQ0037,L006,Baja,Ambiental,En progreso,63,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,42
IN00043,20250415,A002,EQ0015,L002,Media,Daño equipo,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,43
IN00044,20250523,A003,EQ0031,L006,Alta,Daño equipo,En progreso,26,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,44
IN00045,20250426,A005,EQ0009,L006,Baja,Ambiental,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,45
IN00046,20250405,A005,EQ0016,L006,Media,Daño equipo,Cerrada,0,True,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,46
IN00047,20250217,A003,EQ0025,L006,Baja,Ambiental,Abierta,85,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,47
IN00048,20250129,A001,EQ0026,L003,Baja,Casi accidente,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,48
IN00049,20250618,A003,EQ0033,L006,Baja,Daño equipo,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,49
IN00050,20250330,A005,EQ0021,L006,Media,Ambiental,Abierta,45,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,50
IN00051,20250124,A005,EQ0017,L006,Baja,Daño equipo,En progreso,25,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,51
IN00052,20250207,A004,EQ0003,L007,Baja,Casi accidente,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,52
IN00053,20250318,A003,EQ0040,L006,Baja,Condición insegura,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,53
IN00054,20250401,A002,EQ0015,L002,Alta,Casi accidente,En progreso,7,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,54
IN00055,20250206,A005,EQ0039,L006,Baja,Daño equipo,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,55
IN00056,20250524,A001,EQ0010,L003,Alta,Lesión menor,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,56
IN00057,20250611,A004,EQ0002,L007,Media,Casi accidente,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,57
IN00058,20250118,A004,EQ0012,L007,Baja,Casi accidente,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,58
IN00059,20250415,A005,EQ0039,L006,Baja,Casi accidente,En progreso,8,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,59
IN00060,20250613,A001,EQ0028,L003,Alta,Daño equipo,Cerrada,0,True,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,60
IN00061,20250419,A003,EQ0035,L006,Baja,Ambiental,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,61
IN00062,20250104,A001,EQ0007,L003,Media,Condición insegura,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,62
IN00063,20250320,A001,EQ0020,L003,Baja,Daño equipo,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,63
IN00064,20250504,A006,EQ0024,L007,Media,Condición insegura,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,64
IN00065,20250220,A004,EQ0029,L007,Baja,Daño equipo,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,65
IN00066,20250518,A005,EQ0039,L006,Media,Condición insegura,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,66
IN00067,20250526,A005,EQ0018,L006,Baja,Daño equipo,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,67
IN00068,20250111,A004,EQ0008,L007,Alta,Casi accidente,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,68
IN00069,20250317,A003,EQ0031,L006,Baja,Condición insegura,Abierta,14,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,69
IN00070,20250501,A001,EQ0010,L003,Media,Ambiental,Abierta,10,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,70
IN00071,20250427,A001,EQ0028,L003,Media,Daño equipo,Abierta,62,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,71
IN00072,20250602,A001,EQ0028,L003,Alta,Casi accidente,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,72
IN00073,20250311,A004,EQ0029,L007,Baja,Casi accidente,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,73
IN00074,20250405,A001,EQ0028,L003,Alta,Daño equipo,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,74
IN00075,20250429,A005,EQ0021,L006,Baja,Casi accidente,En progreso,29,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,75
IN00076,20250206,A005,EQ0018,L006,Media,Condición insegura,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,76
IN00077,20250618,A004,EQ0012,L007,Baja,Daño equipo,Abierta,28,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,77
IN00078,20250623,A006,EQ0014,L007,Baja,Condición insegura,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,78
IN00079,20250131,A006,EQ0027,L007,Media,Condición insegura,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,79
IN00080,20250228,A004,EQ0002,L007,Media,Ambiental,En progreso,61,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,80
IN00081,20250626,A006,EQ0038,L007,Media,Condición insegura,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,81
IN00082,20250312,A002,EQ0015,L002,Baja,Condición insegura,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,82
IN00083,20250101,A001,EQ0026,L003,Baja,Casi accidente,En progreso,87,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,83
IN00084,20250411,A003,EQ0035,L006,Baja,Casi accidente,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,84
IN00085,20250620,A005,EQ0039,L006,Media,Daño equipo,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,85
IN00086,20250108,A004,EQ0008,L007,Baja,Ambiental,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,86
IN00087,20250120,A005,EQ0032,L006,Baja,Ambiental,En progreso,52,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,87
IN00088,20250610,A005,EQ0039,L006,Media,Lesión menor,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,88
IN00089,20250124,A003,EQ0035,L006,Baja,Casi accidente,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,89
IN00090,20250219,A006,EQ0027,L007,Media,Daño equipo,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,90
IN00091,20250422,A003,EQ0035,L006,Baja,Condición insegura,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,91
IN00092,20250130,A005,EQ0018,L006,Baja,Daño equipo,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,92
IN00093,20250221,A002,EQ0015,L002,Media,Casi accidente,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,93
IN00094,20250109,A003,EQ0033,L006,Baja,Condición insegura,Abierta,71,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,94
IN00095,20250421,A003,EQ0033,L006,Baja,Casi accidente,En progreso,81,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,95
IN00096,20250422,A004,EQ0029,L007,Alta,Lesión menor,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,96
IN00097,20250604,A005,EQ0006,L006,Baja,Daño equipo,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,97
IN00098,20250603,A003,EQ0022,L006,Alta,Casi accidente,Abierta,72,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,98
IN00099,20250629,A004,EQ0005,L007,Media,Lesión menor,En progreso,18,True,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,99
IN00100,20250528,A001,EQ0007,L003,Media,Ambiental,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,100
IN00101,20250126,A006,EQ0019,L007,Baja,Ambiental,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,101
IN00102,20250402,A005,EQ0006,L006,Alta,Daño equipo,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,102
IN00103,20250318,A002,EQ0036,L002,Baja,Casi accidente,En progreso,57,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,103
IN00104,20250102,A004,EQ0008,L007,Alta,Ambiental,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,104
IN00105,20250314,A006,EQ0019,L007,Media,Casi accidente,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,105
IN00106,20250324,A003,EQ0035,L006,Alta,Casi accidente,Abierta,19,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,106
IN00107,20250225,A004,EQ0003,L007,Baja,Condición insegura,Abierta,66,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,107
IN00108,20250305,A005,EQ0023,L006,Baja,Ambiental,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,108
IN00109,20250610,A003,EQ0025,L006,Media,Casi accidente,En progreso,37,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,109
IN00110,20250213,A005,EQ0023,L006,Media,Casi accidente,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,110
IN00111,20250206,A003,EQ0033,L006,Alta,Lesión menor,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,111
IN00112,20250501,A004,EQ0029,L007,Media,Casi accidente,En progreso,89,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,112
IN00113,20250530,A004,EQ0003,L007,Media,Casi accidente,En progreso,59,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,113
IN00114,20250222,A004,EQ0029,L007,Baja,Daño equipo,Cerrada,0,True,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,114
IN00115,20250517,A002,EQ0030,L002,Media,Condición insegura,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,115
IN00116,20250505,A004,EQ0013,L007,Baja,Lesión menor,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,116
IN00117,20250626,A004,EQ0012,L007,Baja,Condición insegura,Abierta,8,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,117
IN00118,20250312,A002,EQ0015,L002,Baja,Lesión menor,Abierta,65,True,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,118
IN00119,20250331,A005,EQ0017,L006,Baja,Lesión menor,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,119
IN00120,20250222,A003,EQ0031,L006,Baja,Ambiental,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,120
IN00121,20250111,A003,EQ0001,L006,Media,Condición insegura,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,121
IN00122,20250305,A003,EQ0033,L006,Baja,Daño equipo,En progreso,68,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,122
IN00123,20250605,A005,EQ0037,L006,Baja,Condición insegura,En progreso,19,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,123
IN00124,20250613,A002,EQ0030,L002,Alta,Condición insegura,Abierta,87,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,124
IN00125,20250324,A005,EQ0021,L006,Baja,Condición insegura,Cerrada,0,True,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,125
IN00126,20250320,A004,EQ0005,L007,Alta,Condición insegura,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,126
IN00127,20250415,A005,EQ0016,L006,Media,Lesión menor,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,127
IN00128,20250319,A005,EQ0018,L006,Baja,Casi accidente,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,128
IN00129,20250108,A005,EQ0006,L006,Baja,Casi accidente,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,129
IN00130,20250301,A004,EQ0012,L007,Media,Daño equipo,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,130
IN00131,20250612,A005,EQ0011,L006,Baja,Ambiental,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,131
IN00132,20250613,A002,EQ0030,L002,Alta,Daño equipo,Cerrada,0,True,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,132
IN00133,20250527,A005,EQ0021,L006,Baja,Daño equipo,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,133
IN00134,20250208,A005,EQ0032,L006,Baja,Ambiental,En progreso,45,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,134
IN00135,20250414,A003,EQ0033,L006,Media,Casi accidente,En progreso,56,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,135
IN00136,20250219,A002,EQ0036,L002,Alta,Casi accidente,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,136
IN00137,20250517,A001,EQ0007,L003,Baja,Casi accidente,Abierta,31,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,137
IN00138,20250608,A005,EQ0034,L006,Media,Ambiental,En progreso,85,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,138
IN00139,20250210,A002,EQ0036,L002,Media,Casi accidente,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,139
IN00140,20250521,A005,EQ0009,L006,Baja,Condición insegura,En progreso,4,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,140
IN00141,20250408,A005,EQ0032,L006,Baja,Daño equipo,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,141
IN00142,20250615,A005,EQ0006,L006,Media,Ambiental,En progreso,80,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,142
IN00143,20250103,A003,EQ0040,L006,Media,Lesión menor,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,143
IN00144,20250419,A004,EQ0029,L007,Baja,Condición insegura,En progreso,31,True,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,144
IN00145,20250203,A004,EQ0002,L007,Media,Daño equipo,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,145
IN00146,20250427,A004,EQ0003,L007,Baja,Daño equipo,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,146
IN00147,20250602,A004,EQ0008,L007,Media,Casi accidente,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,147
IN00148,20250529,A003,EQ0033,L006,Baja,Casi accidente,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,148
IN00149,20250305,A005,EQ0037,L006,Media,Lesión menor,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,149
IN00150,20250405,A001,EQ0028,L003,Baja,Ambiental,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,150
IN00151,20250609,A006,EQ0019,L007,Media,Casi accidente,En progreso,76,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,151
IN00152,20250610,A004,EQ0029,L007,Media,Casi accidente,En progreso,30,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,152
IN00153,20250422,A003,EQ0001,L006,Baja,Daño equipo,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,153
IN00154,20250618,A006,EQ0019,L007,Media,Lesión menor,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,154
IN00155,20250629,A005,EQ0016,L006,Baja,Daño equipo,Abierta,9,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,155
IN00156,20250114,A003,EQ0033,L006,Baja,Casi accidente,Abierta,75,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,156
IN00157,20250319,A004,EQ0003,L007,Baja,Casi accidente,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,157
IN00158,20250425,A004,EQ0005,L007,Baja,Ambiental,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,158
IN00159,20250203,A004,EQ0013,L007,Media,Daño equipo,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,159
IN00160,20250505,A004,EQ0003,L007,Baja,Condición insegura,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,160
IN00161,20250418,A001,EQ0026,L003,Alta,Lesión menor,Cerrada,0,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,161
IN00162,20250605,A004,EQ0012,L007,Baja,Daño equipo,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,162
IN00163,20250427,A005,EQ0034,L006,Baja,Daño equipo,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,163
IN00164,20250615,A004,EQ0029,L007,Media,Ambiental,En progreso,46,True,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,164
IN00165,20250116,A006,EQ0027,L007,Alta,Daño equipo,Cerrada,0,True,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,165
IN00166,20250530,A004,EQ0005,L007,Baja,Condición insegura,Abierta,37,False,Ambiente,project_fact_incidentes_export.csv,2026-06-23T00:00:00,166
IN00167,20250103,A004,EQ0005,L007,Baja,Casi accidente,En progreso,51,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,167
IN00168,20250429,A002,EQ0015,L002,Baja,Lesión menor,Abierta,16,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,168
IN00169,20250430,A005,EQ0017,L006,Baja,Condición insegura,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,169
IN00170,20250422,A004,EQ0012,L007,Baja,Lesión menor,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,170
IN00171,20250630,A005,EQ0018,L006,Baja,Condición insegura,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,171
IN00172,20250423,A006,EQ0019,L007,Media,Ambiental,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,172
IN00173,20250623,A002,EQ0030,L002,Baja,Ambiental,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,173
IN00174,20250310,A004,EQ0012,L007,Baja,Ambiental,Cerrada,0,False,Seguridad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,174
IN00175,20250402,A005,EQ0017,L006,Baja,Lesión menor,En progreso,79,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,175
IN00176,20250107,A001,EQ0028,L003,Baja,Casi accidente,Abierta,14,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,176
IN00177,20250222,A004,EQ0002,L007,Baja,Condición insegura,Cerrada,0,False,Operación,project_fact_incidentes_export.csv,2026-06-23T00:00:00,177
IN00178,20250130,A004,EQ0008,L007,Baja,Casi accidente,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,178
IN00179,20250602,A005,EQ0039,L006,Baja,Ambiental,Cerrada,0,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,179
IN00180,20250521,A006,EQ0019,L007,Alta,Condición insegura,En progreso,72,False,Calidad,project_fact_incidentes_export.csv,2026-06-23T00:00:00,180
