MaintenanceID,DateKey,EquipmentID,AreaID,WorkTypeID,PriorityID,FailureMode,SystemCategory,DowntimeHours,RepairHours,MaintenanceCost,PlannedFlag,_SourceFile,_ExportedAt,_LegacyRowNumber,EquipmentName_Source
MT000051,20250208,EQ0001,A005,WT2,P2,Baja presión,Energía,5.48,4.63,10663.06,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,51,Alimentador Sintético 0001
MT000052,20250203,EQ0012,A008,WT2,P4,Alta vibración,Molienda,6.1,2.82,11025.8,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,52,Molino SAG Sintético 0012
MT000053,20250312,EQ0058,A008,WT2,P2,Desgaste de revestimientos,Molienda,28.17,19.44,41481.82,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,53,Molino de bolas Sintético 0058
MT000054,20250616,EQ0024,A017,WT2,P3,Pérdida de comunicación PLC,Control,7.04,3.03,10505.16,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,54,Sistema de control distribuido Sintético 0024
MT000055,20250428,EQ0058,A008,WT2,P2,Alta vibración,Molienda,7.08,3.88,9363.72,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,55,Molino de bolas Sintético 0058
MT000056,20250422,EQ0009,A017,WT1,P3,Falla de instrumentación,Control,3.29,2.88,2192.12,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,56,RTU Sintético 0009
MT000057,20250504,EQ0007,A004,WT1,P2,Falla de pala,Control,3.63,2.48,6867.95,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,57,Pala eléctrica Sintético 0007
MT000058,20250204,EQ0011,A004,WT1,P2,Falla de bomba de pulpa,Seguridad,3.5,1.38,2960.3,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,58,Camión aljibe Sintético 0011
MT000059,20250508,EQ0057,A004,WT1,P3,Desgaste de neumáticos,Mecánico,4.26,3.19,11804.99,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,59,Camión CAEX Sintético 0057
MT000060,20250529,EQ0002,A004,WT1,P2,Falla de transmisión,Neumáticos,6.58,6.13,16519.01,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,60,Camión CAEX Sintético 0002
MT000061,20250221,EQ0008,A017,WT2,P2,Deriva de sensor,Control,6.92,6.23,6142.26,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,61,Servidor SCADA Sintético 0008
MT000062,20250226,EQ0025,A010,WT2,P3,Falla de bomba de pulpa,Instrumentación,4.62,3.39,7891.24,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,62,Sistema de relaves Sintético 0025
MT000063,20250630,EQ0056,A006,WT2,P2,Desalineamiento de correa,Correas,0.35,0.3,752.83,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,63,Correa transportadora Sintético 0056
MT000064,20250206,EQ0008,A017,WT1,P3,Falla de instrumentación,Control,4.76,3.03,5813.22,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,64,Servidor SCADA Sintético 0008
MT000065,20250120,EQ0031,A006,WT1,P3,Obstrucción de chute,Correas,5.3,2.51,4902.74,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,65,Correa transportadora Sintético 0031
MT000066,20250428,EQ0044,A005,WT2,P2,Falla de motor,Instrumentación,1.41,0.64,1353.92,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,66,Alimentador Sintético 0044
MT000067,20250307,EQ0027,A017,WT1,P4,Falla de instrumentación,Control,2.43,1.31,5195.31,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,67,RTU Sintético 0027
MT000068,20250423,EQ0015,A010,WT1,P2,Alta vibración,Energía,3.57,2.01,3131.92,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,68,Filtro Sintético 0015
MT000069,20250505,EQ0009,A017,WT2,P2,Deriva de sensor,Control,15.44,14.45,16992.52,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,69,RTU Sintético 0009
MT000070,20250226,EQ0009,A017,WT2,P2,Pérdida de comunicación PLC,Control,17.22,10.64,13535.8,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,70,RTU Sintético 0009
MT000071,20250211,EQ0039,A010,WT2,P2,Desgaste de revestimientos,Mecánico,27.87,19.53,32089.89,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,71,Sistema de relaves Sintético 0039
MT000072,20250323,EQ0006,A004,WT2,P3,Bloqueo de chancador,Instrumentación,17.46,8.98,15529.28,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,72,Cargador frontal Sintético 0006
MT000073,20250208,EQ0044,A005,WT2,P4,Alta vibración,Seguridad,6.19,4.07,8667.59,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,73,Alimentador Sintético 0044
MT000074,20250505,EQ0009,A017,WT1,P2,Falla de instrumentación,Control,2.15,1.96,4489.56,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,74,RTU Sintético 0009
MT000075,20250428,EQ0030,A017,WT1,P1,Deriva de sensor,Control,4.57,2.88,7553.17,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,75,Switch industrial Sintético 0030
MT000076,20250604,EQ0056,A006,WT1,P4,Obstrucción de chute,Correas,1.65,1.53,2481.15,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,76,Correa transportadora Sintético 0056
MT000077,20250403,EQ0030,A017,WT2,P3,Falla de instrumentación,Control,2.05,1.7,4404.52,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,77,Switch industrial Sintético 0030
MT000078,20250207,EQ0044,A005,WT2,P3,Deriva de sensor,Eléctrico,11.1,10.16,21219.48,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,78,Alimentador Sintético 0044
MT000079,20250617,EQ0053,A004,WT2,P3,Bloqueo de chancador,Energía,7.57,3.92,5709.09,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,79,Sistema dispatch Sintético 0053
MT000080,20250324,EQ0050,A013,WT1,P2,Fuga hidráulica,Mecánico,1.14,0.85,1667.31,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,80,Medidor de energía Sintético 0050
MT000081,20250404,EQ0049,A004,WT2,P3,Falla de motor,Neumáticos,5.81,4.19,15989.34,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,81,Camión CAEX Sintético 0049
MT000082,20250112,EQ0003,A017,WT2,P4,Deriva de sensor,Control,3.58,2.38,5410.18,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,82,PLC Sintético 0003
MT000083,20250325,EQ0038,A010,WT1,P3,Obstrucción de chute,Energía,6.81,5.22,15834.18,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,83,Espesador Sintético 0038
MT000084,20250509,EQ0003,A017,WT2,P2,Deriva de sensor,Control,14.58,10.62,23709.95,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,84,PLC Sintético 0003
MT000085,20250211,EQ0052,A004,WT2,P3,Desgaste de revestimientos,Energía,4.06,3.5,2723.08,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,85,Camión aljibe Sintético 0052
MT000086,20250303,EQ0042,A008,WT1,P2,Desgaste de revestimientos,Molienda,4.14,2.26,2023.17,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,86,Molino de bolas Sintético 0042
MT000087,20250522,EQ0055,A017,WT2,P1,Pérdida de comunicación PLC,Control,3.3,3.13,5388.3,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,87,Servidor Historiador Sintético 0055
MT000088,20250223,EQ0043,A009,WT2,P3,Desgaste de neumáticos,Energía,15.66,8.19,28162.07,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,88,Celda de flotación Sintético 0043
MT000089,20250220,EQ0017,A017,WT2,P4,Pérdida de comunicación PLC,Control,25.09,20.46,11556.16,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,89,Servidor SCADA Sintético 0017
MT000090,20250307,EQ0009,A017,WT2,P2,Deriva de sensor,Control,14.3,11.06,19209.56,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,90,RTU Sintético 0009
MT000091,20250219,EQ0050,A013,WT2,P3,Falla de motor,Energía,18.85,8.34,37550.61,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,91,Medidor de energía Sintético 0050
MT000092,20250226,EQ0024,A017,WT2,P1,Deriva de sensor,Control,9.65,4.36,18060.71,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,92,Sistema de control distribuido Sintético 0024
MT000093,20250628,EQ0044,A005,WT2,P4,Falla de pala,Eléctrico,2.67,1.32,4240.59,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,93,Alimentador Sintético 0044
MT000094,20250601,EQ0055,A017,WT1,P3,Pérdida de comunicación PLC,Control,5.67,2.62,2781.27,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,94,Servidor Historiador Sintético 0055
MT000095,20250401,EQ0009,A017,WT2,P2,Pérdida de comunicación PLC,Control,1.58,0.93,2947.54,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,95,RTU Sintético 0009
MT000096,20250506,EQ0018,A004,WT1,P4,Bloqueo de chancador,Mecánico,2.01,1.25,1772.91,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,96,Motoniveladora Sintético 0018
MT000097,20250203,EQ0053,A004,WT2,P4,Baja presión,Instrumentación,4.81,3.18,4377.92,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,97,Sistema dispatch Sintético 0053
MT000098,20250213,EQ0060,A004,WT1,P2,Falla de bomba de pulpa,Instrumentación,8.15,3.32,17803.09,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,98,Bulldozer Sintético 0060
MT000099,20250518,EQ0057,A004,WT2,P3,Falla de transmisión,Mecánico,0.42,0.16,388.3,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,99,Camión CAEX Sintético 0057
MT000100,20250214,EQ0027,A017,WT1,P4,Falla de instrumentación,Control,6.24,4.71,6074.62,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,100,RTU Sintético 0027
MT000101,20250121,EQ0059,A004,WT1,P1,Falla de pala,Control,1.31,0.69,1470.52,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,101,Pala eléctrica Sintético 0059
MT000102,20250409,EQ0017,A017,WT1,P2,Deriva de sensor,Control,5.88,3.42,9710.83,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,102,Servidor SCADA Sintético 0017
MT000103,20250324,EQ0040,A017,WT1,P1,Falla de instrumentación,Control,5.53,5.18,3285.37,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,103,Switch industrial Sintético 0040
MT000104,20250218,EQ0060,A004,WT1,P2,Fuga hidráulica,Seguridad,1.31,0.72,795.8,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,104,Bulldozer Sintético 0060
MT000105,20250422,EQ0018,A004,WT2,P3,Falla de pala,Seguridad,5.36,3.51,10872.61,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,105,Motoniveladora Sintético 0018
MT000106,20250118,EQ0025,A010,WT1,P2,Obstrucción de chute,Mecánico,3.94,2.58,3758.37,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,106,Sistema de relaves Sintético 0025
MT000107,20250222,EQ0006,A004,WT2,P2,Trip de variador,Seguridad,2.04,1.65,2997.11,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,107,Cargador frontal Sintético 0006
MT000108,20250227,EQ0004,A004,WT2,P3,Falla de pala,Hidráulico,10.31,4.68,15291.66,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,108,Perforadora Sintético 0004
MT000109,20250512,EQ0056,A006,WT1,P2,Obstrucción de chute,Correas,2.66,2.41,4368.39,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,109,Correa transportadora Sintético 0056
MT000110,20250323,EQ0050,A013,WT2,P2,Deriva de sensor,Mecánico,3.52,1.56,7969.06,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,110,Medidor de energía Sintético 0050
MT000111,20250102,EQ0016,A005,WT1,P1,Fuga hidráulica,Seguridad,7.23,3.88,13363.6,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,111,Harnero Sintético 0016
MT000112,20250325,EQ0018,A004,WT1,P2,Falla de sello mecánico,Energía,3.61,2.77,6249.89,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,112,Motoniveladora Sintético 0018
MT000113,20250628,EQ0060,A004,WT1,P2,Falla de transmisión,Seguridad,7.49,5.73,12312.95,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,113,Bulldozer Sintético 0060
MT000114,20250119,EQ0037,A005,WT2,P3,Falla eléctrica,Chancado,10.32,8.37,17952.1,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,114,Chancador primario Sintético 0037
MT000115,20250427,EQ0025,A010,WT1,P3,Bloqueo de chancador,Eléctrico,8.12,4.21,17471.31,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,115,Sistema de relaves Sintético 0025
MT000116,20250427,EQ0038,A010,WT1,P3,Falla de transmisión,Instrumentación,3.86,2.8,7442.05,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,116,Espesador Sintético 0038
MT000117,20250214,EQ0041,A017,WT2,P2,Desalineamiento de correa,Mecánico,15.44,12.88,31264.67,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,117,Sensor de vibración Sintético 0041
MT000118,20250430,EQ0053,A004,WT2,P2,Desalineamiento de correa,Eléctrico,15.08,9.77,13557.86,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,118,Sistema dispatch Sintético 0053
MT000119,20250617,EQ0055,A017,WT2,P2,Deriva de sensor,Control,9.39,8.59,10098.57,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,119,Servidor Historiador Sintético 0055
MT000120,20250516,EQ0027,A017,WT2,P2,Pérdida de comunicación PLC,Control,22.95,18.68,47156.98,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,120,RTU Sintético 0027
MT000121,20250316,EQ0029,A005,WT1,P4,Alta vibración,Chancado,2.3,1.19,5252.69,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,121,Chancador secundario Sintético 0029
MT000122,20250629,EQ0044,A005,WT2,P3,Falla eléctrica,Energía,8.41,6.9,18001.03,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,122,Alimentador Sintético 0044
MT000123,20250627,EQ0051,A004,WT1,P2,Falla de instrumentación,Instrumentación,5.24,2.91,8036.27,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,123,Sistema dispatch Sintético 0051
MT000124,20250331,EQ0048,A004,WT1,P2,Falla de pala,Control,3.07,1.8,4569.12,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,124,Pala hidráulica Sintético 0048
MT000125,20250411,EQ0050,A013,WT1,P2,Deriva de sensor,Mecánico,6.48,4.05,3232.42,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,125,Medidor de energía Sintético 0050
MT000126,20250116,EQ0055,A017,WT1,P2,Falla de instrumentación,Control,6.87,6.2,4216.69,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,126,Servidor Historiador Sintético 0055
MT000127,20250409,EQ0016,A005,WT2,P2,Fuga hidráulica,Seguridad,4.03,3.14,2848.2,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,127,Harnero Sintético 0016
MT000128,20250413,EQ0004,A004,WT2,P2,Falla de pala,Mecánico,8.3,5.6,15772.97,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,128,Perforadora Sintético 0004
MT000129,20250505,EQ0045,A012,WT1,P2,Falla de bomba de pulpa,Bombas,5.66,4.81,5363.42,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,129,Bomba de pulpa Sintético 0045
MT000130,20250223,EQ0039,A010,WT2,P2,Falla eléctrica,Instrumentación,16.47,14.07,30476.12,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,130,Sistema de relaves Sintético 0039
MT000131,20250124,EQ0029,A005,WT1,P1,Bloqueo de chancador,Chancado,0.62,0.27,1132.96,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,131,Chancador secundario Sintético 0029
MT000132,20250225,EQ0004,A004,WT1,P2,Alta vibración,Mecánico,0.91,0.74,818.36,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,132,Perforadora Sintético 0004
MT000133,20250530,EQ0022,A009,WT2,P4,Falla de bomba de pulpa,Instrumentación,9.36,7.69,8047.01,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,133,Celda de flotación Sintético 0022
MT000134,20250116,EQ0029,A005,WT2,P3,Alta vibración,Chancado,12.5,8.85,29885.88,False,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,134,Chancador secundario Sintético 0029
MT000135,20250207,EQ0051,A004,WT1,P4,Desalineamiento de correa,Mecánico,0.51,0.21,1025.02,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,135,Sistema dispatch Sintético 0051
MT000136,20250526,EQ0053,A004,WT1,P3,Obstrucción de chute,Eléctrico,1.58,1.4,1467.76,True,project_fact_mantenimiento_export.csv,2026-06-23T00:00:00,136,Sistema dispatch Sintético 0053
