ProductivityID,DateKey,AreaID,ResponsibleID,LocationID,Shift,PlannedOutput,ActualOutput,LaborHours,ProductiveHours,NonProductiveHours,_SourceFile,_ExportedAt,_LegacyRowNumber
PD000069,20250224,A014,R015,L013,Tarde,123,123,8.29,6.16,2.13,project_fact_productividad_export.csv,2026-06-23T00:00:00,69
PD000070,20250601,A017,R014,L012,Día,185,171,6.73,6.14,0.59,project_fact_productividad_export.csv,2026-06-23T00:00:00,70
PD000071,20250329,A011,R028,L003,Noche,26,28,6.88,4.71,2.16,project_fact_productividad_export.csv,2026-06-23T00:00:00,71
PD000072,20250503,A005,R018,L011,Día,2237,2305,6.97,4.89,2.08,project_fact_productividad_export.csv,2026-06-23T00:00:00,72
PD000073,20250312,A015,R017,L013,Día,34,28,7.9,5.67,2.23,project_fact_productividad_export.csv,2026-06-23T00:00:00,73
PD000074,20250619,A001,R028,L017,Noche,6107,5773,7.69,5.79,1.9,project_fact_productividad_export.csv,2026-06-23T00:00:00,74
PD000075,20250528,A001,R010,L005,Día,2857,2996,7.08,5.15,1.94,project_fact_productividad_export.csv,2026-06-23T00:00:00,75
PD000076,20250324,A003,R029,L011,Día,7230,6605,6.33,4.37,1.96,project_fact_productividad_export.csv,2026-06-23T00:00:00,76
PD000077,20250601,A003,R025,L016,Tarde,3973,3933,8.9,6.91,1.99,project_fact_productividad_export.csv,2026-06-23T00:00:00,77
PD000078,20250115,A007,R013,L004,Día,1346,1085,10.39,8.8,1.59,project_fact_productividad_export.csv,2026-06-23T00:00:00,78
PD000079,20250629,A016,R001,L014,Día,153,145,9.38,6.77,2.61,project_fact_productividad_export.csv,2026-06-23T00:00:00,79
PD000080,20250417,A013,R008,L005,Tarde,138,146,8.14,6.17,1.97,project_fact_productividad_export.csv,2026-06-23T00:00:00,80
PD000081,20250608,A010,R004,L009,Noche,2755,2066,7.25,5.45,1.8,project_fact_productividad_export.csv,2026-06-23T00:00:00,81
PD000082,20250104,A015,R023,L003,Día,39,37,7.4,6.08,1.32,project_fact_productividad_export.csv,2026-06-23T00:00:00,82
PD000083,20250627,A009,R020,L009,Tarde,2909,2447,8.39,6.6,1.79,project_fact_productividad_export.csv,2026-06-23T00:00:00,83
PD000084,20250510,A014,R029,L011,Día,30,29,6.56,5.75,0.81,project_fact_productividad_export.csv,2026-06-23T00:00:00,84
PD000085,20250617,A005,R030,L001,Día,3054,3318,10.87,8.82,2.05,project_fact_productividad_export.csv,2026-06-23T00:00:00,85
PD000086,20250422,A011,R004,L017,Noche,177,165,11.85,10.11,1.74,project_fact_productividad_export.csv,2026-06-23T00:00:00,86
PD000087,20250302,A010,R007,L001,Noche,1867,1611,6.65,4.76,1.89,project_fact_productividad_export.csv,2026-06-23T00:00:00,87
PD000088,20250329,A016,R014,L003,Noche,173,164,11.14,10.12,1.01,project_fact_productividad_export.csv,2026-06-23T00:00:00,88
PD000089,20250422,A002,R030,L015,Tarde,167,160,11.48,8.57,2.91,project_fact_productividad_export.csv,2026-06-23T00:00:00,89
PD000090,20250316,A017,R006,L003,Tarde,25,24,8.32,7.01,1.31,project_fact_productividad_export.csv,2026-06-23T00:00:00,90
PD000091,20250218,A004,R014,L004,Noche,5657,6134,9.34,6.87,2.47,project_fact_productividad_export.csv,2026-06-23T00:00:00,91
PD000092,20250510,A014,R023,L007,Día,181,212,7.15,5.8,1.36,project_fact_productividad_export.csv,2026-06-23T00:00:00,92
PD000093,20250318,A001,R019,L002,Día,2353,2548,10.57,8.45,2.11,project_fact_productividad_export.csv,2026-06-23T00:00:00,93
PD000094,20250627,A005,R030,L013,Día,2214,2097,7.03,5.41,1.61,project_fact_productividad_export.csv,2026-06-23T00:00:00,94
PD000095,20250601,A006,R004,L010,Noche,914,981,10.24,8.3,1.94,project_fact_productividad_export.csv,2026-06-23T00:00:00,95
PD000096,20250512,A008,R029,L006,Noche,2463,2453,11.37,8.97,2.39,project_fact_productividad_export.csv,2026-06-23T00:00:00,96
PD000097,20250226,A009,R005,L015,Tarde,4171,2678,7.99,5.56,2.43,project_fact_productividad_export.csv,2026-06-23T00:00:00,97
PD000098,20250322,A006,R028,L011,Noche,3430,3109,11.56,10.57,0.99,project_fact_productividad_export.csv,2026-06-23T00:00:00,98
PD000099,20250319,A012,R012,L013,Día,48,57,11.97,9.19,2.78,project_fact_productividad_export.csv,2026-06-23T00:00:00,99
PD000100,20250325,A012,R020,L012,Tarde,157,137,11.29,9.41,1.87,project_fact_productividad_export.csv,2026-06-23T00:00:00,100
PD000101,20250108,A012,R008,L016,Noche,158,141,10.74,9.38,1.36,project_fact_productividad_export.csv,2026-06-23T00:00:00,101
PD000102,20250323,A016,R023,L015,Tarde,20,15,7.56,6.56,1.01,project_fact_productividad_export.csv,2026-06-23T00:00:00,102
PD000103,20250317,A001,R012,L005,Día,3851,3912,9.18,7.87,1.31,project_fact_productividad_export.csv,2026-06-23T00:00:00,103
PD000104,20250424,A007,R011,L012,Día,4069,3259,10.84,8.03,2.81,project_fact_productividad_export.csv,2026-06-23T00:00:00,104
PD000105,20250209,A010,R030,L011,Tarde,3248,2366,8.12,6.5,1.63,project_fact_productividad_export.csv,2026-06-23T00:00:00,105
PD000106,20250323,A013,R018,L005,Tarde,39,39,11.08,7.89,3.19,project_fact_productividad_export.csv,2026-06-23T00:00:00,106
PD000107,20250514,A017,R029,L011,Noche,251,271,9.34,8.58,0.76,project_fact_productividad_export.csv,2026-06-23T00:00:00,107
PD000108,20250329,A007,R001,L011,Tarde,1828,1393,8.34,7.39,0.95,project_fact_productividad_export.csv,2026-06-23T00:00:00,108
PD000109,20250227,A007,R008,L005,Día,3777,2724,10.58,8.72,1.86,project_fact_productividad_export.csv,2026-06-23T00:00:00,109
PD000110,20250406,A012,R002,L016,Noche,52,49,11.61,9.62,2.0,project_fact_productividad_export.csv,2026-06-23T00:00:00,110
PD000111,20250605,A014,R028,L004,Día,93,73,6.49,5.7,0.78,project_fact_productividad_export.csv,2026-06-23T00:00:00,111
PD000112,20250118,A016,R006,L014,Día,176,179,9.75,7.86,1.88,project_fact_productividad_export.csv,2026-06-23T00:00:00,112
PD000113,20250304,A001,R019,L015,Tarde,7794,6400,11.71,9.72,1.99,project_fact_productividad_export.csv,2026-06-23T00:00:00,113
PD000114,20250101,A010,R014,L014,Noche,3351,1689,9.93,7.67,2.26,project_fact_productividad_export.csv,2026-06-23T00:00:00,114
PD000115,20250419,A009,R003,L013,Tarde,3391,2660,6.64,5.69,0.95,project_fact_productividad_export.csv,2026-06-23T00:00:00,115
PD000116,20250424,A013,R017,L003,Tarde,64,61,11.91,10.54,1.36,project_fact_productividad_export.csv,2026-06-23T00:00:00,116
PD000117,20250102,A004,R029,L017,Día,7896,8768,6.78,5.28,1.49,project_fact_productividad_export.csv,2026-06-23T00:00:00,117
PD000118,20250221,A017,R018,L002,Día,156,159,11.85,8.7,3.15,project_fact_productividad_export.csv,2026-06-23T00:00:00,118
PD000119,20250107,A009,R024,L016,Noche,4009,1960,8.21,5.75,2.47,project_fact_productividad_export.csv,2026-06-23T00:00:00,119
PD000120,20250331,A004,R026,L006,Noche,3991,3518,9.16,6.33,2.83,project_fact_productividad_export.csv,2026-06-23T00:00:00,120
PD000121,20250517,A001,R018,L001,Día,5162,5368,10.24,8.65,1.58,project_fact_productividad_export.csv,2026-06-23T00:00:00,121
PD000122,20250115,A007,R006,L010,Tarde,3341,3618,10.17,8.48,1.68,project_fact_productividad_export.csv,2026-06-23T00:00:00,122
PD000123,20250613,A006,R019,L013,Tarde,839,663,10.97,7.87,3.1,project_fact_productividad_export.csv,2026-06-23T00:00:00,123
PD000124,20250203,A004,R017,L014,Día,8177,8213,11.08,8.0,3.08,project_fact_productividad_export.csv,2026-06-23T00:00:00,124
PD000125,20250622,A015,R017,L016,Tarde,145,115,6.92,6.21,0.7,project_fact_productividad_export.csv,2026-06-23T00:00:00,125
PD000126,20250418,A008,R007,L014,Noche,2097,1974,8.51,7.39,1.13,project_fact_productividad_export.csv,2026-06-23T00:00:00,126
PD000127,20250115,A014,R029,L007,Día,24,26,8.25,6.22,2.03,project_fact_productividad_export.csv,2026-06-23T00:00:00,127
PD000128,20250528,A002,R028,L017,Día,242,233,8.44,6.25,2.18,project_fact_productividad_export.csv,2026-06-23T00:00:00,128
PD000129,20250524,A012,R003,L008,Día,55,64,11.89,10.23,1.66,project_fact_productividad_export.csv,2026-06-23T00:00:00,129
PD000130,20250116,A007,R013,L006,Día,3670,3107,8.02,5.45,2.58,project_fact_productividad_export.csv,2026-06-23T00:00:00,130
PD000131,20250508,A007,R019,L003,Noche,3380,2344,11.46,7.13,4.32,project_fact_productividad_export.csv,2026-06-23T00:00:00,131
PD000132,20250128,A007,R013,L012,Día,3144,2777,10.8,8.62,2.18,project_fact_productividad_export.csv,2026-06-23T00:00:00,132
PD000133,20250512,A006,R027,L012,Día,3962,4747,7.44,6.61,0.83,project_fact_productividad_export.csv,2026-06-23T00:00:00,133
PD000134,20250204,A017,R030,L016,Tarde,257,236,9.11,6.98,2.13,project_fact_productividad_export.csv,2026-06-23T00:00:00,134
PD000135,20250101,A015,R007,L016,Día,161,164,6.78,4.62,2.17,project_fact_productividad_export.csv,2026-06-23T00:00:00,135
PD000136,20250118,A015,R016,L011,Día,192,168,8.5,6.36,2.14,project_fact_productividad_export.csv,2026-06-23T00:00:00,136
PD000137,20250313,A010,R009,L003,Tarde,1702,1332,10.47,6.03,4.44,project_fact_productividad_export.csv,2026-06-23T00:00:00,137
PD000138,20250206,A017,R010,L017,Tarde,39,31,10.05,7.12,2.94,project_fact_productividad_export.csv,2026-06-23T00:00:00,138
PD000139,20250106,A006,R004,L014,Tarde,3378,3502,10.22,8.98,1.25,project_fact_productividad_export.csv,2026-06-23T00:00:00,139
PD000140,20250321,A017,R019,L005,Día,61,59,10.99,9.06,1.93,project_fact_productividad_export.csv,2026-06-23T00:00:00,140
PD000141,20250515,A011,R025,L005,Noche,240,237,11.73,8.72,3.01,project_fact_productividad_export.csv,2026-06-23T00:00:00,141
PD000142,20250325,A014,R020,L003,Noche,161,175,6.55,5.45,1.1,project_fact_productividad_export.csv,2026-06-23T00:00:00,142
PD000143,20250612,A014,R010,L011,Noche,193,205,7.45,5.37,2.08,project_fact_productividad_export.csv,2026-06-23T00:00:00,143
PD000144,20250222,A006,R028,L008,Día,1656,1531,6.72,5.86,0.86,project_fact_productividad_export.csv,2026-06-23T00:00:00,144
PD000145,20250222,A009,R022,L013,Día,2704,2763,8.14,5.28,2.86,project_fact_productividad_export.csv,2026-06-23T00:00:00,145
PD000146,20250604,A015,R011,L007,Noche,111,105,7.14,5.5,1.65,project_fact_productividad_export.csv,2026-06-23T00:00:00,146
PD000147,20250524,A014,R015,L017,Tarde,89,95,7.45,5.77,1.67,project_fact_productividad_export.csv,2026-06-23T00:00:00,147
PD000148,20250326,A001,R027,L004,Día,6532,5421,8.48,6.95,1.52,project_fact_productividad_export.csv,2026-06-23T00:00:00,148
PD000149,20250508,A012,R007,L004,Tarde,125,136,7.55,5.44,2.11,project_fact_productividad_export.csv,2026-06-23T00:00:00,149
PD000150,20250513,A002,R015,L006,Noche,200,207,9.95,7.3,2.65,project_fact_productividad_export.csv,2026-06-23T00:00:00,150
PD000151,20250411,A005,R023,L016,Día,3526,2925,9.79,7.0,2.79,project_fact_productividad_export.csv,2026-06-23T00:00:00,151
PD000152,20250210,A006,R002,L005,Día,2211,2039,8.23,7.07,1.16,project_fact_productividad_export.csv,2026-06-23T00:00:00,152
PD000153,20250529,A007,R007,L006,Noche,2683,1792,10.18,8.96,1.22,project_fact_productividad_export.csv,2026-06-23T00:00:00,153
PD000154,20250313,A001,R011,L007,Tarde,4266,4582,11.33,10.39,0.94,project_fact_productividad_export.csv,2026-06-23T00:00:00,154
PD000155,20250429,A012,R010,L011,Día,49,50,8.45,6.26,2.2,project_fact_productividad_export.csv,2026-06-23T00:00:00,155
PD000156,20250322,A017,R021,L014,Noche,218,233,10.9,9.4,1.5,project_fact_productividad_export.csv,2026-06-23T00:00:00,156
PD000157,20250107,A015,R021,L014,Día,97,97,6.29,4.44,1.85,project_fact_productividad_export.csv,2026-06-23T00:00:00,157
PD000158,20250118,A009,R005,L009,Día,3018,2481,10.8,7.21,3.59,project_fact_productividad_export.csv,2026-06-23T00:00:00,158
PD000159,20250127,A016,R003,L008,Día,112,112,7.14,5.46,1.69,project_fact_productividad_export.csv,2026-06-23T00:00:00,159
PD000160,20250524,A014,R010,L016,Tarde,220,202,8.93,7.28,1.65,project_fact_productividad_export.csv,2026-06-23T00:00:00,160
PD000161,20250505,A007,R008,L004,Noche,955,612,9.77,8.14,1.63,project_fact_productividad_export.csv,2026-06-23T00:00:00,161
PD000162,20250123,A010,R029,L013,Noche,3353,1960,11.43,9.57,1.86,project_fact_productividad_export.csv,2026-06-23T00:00:00,162
PD000163,20250524,A001,R008,L010,Noche,6955,7019,9.47,7.32,2.15,project_fact_productividad_export.csv,2026-06-23T00:00:00,163
PD000164,20250117,A008,R030,L010,Tarde,1643,1518,8.75,6.43,2.32,project_fact_productividad_export.csv,2026-06-23T00:00:00,164
PD000165,20250427,A012,R007,L014,Día,246,215,9.18,7.98,1.2,project_fact_productividad_export.csv,2026-06-23T00:00:00,165
PD000166,20250111,A006,R003,L016,Día,2079,1947,8.48,5.87,2.61,project_fact_productividad_export.csv,2026-06-23T00:00:00,166
PD000167,20250124,A016,R012,L011,Noche,118,140,6.69,4.9,1.79,project_fact_productividad_export.csv,2026-06-23T00:00:00,167
PD000168,20250209,A008,R026,L002,Noche,3905,3187,7.42,6.79,0.63,project_fact_productividad_export.csv,2026-06-23T00:00:00,168
PD000169,20250302,A005,R029,L006,Tarde,2584,3181,9.22,6.48,2.74,project_fact_productividad_export.csv,2026-06-23T00:00:00,169
PD000170,20250313,A005,R029,L002,Noche,1930,1790,7.24,6.25,0.99,project_fact_productividad_export.csv,2026-06-23T00:00:00,170
PD000171,20250529,A011,R004,L016,Tarde,55,53,10.22,8.51,1.71,project_fact_productividad_export.csv,2026-06-23T00:00:00,171
PD000172,20250606,A005,R013,L008,Noche,2573,2705,8.52,7.46,1.07,project_fact_productividad_export.csv,2026-06-23T00:00:00,172
PD000173,20250101,A006,R022,L016,Día,1711,1648,7.42,6.06,1.36,project_fact_productividad_export.csv,2026-06-23T00:00:00,173
PD000174,20250519,A006,R008,L004,Día,2828,2594,10.37,7.3,3.07,project_fact_productividad_export.csv,2026-06-23T00:00:00,174
PD000175,20250128,A015,R005,L016,Día,171,196,8.58,6.88,1.7,project_fact_productividad_export.csv,2026-06-23T00:00:00,175
PD000176,20250519,A006,R020,L012,Noche,3251,3507,11.4,8.87,2.53,project_fact_productividad_export.csv,2026-06-23T00:00:00,176
PD000177,20250522,A010,R015,L005,Día,3009,2880,7.22,5.63,1.58,project_fact_productividad_export.csv,2026-06-23T00:00:00,177
PD000178,20250326,A001,R005,L001,Día,5143,4680,6.33,5.24,1.08,project_fact_productividad_export.csv,2026-06-23T00:00:00,178
PD000179,20250423,A005,R016,L012,Tarde,1105,1159,9.9,8.23,1.67,project_fact_productividad_export.csv,2026-06-23T00:00:00,179
PD000180,20250528,A010,R028,L001,Noche,1206,725,8.39,6.74,1.65,project_fact_productividad_export.csv,2026-06-23T00:00:00,180
PD000181,20250105,A016,R022,L017,Noche,171,175,6.21,5.08,1.12,project_fact_productividad_export.csv,2026-06-23T00:00:00,181
PD000182,20250105,A005,R009,L016,Día,4056,4403,7.16,6.31,0.85,project_fact_productividad_export.csv,2026-06-23T00:00:00,182
PD000183,20250413,A008,R030,L017,Día,3886,3521,6.09,5.41,0.68,project_fact_productividad_export.csv,2026-06-23T00:00:00,183
PD000184,20250504,A004,R016,L010,Día,6671,7104,10.7,8.25,2.45,project_fact_productividad_export.csv,2026-06-23T00:00:00,184
PD000185,20250208,A017,R027,L011,Noche,39,37,11.58,9.72,1.86,project_fact_productividad_export.csv,2026-06-23T00:00:00,185
PD000186,20250608,A013,R012,L001,Tarde,234,202,10.4,9.39,1.02,project_fact_productividad_export.csv,2026-06-23T00:00:00,186
PD000187,20250625,A002,R030,L009,Noche,149,155,11.9,10.88,1.02,project_fact_productividad_export.csv,2026-06-23T00:00:00,187
PD000188,20250623,A007,R006,L004,Noche,2885,1854,10.44,6.03,4.41,project_fact_productividad_export.csv,2026-06-23T00:00:00,188
PD000189,20250527,A006,R017,L017,Día,3108,2617,9.85,8.18,1.67,project_fact_productividad_export.csv,2026-06-23T00:00:00,189
PD000190,20250525,A007,R030,L013,Noche,2899,1901,7.04,6.18,0.86,project_fact_productividad_export.csv,2026-06-23T00:00:00,190
PD000191,20250425,A002,R008,L013,Tarde,206,199,6.68,5.78,0.91,project_fact_productividad_export.csv,2026-06-23T00:00:00,191
PD000192,20250117,A001,R004,L009,Tarde,3984,4196,6.16,4.27,1.89,project_fact_productividad_export.csv,2026-06-23T00:00:00,192
PD000193,20250116,A015,R025,L009,Día,82,81,9.75,7.02,2.73,project_fact_productividad_export.csv,2026-06-23T00:00:00,193
PD000194,20250201,A006,R022,L016,Día,1127,1076,8.73,7.51,1.22,project_fact_productividad_export.csv,2026-06-23T00:00:00,194
PD000195,20250325,A003,R002,L003,Día,3799,4365,8.03,6.81,1.22,project_fact_productividad_export.csv,2026-06-23T00:00:00,195
PD000196,20250328,A015,R026,L002,Noche,56,52,7.3,6.7,0.6,project_fact_productividad_export.csv,2026-06-23T00:00:00,196
PD000197,20250611,A013,R009,L016,Noche,230,229,11.88,9.07,2.82,project_fact_productividad_export.csv,2026-06-23T00:00:00,197
PD000198,20250127,A008,R013,L001,Noche,2812,2643,6.45,5.69,0.76,project_fact_productividad_export.csv,2026-06-23T00:00:00,198
PD000199,20250118,A010,R008,L009,Noche,2766,1515,9.17,7.73,1.44,project_fact_productividad_export.csv,2026-06-23T00:00:00,199
PD000200,20250331,A011,R016,L017,Día,172,172,9.83,8.89,0.94,project_fact_productividad_export.csv,2026-06-23T00:00:00,200
PD000201,20250102,A015,R020,L001,Noche,58,60,8.17,5.65,2.52,project_fact_productividad_export.csv,2026-06-23T00:00:00,201
PD000202,20250430,A002,R024,L017,Día,152,169,9.27,6.98,2.29,project_fact_productividad_export.csv,2026-06-23T00:00:00,202
PD000203,20250202,A016,R027,L011,Día,227,266,8.11,6.14,1.97,project_fact_productividad_export.csv,2026-06-23T00:00:00,203
