MaintenanceID,DateKey,EquipmentID,AreaID,WorkTypeID,PriorityID,FailureMode,SystemCategory,DowntimeHours,RepairHours,MaintenanceCost,PlannedFlag
MT000026,20240211,EQ0007,A005,WT2,P1,Falla eléctrica,Control,21.32,18.16,13818.17,False
MT000027,20241101,EQ0024,A005,WT1,P3,Sobrecalentamiento,Mecánico,5.96,2.39,3434.01,True
MT000028,20240329,EQ0012,A003,WT2,P1,Calibración,Eléctrico,9.0,5.71,7890.74,False
MT000029,20240430,EQ0011,A004,WT1,P3,Sobrecalentamiento,Control,2.72,2.37,2338.18,True
MT000030,20240817,EQ0039,A004,WT2,P1,Desgaste,TI/OT,4.2,1.95,3607.13,False
MT000031,20240909,EQ0007,A005,WT1,P3,Vibración,Mecánico,5.32,2.69,1926.96,True
MT000032,20240831,EQ0039,A004,WT1,P3,Desgaste,Mecánico,5.39,4.1,3951.68,True
MT000033,20240704,EQ0002,A003,WT1,P3,Calibración,Control,1.48,0.85,996.44,True
MT000034,20240815,EQ0009,A003,WT2,P2,Vibración,Control,5.56,2.98,4639.32,False
MT000035,20240518,EQ0015,A001,WT1,P3,Falla eléctrica,Mecánico,1.49,1.02,989.83,True
MT000036,20240603,EQ0010,A005,WT1,P4,No aplica,Energía,3.79,2.83,1241.63,True
MT000037,20240214,EQ0011,A004,WT2,P2,Calibración,Mecánico,4.26,3.38,1707.04,False
MT000038,20240723,EQ0027,A001,WT2,P1,Sobrecalentamiento,Energía,5.04,3.08,2789.29,False
MT000039,20240506,EQ0003,A004,WT2,P3,Vibración,TI/OT,5.33,3.86,3230.44,False
MT000040,20241210,EQ0023,A001,WT1,P3,No aplica,Energía,14.47,13.09,7361.12,True
MT000041,20241218,EQ0017,A006,WT2,P2,Vibración,Energía,12.43,11.47,10485.67,False
MT000042,20240128,EQ0023,A001,WT1,P2,No aplica,Mecánico,2.44,1.82,2040.41,True
MT000043,20240821,EQ0014,A002,WT1,P2,Falla eléctrica,TI/OT,4.02,2.8,3042.53,True
MT000044,20240131,EQ0037,A003,WT2,P1,Falla eléctrica,Control,1.73,1.4,905.65,False
MT000045,20240510,EQ0014,A002,WT2,P2,Falla eléctrica,Control,1.14,1.03,876.83,False
MT000046,20240629,EQ0023,A001,WT2,P1,No aplica,Eléctrico,4.58,2.4,3855.42,False
MT000047,20240415,EQ0018,A001,WT2,P4,Falla eléctrica,TI/OT,2.07,1.25,1341.4,False
MT000048,20241020,EQ0024,A005,WT1,P4,Vibración,Energía,3.38,1.39,2182.41,True
MT000049,20240104,EQ0016,A004,WT2,P3,Vibración,Energía,4.54,4.23,1635.88,False
MT000050,20241117,EQ0027,A001,WT2,P3,Falla eléctrica,Control,5.82,4.95,2640.39,False
MT000051,20241224,EQ0009,A003,WT1,P4,Sobrecalentamiento,Control,3.73,1.65,2639.52,True
MT000052,20240924,EQ0021,A002,WT2,P3,Calibración,Energía,15.89,13.95,13895.31,False
MT000053,20241228,EQ0035,A003,WT1,P2,Vibración,Mecánico,2.35,1.86,1669.4,True
MT000054,20240321,EQ0024,A005,WT1,P2,Desgaste,Mecánico,3.41,2.98,1510.44,True
MT000055,20240814,EQ0009,A003,WT1,P3,Vibración,Eléctrico,3.06,2.66,2404.58,True
MT000056,20241004,EQ0030,A006,WT2,P4,Calibración,Energía,5.76,3.09,3170.76,False
MT000057,20240506,EQ0013,A003,WT1,P2,Calibración,Eléctrico,0.72,0.4,327.06,True
MT000058,20240320,EQ0037,A003,WT2,P1,No aplica,Control,2.52,1.48,1137.78,False
MT000059,20240520,EQ0034,A002,WT2,P3,No aplica,Mecánico,1.59,1.25,1267.66,False
MT000060,20240106,EQ0038,A001,WT2,P2,Falla eléctrica,Control,12.48,9.52,10469.85,False
MT000061,20240711,EQ0034,A002,WT2,P1,Falla eléctrica,Control,12.64,8.45,5458.92,False
MT000062,20240225,EQ0027,A001,WT1,P3,Sobrecalentamiento,Energía,3.74,2.62,1265.0,True
MT000063,20240425,EQ0027,A001,WT2,P3,No aplica,Mecánico,9.51,6.16,5638.59,False
MT000064,20241220,EQ0011,A004,WT2,P3,Desgaste,Mecánico,1.64,0.95,1358.14,False
MT000065,20240126,EQ0015,A001,WT1,P1,No aplica,TI/OT,3.4,2.88,890.43,True
MT000066,20240918,EQ0035,A003,WT1,P1,Sobrecalentamiento,Mecánico,1.43,1.02,795.42,True
MT000067,20240330,EQ0025,A005,WT1,P2,No aplica,Eléctrico,0.99,0.81,177.79,True
MT000068,20240223,EQ0028,A006,WT1,P3,Sobrecalentamiento,Mecánico,4.58,2.23,2913.17,True
MT000069,20240720,EQ0009,A003,WT1,P4,Calibración,TI/OT,3.39,1.82,1285.37,True
MT000070,20240423,EQ0015,A001,WT2,P3,No aplica,Control,1.79,1.12,837.36,False
MT000071,20240906,EQ0011,A004,WT1,P3,Calibración,Control,5.63,2.95,2406.3,True
MT000072,20241119,EQ0026,A003,WT2,P2,Desgaste,TI/OT,4.57,3.36,2552.51,False
MT000073,20240919,EQ0021,A002,WT1,P2,No aplica,Eléctrico,3.88,3.08,2734.11,True
MT000074,20240918,EQ0017,A006,WT2,P3,No aplica,Energía,3.31,1.74,849.92,False
MT000075,20240819,EQ0031,A005,WT1,P2,Falla eléctrica,Energía,2.85,1.16,1951.52,True
MT000076,20240330,EQ0034,A002,WT1,P2,Calibración,TI/OT,4.06,2.98,1602.62,True
MT000077,20240613,EQ0038,A001,WT2,P2,Vibración,Energía,1.93,1.81,1459.42,False
MT000078,20241223,EQ0014,A002,WT1,P3,Calibración,TI/OT,6.69,3.88,1753.63,True
MT000079,20240712,EQ0020,A005,WT2,P1,No aplica,Energía,7.87,5.89,6239.9,False
MT000080,20240801,EQ0018,A001,WT2,P2,Falla eléctrica,Control,6.4,2.73,4555.35,False
MT000081,20240817,EQ0038,A001,WT1,P3,Sobrecalentamiento,TI/OT,0.24,0.17,60.79,True
MT000082,20240720,EQ0032,A005,WT1,P3,Desgaste,Control,2.37,1.68,2043.73,True
MT000083,20240211,EQ0037,A003,WT2,P2,Calibración,TI/OT,9.62,6.85,2287.71,False
MT000084,20240802,EQ0009,A003,WT2,P3,Calibración,Control,0.65,0.44,186.79,False
MT000085,20240228,EQ0022,A004,WT2,P3,Calibración,Eléctrico,12.55,8.13,4071.11,False
MT000086,20240925,EQ0023,A001,WT2,P1,Vibración,Energía,1.22,1.07,398.07,False
MT000087,20241124,EQ0018,A001,WT1,P3,Calibración,Mecánico,2.84,1.15,2509.34,True
MT000088,20240406,EQ0018,A001,WT1,P1,Desgaste,Eléctrico,6.93,4.2,3434.5,True
MT000089,20240417,EQ0034,A002,WT2,P3,Calibración,Energía,6.58,4.14,2002.43,False
MT000090,20240109,EQ0015,A001,WT2,P2,Calibración,Eléctrico,8.8,7.53,5297.9,False
MT000091,20240427,EQ0018,A001,WT1,P2,Sobrecalentamiento,Control,4.59,2.82,3450.88,True
MT000092,20240826,EQ0005,A002,WT1,P3,Vibración,Energía,3.53,1.58,3293.03,True
MT000093,20240305,EQ0026,A003,WT2,P3,Calibración,Energía,2.42,1.13,1546.99,False
MT000094,20240622,EQ0001,A006,WT1,P2,Falla eléctrica,Energía,1.97,0.92,532.91,True
MT000095,20241022,EQ0030,A006,WT1,P4,Falla eléctrica,Mecánico,1.18,0.86,326.86,True
MT000096,20241023,EQ0025,A005,WT2,P2,Desgaste,TI/OT,13.45,9.3,12010.89,False
MT000097,20240113,EQ0039,A004,WT1,P2,Calibración,TI/OT,2.0,1.07,1540.58,True
MT000098,20241205,EQ0023,A001,WT1,P2,Desgaste,TI/OT,4.88,2.46,1434.88,True
MT000099,20241105,EQ0029,A003,WT1,P1,Vibración,Energía,3.87,3.48,3056.89,True
MT000100,20240811,EQ0038,A001,WT1,P3,Vibración,Eléctrico,2.74,1.98,699.88,True
MT000101,20241021,EQ0010,A005,WT1,P2,Calibración,TI/OT,1.13,0.97,527.72,True
MT000102,20240805,EQ0013,A003,WT1,P3,Desgaste,TI/OT,1.37,0.74,267.9,True
MT000103,20240531,EQ0021,A002,WT2,P3,Desgaste,Energía,3.15,2.08,2933.76,False
MT000104,20240820,EQ0002,A003,WT1,P1,Falla eléctrica,TI/OT,0.81,0.44,358.8,True
MT000105,20241121,EQ0010,A005,WT2,P3,Vibración,Control,16.87,8.23,4657.5,False
MT000106,20240129,EQ0019,A006,WT1,P2,Desgaste,Control,3.69,2.27,2971.69,True
MT000107,20240925,EQ0010,A005,WT2,P4,Calibración,Control,5.69,2.28,2851.11,False
MT000108,20240512,EQ0002,A003,WT2,P2,Falla eléctrica,Eléctrico,0.85,0.75,556.29,False
MT000109,20241107,EQ0030,A006,WT2,P4,Falla eléctrica,Energía,4.38,2.84,3696.75,False
MT000110,20240828,EQ0011,A004,WT2,P2,Vibración,Mecánico,4.68,2.19,1780.21,False
MT000111,20240206,EQ0001,A006,WT2,P1,Sobrecalentamiento,Energía,5.37,3.53,3191.4,False
MT000112,20240711,EQ0027,A001,WT1,P3,Sobrecalentamiento,Control,2.63,2.31,809.03,True
MT000113,20241102,EQ0010,A005,WT2,P2,No aplica,Eléctrico,7.34,6.8,6133.7,False
MT000114,20241014,EQ0019,A006,WT1,P2,Calibración,Control,0.76,0.3,322.54,True
MT000115,20240908,EQ0031,A005,WT1,P3,No aplica,Mecánico,1.65,1.54,915.43,True
MT000116,20240213,EQ0014,A002,WT1,P2,Vibración,TI/OT,3.36,1.94,2477.19,True
MT000117,20241230,EQ0024,A005,WT1,P3,No aplica,Energía,3.41,2.69,2988.48,True
MT000118,20240821,EQ0032,A005,WT1,P3,Sobrecalentamiento,Mecánico,2.81,2.28,1256.67,True
MT000119,20241024,EQ0030,A006,WT1,P4,Falla eléctrica,Control,4.32,3.88,1059.39,True
MT000120,20241103,EQ0014,A002,WT2,P2,Vibración,TI/OT,4.05,2.53,2364.07,False
MT000121,20241228,EQ0016,A004,WT1,P3,Sobrecalentamiento,TI/OT,2.38,1.95,451.86,True
MT000122,20240830,EQ0007,A005,WT2,P3,Vibración,Energía,9.03,7.02,4357.36,False
MT000123,20240720,EQ0007,A005,WT1,P3,Calibración,TI/OT,0.82,0.48,406.58,True
MT000124,20240129,EQ0012,A003,WT1,P2,Falla eléctrica,Control,6.57,5.61,3538.59,True
MT000125,20240219,EQ0038,A001,WT1,P1,No aplica,Energía,4.01,3.57,1982.59,True
MT000126,20240830,EQ0039,A004,WT1,P2,Falla eléctrica,Control,1.53,1.09,1142.71,True
MT000127,20241205,EQ0035,A003,WT1,P1,Falla eléctrica,Eléctrico,4.47,3.8,1619.81,True
MT000128,20241107,EQ0011,A004,WT1,P3,Sobrecalentamiento,Energía,0.94,0.7,542.58,True
MT000129,20241107,EQ0024,A005,WT2,P3,Calibración,TI/OT,12.3,10.26,5290.15,False
MT000130,20240224,EQ0015,A001,WT1,P2,Sobrecalentamiento,TI/OT,0.44,0.33,289.6,True
MT000131,20240613,EQ0012,A003,WT1,P4,Desgaste,Eléctrico,0.74,0.58,374.9,True
MT000132,20240814,EQ0007,A005,WT1,P3,Calibración,TI/OT,1.25,0.53,424.34,True
MT000133,20240814,EQ0039,A004,WT2,P4,Calibración,Mecánico,2.8,1.27,1784.55,False
MT000134,20240626,EQ0026,A003,WT2,P2,Sobrecalentamiento,Eléctrico,6.26,3.93,2320.39,False
MT000135,20241209,EQ0029,A003,WT1,P3,No aplica,Energía,4.24,3.54,2059.84,True
MT000136,20240323,EQ0012,A003,WT1,P2,Falla eléctrica,Mecánico,0.54,0.23,269.37,True
MT000137,20241102,EQ0040,A001,WT1,P4,Falla eléctrica,Mecánico,6.18,2.52,5384.55,True
MT000138,20240610,EQ0009,A003,WT2,P2,No aplica,Energía,7.06,3.67,5288.36,False
MT000139,20240823,EQ0008,A004,WT2,P2,Calibración,Eléctrico,16.67,14.56,11080.29,False
MT000140,20240603,EQ0024,A005,WT2,P3,Calibración,Energía,4.78,4.24,1272.84,False
MT000141,20240511,EQ0038,A001,WT2,P2,Falla eléctrica,Mecánico,13.76,7.73,5753.16,False
MT000142,20240728,EQ0031,A005,WT1,P4,Sobrecalentamiento,Mecánico,8.5,6.59,1855.12,True
MT000143,20240715,EQ0039,A004,WT1,P2,Desgaste,Control,1.35,1.06,802.12,True
MT000144,20240930,EQ0024,A005,WT1,P1,Desgaste,Energía,1.21,0.49,328.19,True
MT000145,20240127,EQ0010,A005,WT2,P1,Sobrecalentamiento,Control,3.91,2.37,791.09,False
MT000146,20240205,EQ0020,A005,WT2,P2,Sobrecalentamiento,TI/OT,3.68,1.78,1672.73,False
MT000147,20240519,EQ0020,A005,WT1,P3,Sobrecalentamiento,Mecánico,2.95,1.74,2218.44,True
MT000148,20240314,EQ0039,A004,WT1,P4,Desgaste,Eléctrico,1.81,0.99,920.41,True
MT000149,20240919,EQ0012,A003,WT2,P4,Sobrecalentamiento,Control,9.27,4.1,2286.0,False
MT000150,20240823,EQ0012,A003,WT2,P4,Falla eléctrica,Eléctrico,7.58,7.15,4518.45,False
MT000151,20240221,EQ0017,A006,WT1,P2,Falla eléctrica,Mecánico,1.26,0.85,662.77,True
MT000152,20240215,EQ0019,A006,WT2,P3,Vibración,TI/OT,4.74,2.28,4362.97,False
MT000153,20241104,EQ0024,A005,WT1,P2,No aplica,Eléctrico,4.65,2.46,1327.89,True
MT000154,20240828,EQ0008,A004,WT1,P3,Falla eléctrica,Mecánico,3.2,1.34,2255.5,True
MT000155,20241123,EQ0033,A005,WT2,P4,Falla eléctrica,Eléctrico,7.95,4.49,5840.18,False
MT000156,20240828,EQ0021,A002,WT1,P2,Calibración,TI/OT,1.21,0.53,1009.79,True
MT000157,20240527,EQ0019,A006,WT1,P3,No aplica,Control,2.5,1.34,2078.85,True
MT000158,20240503,EQ0020,A005,WT1,P3,Sobrecalentamiento,Energía,0.87,0.56,428.81,True
MT000159,20241031,EQ0037,A003,WT2,P4,No aplica,Mecánico,5.69,4.38,4300.49,False
MT000160,20241227,EQ0031,A005,WT2,P4,Vibración,Control,4.54,3.89,2184.55,False
MT000161,20240608,EQ0023,A001,WT1,P4,No aplica,Energía,2.88,1.24,2502.11,True
MT000162,20240622,EQ0019,A006,WT2,P3,Vibración,Energía,2.35,1.26,1701.44,False
MT000163,20240525,EQ0010,A005,WT1,P4,Calibración,TI/OT,3.42,1.62,726.25,True
MT000164,20241218,EQ0006,A006,WT1,P4,Calibración,TI/OT,4.75,2.81,1542.77,True
MT000165,20240214,EQ0038,A001,WT1,P2,Vibración,Mecánico,0.26,0.13,231.1,True
MT000166,20240306,EQ0038,A001,WT1,P4,Vibración,Control,0.68,0.36,415.11,True
MT000167,20241027,EQ0012,A003,WT1,P3,Vibración,Mecánico,1.34,1.21,1039.93,True
MT000168,20241208,EQ0011,A004,WT1,P2,Sobrecalentamiento,Control,1.86,1.4,1555.26,True
MT000169,20240410,EQ0035,A003,WT2,P3,No aplica,Eléctrico,3.19,2.79,690.59,False
MT000170,20240729,EQ0010,A005,WT2,P3,No aplica,TI/OT,1.72,1.2,454.81,False
MT000171,20240414,EQ0028,A006,WT2,P3,Desgaste,TI/OT,6.02,5.12,5426.27,False
MT000172,20241228,EQ0037,A003,WT2,P2,Desgaste,Energía,5.78,3.42,3746.33,False
MT000173,20240126,EQ0038,A001,WT2,P3,Calibración,Energía,3.18,1.7,2337.57,False
MT000174,20240806,EQ0027,A001,WT1,P3,Falla eléctrica,Mecánico,3.22,2.26,1558.76,True
MT000175,20240804,EQ0005,A002,WT1,P1,Calibración,Mecánico,2.11,1.94,773.68,True
MT000176,20241206,EQ0036,A003,WT2,P3,Sobrecalentamiento,Mecánico,14.19,12.19,3644.66,False
MT000177,20240725,EQ0008,A004,WT1,P3,Falla eléctrica,Energía,0.57,0.3,195.72,True
MT000178,20240507,EQ0012,A003,WT1,P4,Vibración,TI/OT,1.17,1.09,304.06,True
MT000179,20240629,EQ0008,A004,WT1,P3,Desgaste,TI/OT,1.95,1.35,1746.59,True
MT000180,20240819,EQ0003,A004,WT1,P4,No aplica,Energía,4.89,3.09,4158.34,True
MT000181,20241106,EQ0008,A004,WT1,P3,No aplica,Control,4.02,2.25,3060.91,True
MT000182,20240112,EQ0018,A001,WT1,P3,Falla eléctrica,Control,3.4,2.53,670.18,True
MT000183,20240919,EQ0001,A006,WT2,P2,Desgaste,TI/OT,1.5,1.08,874.39,False
MT000184,20240801,EQ0010,A005,WT2,P3,Calibración,Eléctrico,2.91,2.48,1060.84,False
MT000185,20240313,EQ0007,A005,WT1,P3,Sobrecalentamiento,Mecánico,2.11,1.91,503.34,True
MT000186,20240517,EQ0030,A006,WT1,P3,Falla eléctrica,Energía,4.45,3.61,872.29,True
MT000187,20240721,EQ0028,A006,WT1,P4,Sobrecalentamiento,Energía,2.24,1.13,1641.2,True
MT000188,20241028,EQ0009,A003,WT1,P4,Calibración,Eléctrico,3.62,1.71,1707.3,True
MT000189,20241103,EQ0035,A003,WT1,P3,Vibración,Mecánico,3.27,2.27,2072.24,True
MT000190,20240630,EQ0004,A003,WT2,P1,Vibración,Eléctrico,7.55,3.66,5863.76,False
MT000191,20240912,EQ0007,A005,WT1,P4,No aplica,Eléctrico,1.31,0.97,685.74,True
MT000192,20240710,EQ0019,A006,WT1,P1,Desgaste,Control,4.09,2.0,1143.07,True
MT000193,20240906,EQ0037,A003,WT1,P3,No aplica,Energía,3.48,1.84,3154.27,True
MT000194,20241225,EQ0012,A003,WT1,P2,No aplica,Control,6.49,2.9,4403.72,True
MT000195,20240201,EQ0039,A004,WT2,P2,No aplica,TI/OT,3.61,3.11,1204.25,False
MT000196,20241121,EQ0011,A004,WT1,P3,Falla eléctrica,Mecánico,2.74,1.99,1935.86,True
MT000197,20240306,EQ0026,A003,WT2,P4,Desgaste,Mecánico,1.7,1.01,868.2,False
MT000198,20241206,EQ0013,A003,WT1,P3,No aplica,Control,0.55,0.34,437.59,True
MT000199,20240531,EQ0024,A005,WT1,P3,Calibración,Mecánico,7.15,3.39,5248.28,True
MT000200,20240303,EQ0013,A003,WT1,P3,Calibración,Control,3.16,2.74,1205.3,True
MT000201,20240117,EQ0010,A005,WT2,P3,Sobrecalentamiento,Eléctrico,1.05,0.6,789.61,False
MT000202,20241118,EQ0018,A001,WT1,P3,Calibración,Mecánico,3.43,1.51,2070.07,True
MT000203,20240922,EQ0014,A002,WT2,P2,Desgaste,Mecánico,3.59,2.15,2507.45,False
MT000204,20240605,EQ0024,A005,WT1,P3,Falla eléctrica,Control,3.59,1.92,1740.42,True
MT000205,20241207,EQ0020,A005,WT2,P3,Calibración,Eléctrico,8.77,5.47,2277.24,False
MT000206,20241107,EQ0022,A004,WT2,P3,No aplica,Eléctrico,6.16,5.38,1279.5,False
MT000207,20240305,EQ0006,A006,WT1,P3,No aplica,Eléctrico,1.92,1.55,1512.9,True
MT000208,20240705,EQ0024,A005,WT1,P4,Calibración,Mecánico,2.44,1.3,966.85,True
MT000209,20240823,EQ0030,A006,WT1,P4,Calibración,Mecánico,3.7,2.13,2344.53,True
MT000210,20240901,EQ0006,A006,WT1,P4,Vibración,Energía,4.07,2.6,3370.77,True
MT000211,20240703,EQ0009,A003,WT1,P3,Falla eléctrica,Mecánico,1.26,0.62,1152.09,True
MT000212,20240401,EQ0003,A004,WT2,P4,Sobrecalentamiento,Eléctrico,1.41,0.78,1305.09,False
MT000213,20240327,EQ0010,A005,WT2,P3,Calibración,Eléctrico,1.82,1.04,1460.51,False
MT000214,20240312,EQ0038,A001,WT2,P2,Vibración,Control,4.16,2.1,2420.19,False
MT000215,20240624,EQ0004,A003,WT2,P3,No aplica,TI/OT,8.27,4.55,3183.09,False
MT000216,20240723,EQ0009,A003,WT2,P2,Sobrecalentamiento,Control,4.35,2.76,841.02,False
MT000217,20241211,EQ0006,A006,WT2,P3,Desgaste,TI/OT,1.64,1.42,579.37,False
MT000218,20240222,EQ0034,A002,WT2,P4,Sobrecalentamiento,Mecánico,6.04,4.67,2185.55,False
MT000219,20240622,EQ0024,A005,WT2,P3,Vibración,TI/OT,4.72,2.06,2762.63,False
MT000220,20240816,EQ0003,A004,WT2,P2,Desgaste,Control,8.65,5.88,5735.14,False
MT000221,20240606,EQ0010,A005,WT2,P2,Falla eléctrica,Mecánico,2.19,1.16,2047.4,False
MT000222,20240112,EQ0028,A006,WT2,P3,Desgaste,Eléctrico,6.42,2.57,3088.47,False
MT000223,20240903,EQ0031,A005,WT2,P3,Calibración,Control,5.91,4.2,5332.57,False
MT000224,20240314,EQ0025,A005,WT1,P3,Vibración,TI/OT,3.54,1.8,2834.23,True
MT000225,20240927,EQ0023,A001,WT1,P3,Calibración,Eléctrico,4.59,3.47,3324.11,True
MT000226,20240410,EQ0019,A006,WT2,P1,Calibración,Mecánico,0.73,0.4,228.85,False
MT000227,20240904,EQ0034,A002,WT2,P3,No aplica,Mecánico,2.96,1.58,1939.39,False
MT000228,20240302,EQ0015,A001,WT2,P3,Desgaste,TI/OT,4.44,3.22,2828.69,False
MT000229,20240814,EQ0039,A004,WT1,P2,Falla eléctrica,Mecánico,1.41,1.02,1111.26,True
MT000230,20240213,EQ0035,A003,WT2,P4,Falla eléctrica,Energía,5.55,4.81,3476.81,False
MT000231,20240418,EQ0038,A001,WT1,P3,Sobrecalentamiento,Mecánico,2.16,1.1,1994.05,True
MT000232,20241006,EQ0029,A003,WT1,P1,No aplica,Energía,0.8,0.75,265.09,True
MT000233,20240408,EQ0014,A002,WT2,P1,No aplica,TI/OT,7.56,4.56,2322.94,False
MT000234,20240602,EQ0026,A003,WT1,P3,Vibración,Energía,1.0,0.93,738.83,True
MT000235,20240607,EQ0019,A006,WT1,P3,No aplica,Control,2.7,1.31,2558.9,True
MT000236,20240403,EQ0038,A001,WT2,P4,Sobrecalentamiento,TI/OT,1.85,1.71,672.03,False
MT000237,20240730,EQ0037,A003,WT1,P3,No aplica,Eléctrico,2.7,2.51,597.14,True
MT000238,20240421,EQ0003,A004,WT2,P3,Falla eléctrica,Mecánico,4.45,2.49,3050.35,False
MT000239,20240712,EQ0031,A005,WT2,P4,Desgaste,TI/OT,4.94,2.53,3733.79,False
MT000240,20241017,EQ0030,A006,WT1,P3,Calibración,Mecánico,2.82,2.06,1615.28,True
MT000241,20241002,EQ0025,A005,WT1,P4,Calibración,Control,4.28,2.04,1522.56,True
MT000242,20240323,EQ0039,A004,WT1,P3,Sobrecalentamiento,Mecánico,1.65,0.93,929.66,True
MT000243,20240908,EQ0004,A003,WT1,P4,Falla eléctrica,Control,0.74,0.7,308.86,True
MT000244,20241005,EQ0039,A004,WT1,P3,Vibración,Energía,2.0,1.64,695.65,True
MT000245,20240724,EQ0001,A006,WT2,P2,No aplica,Mecánico,9.08,7.6,5136.75,False
MT000246,20240924,EQ0007,A005,WT2,P2,No aplica,TI/OT,0.36,0.32,78.85,False
MT000247,20240602,EQ0026,A003,WT2,P3,Falla eléctrica,Eléctrico,1.52,1.18,1113.1,False
MT000248,20240125,EQ0033,A005,WT1,P3,Falla eléctrica,Eléctrico,2.08,1.65,1602.75,True
MT000249,20240729,EQ0037,A003,WT2,P2,Desgaste,Energía,9.69,7.78,9091.55,False
MT000250,20241127,EQ0003,A004,WT2,P3,No aplica,Eléctrico,3.1,1.91,2658.73,False
MT000251,20240625,EQ0033,A005,WT2,P2,Falla eléctrica,Control,4.19,1.91,1703.47,False
MT000252,20240725,EQ0028,A006,WT1,P2,Falla eléctrica,Mecánico,1.36,1.0,562.47,True
MT000253,20240903,EQ0017,A006,WT1,P2,Vibración,Mecánico,1.69,1.42,880.34,True
MT000254,20241102,EQ0026,A003,WT1,P4,Desgaste,Energía,3.76,1.99,2776.08,True
MT000255,20240628,EQ0016,A004,WT1,P4,Sobrecalentamiento,Control,4.17,2.09,882.71,True
MT000256,20240426,EQ0019,A006,WT2,P3,Calibración,Eléctrico,8.18,7.58,7527.8,False
MT000257,20240818,EQ0009,A003,WT1,P2,Sobrecalentamiento,Energía,3.53,1.68,2544.67,True
MT000258,20240909,EQ0014,A002,WT2,P4,No aplica,Energía,1.94,1.36,1620.23,False
MT000259,20240902,EQ0027,A001,WT2,P2,No aplica,Eléctrico,13.65,11.03,9712.01,False
MT000260,20240808,EQ0010,A005,WT1,P1,Desgaste,TI/OT,6.19,2.8,5499.06,True
MT000261,20241231,EQ0032,A005,WT1,P1,Calibración,Eléctrico,2.14,1.52,1731.93,True
MT000262,20240408,EQ0014,A002,WT1,P2,Sobrecalentamiento,Energía,4.54,3.52,2343.54,True
MT000263,20240425,EQ0037,A003,WT2,P2,Falla eléctrica,Eléctrico,0.6,0.26,438.94,False
MT000264,20241107,EQ0004,A003,WT1,P2,Vibración,TI/OT,4.85,3.06,4394.94,True
MT000265,20240307,EQ0015,A001,WT1,P2,Vibración,Energía,2.64,1.75,2399.8,True
MT000266,20241024,EQ0013,A003,WT1,P4,No aplica,Eléctrico,1.02,0.72,893.96,True
MT000267,20240331,EQ0023,A001,WT2,P4,Sobrecalentamiento,Eléctrico,10.39,4.38,7870.01,False
