SLAID,WorkOrderID,ClientID,ServiceID,AreaID,PriorityID,CreatedDateKey,CommittedDateKey,ResolvedDateKey,TargetHours,ActualHours,SLAMetFlag,BreachHours
SLA000027,WO003245,C005,SV1,A005,P4,20240111,20240116,20240126,120,354.99,False,234.99
SLA000028,WO004213,C004,SV4,A004,P4,20240913,20240918,20240920,120,152.11,False,32.11
SLA000029,WO000696,C015,SV4,A017,P1,20241104,20241104,20241105,8,17.88,False,9.88
SLA000030,WO000805,C008,SV9,A004,P4,20240426,20240501,20240505,120,201.57,False,81.57
SLA000031,WO004693,C001,SV8,A008,P3,20241223,20241226,20241226,72,61.4,True,0.0
SLA000032,WO004152,C001,SV1,A008,P3,20240420,20240423,20240422,72,34.19,True,0.0
SLA000033,WO002931,C015,SV3,A017,P1,20240824,20240824,20240825,8,13.57,False,5.57
SLA000034,WO000962,C010,SV5,A012,P2,20240818,20240819,20240819,24,21.18,True,0.0
SLA000035,WO001766,C010,SV11,A004,P2,20240228,20240229,20240229,24,11.12,True,0.0
SLA000036,WO004714,C006,SV1,A005,P3,20241213,20241216,20241216,72,58.1,True,0.0
SLA000037,WO002057,C005,SV8,A017,P3,20240829,20240901,20240901,72,66.96,True,0.0
SLA000038,WO003243,C017,SV7,A010,P2,20240604,20240605,20240605,24,9.7,True,0.0
SLA000039,WO000861,C009,SV9,A005,P3,20241204,20241207,20241208,72,72.56,False,0.56
SLA000040,WO000836,C019,SV4,A004,P3,20240610,20240613,20240615,72,106.27,False,34.27
SLA000041,WO002973,C012,SV12,A017,P1,20240726,20240726,20240727,8,5.35,True,0.0
SLA000042,WO000715,C003,SV2,A009,P2,20240616,20240617,20240618,24,37.12,False,13.12
SLA000043,WO002592,C009,SV1,A005,P2,20240308,20240309,20240310,24,29.83,False,5.83
SLA000044,WO004779,C018,SV9,A005,P2,20240922,20240923,20240924,24,34.9,False,10.9
SLA000045,WO002379,C002,SV6,A017,P3,20240302,20240305,20240305,72,66.63,True,0.0
SLA000046,WO002161,C005,SV6,A010,P2,20240623,20240624,20240624,24,17.38,True,0.0
SLA000047,WO004623,C011,SV8,A017,P4,20240805,20240810,20240808,120,67.1,True,0.0
SLA000048,WO002716,C007,SV9,A004,P4,20240123,20240128,20240126,120,55.21,True,0.0
SLA000049,WO001616,C013,SV2,A005,P4,20240605,20240610,20240609,120,84.5,True,0.0
SLA000050,WO004025,C018,SV10,A017,P2,20240914,20240915,20240915,24,13.06,True,0.0
SLA000051,WO003855,C015,SV5,A004,P3,20240402,20240405,20240405,72,57.41,True,0.0
SLA000052,WO001144,C008,SV12,A010,P1,20241117,20241117,20241118,8,3.81,True,0.0
SLA000053,WO001043,C017,SV8,A004,P4,20240302,20240307,20240306,120,94.86,True,0.0
SLA000054,WO003316,C001,SV12,A013,P2,20240514,20240515,20240515,24,12.97,True,0.0
SLA000055,WO000826,C016,SV1,A005,P2,20241010,20241011,20241011,24,14.22,True,0.0
SLA000056,WO000391,C002,SV10,A006,P2,20240910,20240911,20240914,24,78.73,False,54.73
SLA000057,WO000079,C004,SV9,A005,P4,20241231,20250105,20241231,120,382.95,False,262.95
SLA000058,WO004821,C007,SV8,A004,P3,20241031,20241103,20241103,72,70.09,True,0.0
SLA000059,WO003369,C003,SV2,A004,P2,20241102,20241103,20241103,24,23.05,True,0.0
SLA000060,WO001746,C018,SV3,A005,P1,20240116,20240116,20240117,8,11.4,False,3.4
SLA000061,WO004523,C013,SV11,A017,P1,20241119,20241119,20241120,8,9.76,False,1.76
SLA000062,WO003503,C002,SV9,A004,P2,20240423,20240424,20240424,24,12.86,True,0.0
SLA000063,WO001041,C015,SV3,A006,P4,20241023,20241028,20241102,120,234.11,False,114.11
SLA000064,WO002106,C004,SV8,A017,P3,20240817,20240820,20240819,72,37.1,True,0.0
SLA000065,WO003499,C015,SV9,A017,P2,20240119,20240120,20240120,24,17.36,True,0.0
SLA000066,WO004178,C020,SV5,A004,P1,20240928,20240928,20240929,8,3.0,True,0.0
SLA000067,WO003838,C002,SV9,A004,P1,20240913,20240913,20240914,8,19.13,False,11.13
SLA000068,WO004017,C009,SV11,A017,P4,20240203,20240208,20240206,120,62.56,True,0.0
SLA000069,WO004080,C013,SV4,A009,P2,20240405,20240406,20240406,24,10.69,True,0.0
SLA000070,WO002651,C018,SV9,A008,P2,20240909,20240910,20240910,24,7.94,True,0.0
SLA000071,WO003517,C014,SV5,A004,P2,20240223,20240224,20240225,24,25.01,False,1.01
SLA000072,WO001230,C008,SV1,A017,P2,20240706,20240707,20240708,24,28.11,False,4.11
SLA000073,WO004612,C001,SV3,A004,P2,20241019,20241020,20241020,24,11.32,True,0.0
SLA000074,WO001722,C011,SV12,A004,P4,20240401,20240406,20240406,120,112.73,True,0.0
SLA000075,WO001134,C009,SV8,A010,P1,20240627,20240627,20240628,8,7.28,True,0.0
SLA000076,WO003869,C019,SV10,A010,P2,20240309,20240310,20240310,24,17.3,True,0.0
SLA000077,WO004486,C011,SV12,A006,P2,20241026,20241027,20241027,24,15.43,True,0.0
SLA000078,WO001206,C020,SV10,A005,P4,20240214,20240219,20240217,120,67.37,True,0.0
SLA000079,WO002877,C012,SV3,A004,P2,20241217,20241218,20241218,24,13.13,True,0.0
SLA000080,WO004133,C004,SV3,A005,P3,20241127,20241130,20241201,72,73.16,False,1.16
SLA000081,WO003671,C002,SV4,A013,P2,20241012,20241013,20241015,24,50.11,False,26.11
SLA000082,WO003620,C014,SV6,A017,P3,20241119,20241122,20241121,72,43.53,True,0.0
SLA000083,WO004672,C004,SV2,A010,P2,20240614,20240615,20240615,24,14.45,True,0.0
SLA000084,WO004397,C009,SV9,A017,P1,20240304,20240304,20240305,8,8.36,False,0.36
SLA000085,WO004554,C014,SV10,A008,P4,20240410,20240415,20240417,120,144.24,False,24.24
SLA000086,WO001155,C003,SV10,A017,P1,20240924,20240924,20240925,8,8.06,False,0.06
SLA000087,WO000475,C003,SV8,A004,P2,20240603,20240604,20240605,24,36.28,False,12.28
SLA000088,WO003347,C001,SV8,A004,P2,20241227,20241228,20241228,24,10.4,True,0.0
SLA000089,WO000595,C007,SV12,A013,P2,20240524,20240525,20240526,24,29.01,False,5.01
SLA000090,WO004987,C011,SV3,A010,P4,20241217,20241222,20241223,120,121.21,False,1.21
SLA000091,WO003315,C009,SV10,A017,P2,20240116,20240117,20240117,24,16.17,True,0.0
SLA000092,WO004631,C002,SV4,A013,P3,20240109,20240112,20240111,72,31.92,True,0.0
SLA000093,WO004318,C012,SV11,A008,P1,20240104,20240104,20240105,8,6.64,True,0.0
SLA000094,WO003326,C019,SV5,A005,P3,20241214,20241217,20241217,72,69.85,True,0.0
SLA000095,WO003729,C005,SV6,A004,P2,20240104,20240105,20240105,24,22.34,True,0.0
SLA000096,WO003188,C005,SV12,A013,P2,20240712,20240713,20240714,24,32.64,False,8.64
SLA000097,WO001177,C001,SV3,A005,P3,20241214,20241217,20241217,72,63.83,True,0.0
SLA000098,WO003328,C009,SV11,A017,P1,20240530,20240530,20240531,8,12.32,False,4.32
SLA000099,WO003616,C004,SV3,A005,P2,20240625,20240626,20240627,24,28.71,False,4.71
SLA000100,WO004764,C015,SV7,A017,P4,20240404,20240409,20240407,120,63.34,True,0.0
SLA000101,WO000497,C012,SV1,A017,P2,20241121,20241122,20241123,24,31.24,False,7.24
SLA000102,WO000989,C011,SV9,A006,P3,20240721,20240724,20240723,72,25.12,True,0.0
SLA000103,WO002662,C002,SV5,A004,P3,20241229,20250101,20241230,72,23.72,True,0.0
SLA000104,WO000160,C008,SV2,A004,P4,20241009,20241014,20241014,120,113.02,True,0.0
SLA000105,WO004937,C012,SV8,A005,P1,20240914,20240914,20240915,8,13.99,False,5.99
SLA000106,WO001702,C013,SV5,A006,P4,20240812,20240817,20240909,120,649.0,False,529.0
SLA000107,WO004378,C020,SV8,A004,P3,20240521,20240524,20240523,72,43.24,True,0.0
SLA000108,WO001991,C004,SV6,A017,P1,20240329,20240329,20240330,8,9.56,False,1.56
SLA000109,WO000408,C018,SV4,A017,P2,20240601,20240602,20240603,24,27.92,False,3.92
SLA000110,WO003385,C010,SV3,A008,P4,20240618,20240623,20240624,120,128.48,False,8.48
SLA000111,WO000939,C009,SV7,A004,P3,20241228,20241231,20241231,72,60.83,True,0.0
SLA000112,WO000422,C020,SV2,A017,P3,20241201,20241204,20241203,72,27.51,True,0.0
SLA000113,WO000208,C006,SV11,A013,P2,20240401,20240402,20240402,24,9.6,True,0.0
SLA000114,WO002052,C016,SV4,A008,P2,20240317,20240318,20240318,24,15.55,True,0.0
SLA000115,WO001545,C012,SV2,A005,P3,20240608,20240611,20240609,72,23.83,True,0.0
SLA000116,WO004626,C007,SV6,A004,P2,20240905,20240906,20240907,24,26.66,False,2.66
SLA000117,WO000275,C006,SV9,A004,P1,20240127,20240127,20240128,8,3.35,True,0.0
SLA000118,WO000022,C019,SV8,A004,P2,20240531,20240601,20240601,24,6.47,True,0.0
SLA000119,WO001648,C016,SV3,A004,P2,20240519,20240520,20240520,24,13.41,True,0.0
SLA000120,WO001555,C018,SV2,A017,P2,20240510,20240511,20240512,24,26.92,False,2.92
SLA000121,WO000240,C016,SV5,A010,P3,20240421,20240424,20240423,72,44.21,True,0.0
SLA000122,WO001822,C006,SV11,A008,P3,20240129,20240201,20240201,72,48.57,True,0.0
SLA000123,WO000972,C018,SV11,A004,P3,20240513,20240516,20240515,72,40.09,True,0.0
SLA000124,WO003171,C019,SV4,A017,P2,20240617,20240618,20240618,24,15.12,True,0.0
SLA000125,WO000274,C016,SV2,A005,P3,20241130,20241203,20241204,72,88.0,False,16.0
SLA000126,WO000450,C010,SV7,A010,P3,20240222,20240225,20240226,72,82.99,False,10.99
SLA000127,WO001119,C011,SV9,A004,P4,20240315,20240320,20240319,120,90.72,True,0.0
SLA000128,WO001575,C019,SV3,A017,P3,20240914,20240917,20240918,72,85.04,False,13.04
SLA000129,WO003107,C007,SV5,A009,P2,20240705,20240706,20240706,24,23.09,True,0.0
SLA000130,WO003739,C011,SV4,A004,P4,20241226,20241231,20241231,120,100.73,True,0.0
SLA000131,WO003791,C019,SV3,A010,P3,20241219,20241222,20241221,72,37.11,True,0.0
SLA000132,WO003365,C002,SV3,A004,P4,20240417,20240422,20240426,120,195.17,False,75.17
SLA000133,WO001800,C012,SV6,A010,P3,20241130,20241203,20241205,72,109.59,False,37.59
SLA000134,WO004445,C003,SV5,A017,P3,20240625,20240628,20240627,72,38.88,True,0.0
SLA000135,WO002685,C018,SV1,A010,P1,20240303,20240303,20240304,8,6.55,True,0.0
SLA000136,WO002484,C010,SV11,A010,P3,20240714,20240717,20240717,72,57.7,True,0.0
SLA000137,WO003011,C012,SV5,A009,P2,20241020,20241021,20241021,24,11.94,True,0.0
SLA000138,WO004307,C001,SV4,A004,P2,20241028,20241029,20241029,24,17.5,True,0.0
SLA000139,WO003249,C001,SV1,A004,P3,20240214,20240217,20240216,72,30.61,True,0.0
SLA000140,WO000184,C016,SV6,A004,P2,20241228,20241229,20241229,24,11.2,True,0.0
SLA000141,WO001470,C020,SV6,A017,P2,20241113,20241114,20241114,24,11.91,True,0.0
SLA000142,WO000762,C007,SV2,A010,P2,20240419,20240420,20240420,24,11.97,True,0.0
SLA000143,WO004051,C013,SV3,A010,P1,20241127,20241127,20241128,8,19.43,False,11.43
SLA000144,WO004492,C001,SV11,A017,P2,20240505,20240506,20240506,24,11.1,True,0.0
SLA000145,WO000568,C003,SV5,A017,P2,20241128,20241129,20241129,24,10.16,True,0.0
SLA000146,WO003574,C013,SV4,A012,P4,20240901,20240906,20240906,120,112.26,True,0.0
SLA000147,WO000330,C005,SV5,A005,P3,20240414,20240417,20240421,72,151.93,False,79.93
SLA000148,WO001944,C013,SV11,A017,P2,20241014,20241015,20241015,24,12.65,True,0.0
SLA000149,WO000347,C015,SV5,A010,P1,20240704,20240704,20240705,8,15.86,False,7.86
SLA000150,WO004428,C003,SV7,A008,P3,20240403,20240406,20240407,72,78.1,False,6.1
SLA000151,WO000922,C014,SV11,A009,P2,20240619,20240620,20240621,24,29.42,False,5.42
SLA000152,WO000393,C004,SV11,A005,P1,20240311,20240311,20240312,8,14.73,False,6.73
SLA000153,WO001552,C009,SV11,A004,P2,20240220,20240221,20240221,24,9.78,True,0.0
SLA000154,WO004311,C015,SV8,A005,P4,20240810,20240815,20240817,120,159.91,False,39.91
SLA000155,WO004962,C010,SV10,A010,P4,20240921,20240926,20240924,120,71.17,True,0.0
SLA000156,WO001247,C004,SV6,A010,P2,20240806,20240807,20240807,24,3.17,True,0.0
SLA000157,WO002858,C015,SV2,A005,P2,20240412,20240413,20240413,24,18.5,True,0.0
SLA000158,WO004372,C001,SV3,A017,P3,20240214,20240217,20240216,72,41.91,True,0.0
SLA000159,WO000411,C020,SV10,A005,P3,20240529,20240601,20240609,72,256.32,False,184.32
SLA000160,WO003677,C020,SV4,A004,P1,20240516,20240516,20240517,8,6.78,True,0.0
SLA000161,WO002639,C018,SV6,A017,P1,20241025,20241025,20241026,8,10.83,False,2.83
SLA000162,WO002328,C006,SV8,A005,P2,20240817,20240818,20240820,24,66.74,False,42.74
SLA000163,WO000036,C001,SV3,A004,P3,20241229,20250101,20241231,72,31.27,True,0.0
SLA000164,WO002456,C018,SV1,A017,P2,20241003,20241004,20241005,24,26.07,False,2.07
SLA000165,WO002334,C015,SV7,A005,P2,20241101,20241102,20241103,24,40.13,False,16.13
SLA000166,WO000185,C009,SV4,A004,P3,20240907,20240910,20240909,72,41.34,True,0.0
SLA000167,WO004233,C005,SV11,A017,P4,20241006,20241011,20241009,120,71.86,True,0.0
SLA000168,WO001330,C020,SV1,A006,P2,20241205,20241206,20241207,24,26.56,False,2.56
SLA000169,WO001728,C008,SV2,A004,P3,20240506,20240509,20240509,72,56.4,True,0.0
SLA000170,WO001389,C009,SV7,A004,P3,20240427,20240430,20240502,72,107.45,False,35.45
SLA000171,WO001532,C016,SV7,A017,P3,20240517,20240520,20240520,72,70.12,True,0.0
SLA000172,WO002381,C015,SV4,A004,P1,20240215,20240215,20240216,8,7.1,True,0.0
SLA000173,WO004949,C008,SV8,A017,P4,20240322,20240327,20240327,120,98.33,True,0.0
SLA000174,WO001736,C020,SV3,A017,P3,20240528,20240531,20240530,72,25.72,True,0.0
SLA000175,WO004592,C010,SV2,A010,P2,20240811,20240812,20240812,24,16.83,True,0.0
SLA000176,WO003828,C006,SV8,A017,P3,20241114,20241117,20241119,72,97.14,False,25.14
SLA000177,WO004777,C004,SV3,A004,P3,20241122,20241125,20241126,72,76.32,False,4.32
SLA000178,WO002891,C001,SV11,A010,P2,20240419,20240420,20240420,24,8.98,True,0.0
SLA000179,WO003843,C002,SV6,A017,P4,20240424,20240429,20240428,120,81.11,True,0.0
SLA000180,WO002413,C009,SV9,A010,P3,20241017,20241020,20241019,72,31.02,True,0.0
SLA000181,WO002910,C020,SV12,A005,P1,20241118,20241118,20241119,8,12.57,False,4.57
SLA000182,WO000363,C016,SV1,A004,P3,20240816,20240819,20240822,72,128.54,False,56.54
SLA000183,WO002809,C004,SV11,A009,P2,20240816,20240817,20240817,24,18.2,True,0.0
SLA000184,WO001891,C012,SV3,A017,P1,20240423,20240423,20240424,8,7.38,True,0.0
SLA000185,WO003730,C008,SV3,A017,P2,20240704,20240705,20240705,24,11.65,True,0.0
SLA000186,WO001968,C017,SV10,A005,P4,20240924,20240929,20240927,120,61.89,True,0.0
SLA000187,WO001101,C006,SV9,A004,P3,20240709,20240712,20240713,72,77.78,False,5.78
SLA000188,WO003926,C006,SV5,A017,P2,20241212,20241213,20241214,24,24.02,False,0.02
SLA000189,WO002173,C014,SV1,A010,P2,20240321,20240322,20240323,24,27.85,False,3.85
SLA000190,WO001494,C002,SV8,A004,P4,20240506,20240511,20240510,120,89.39,True,0.0
SLA000191,WO003395,C006,SV5,A004,P3,20240925,20240928,20240927,72,43.45,True,0.0
SLA000192,WO002690,C005,SV6,A005,P3,20240816,20240819,20240822,72,121.9,False,49.9
SLA000193,WO002283,C009,SV2,A008,P4,20240411,20240416,20240419,120,187.52,False,67.52
SLA000194,WO001777,C005,SV2,A017,P2,20240327,20240328,20240328,24,19.25,True,0.0
SLA000195,WO001892,C017,SV12,A009,P1,20240424,20240424,20240425,8,8.35,False,0.35
SLA000196,WO002061,C007,SV4,A004,P3,20240202,20240205,20240205,72,54.25,True,0.0
SLA000197,WO002587,C008,SV12,A017,P2,20240512,20240513,20240513,24,9.92,True,0.0
SLA000198,WO002666,C007,SV7,A005,P1,20241112,20241112,20241113,8,12.45,False,4.45
SLA000199,WO000688,C009,SV2,A009,P3,20240425,20240428,20240427,72,47.0,True,0.0
SLA000200,WO004477,C005,SV5,A017,P1,20240616,20240616,20240617,8,6.72,True,0.0
SLA000201,WO000088,C015,SV6,A004,P4,20240409,20240414,20240412,120,57.18,True,0.0
SLA000202,WO000671,C003,SV6,A006,P3,20240229,20240303,20240302,72,39.38,True,0.0
SLA000203,WO002402,C002,SV2,A004,P2,20240611,20240612,20240612,24,13.87,True,0.0
SLA000204,WO001426,C011,SV1,A004,P3,20240531,20240603,20240603,72,56.46,True,0.0
SLA000205,WO002130,C010,SV11,A012,P2,20241225,20241226,20241226,24,20.48,True,0.0
SLA000206,WO003824,C015,SV9,A005,P1,20240709,20240709,20240710,8,12.98,False,4.98
SLA000207,WO001298,C002,SV12,A005,P2,20241111,20241112,20241112,24,16.42,True,0.0
SLA000208,WO000251,C019,SV12,A010,P2,20240422,20240423,20240423,24,15.8,True,0.0
SLA000209,WO000058,C012,SV8,A017,P1,20241221,20241221,20241222,8,9.05,False,1.05
SLA000210,WO004564,C006,SV9,A012,P2,20241108,20241109,20241111,24,53.17,False,29.17
SLA000211,WO000824,C016,SV6,A004,P3,20240409,20240412,20240413,72,75.32,False,3.32
SLA000212,WO000011,C014,SV10,A013,P2,20240905,20240906,20240907,24,32.18,False,8.18
SLA000213,WO004872,C019,SV10,A004,P3,20240604,20240607,20240606,72,30.11,True,0.0
SLA000214,WO000255,C011,SV9,A012,P2,20241101,20241102,20241104,24,54.35,False,30.35
SLA000215,WO001063,C014,SV5,A017,P2,20240825,20240826,20240827,24,25.65,False,1.65
SLA000216,WO002679,C018,SV6,A005,P3,20241004,20241007,20241008,72,84.81,False,12.81
SLA000217,WO001344,C017,SV10,A010,P3,20240606,20240609,20240607,72,23.71,True,0.0
SLA000218,WO003063,C014,SV1,A017,P2,20240402,20240403,20240403,24,13.79,True,0.0
SLA000219,WO000747,C008,SV5,A009,P3,20241224,20241227,20241228,72,83.39,False,11.39
SLA000220,WO001802,C004,SV11,A004,P3,20241002,20241005,20241005,72,52.69,True,0.0
SLA000221,WO003663,C001,SV3,A004,P1,20241004,20241004,20241005,8,10.62,False,2.62
SLA000222,WO001562,C006,SV3,A009,P3,20241201,20241204,20241206,72,96.84,False,24.84
SLA000223,WO000158,C010,SV1,A004,P2,20240720,20240721,20240721,24,22.25,True,0.0
SLA000224,WO002200,C013,SV3,A005,P2,20240415,20240416,20240418,24,49.12,False,25.12
SLA000225,WO004395,C004,SV3,A004,P3,20241209,20241212,20241213,72,92.89,False,20.89
SLA000226,WO002339,C016,SV10,A008,P1,20240819,20240819,20240820,8,3.74,True,0.0
SLA000227,WO002636,C018,SV6,A005,P2,20240508,20240509,20240511,24,54.08,False,30.08
SLA000228,WO003546,C002,SV12,A004,P2,20240223,20240224,20240224,24,9.59,True,0.0
SLA000229,WO004685,C018,SV9,A004,P3,20240830,20240902,20240902,72,49.57,True,0.0
SLA000230,WO002236,C013,SV11,A012,P3,20240312,20240315,20240321,72,197.04,False,125.04
SLA000231,WO003933,C002,SV4,A005,P4,20240426,20240501,20240503,120,162.4,False,42.4
SLA000232,WO002430,C004,SV8,A004,P2,20240911,20240912,20240913,24,30.2,False,6.2
SLA000233,WO000354,C015,SV3,A013,P3,20240501,20240504,20240504,72,71.32,True,0.0
SLA000234,WO003059,C019,SV8,A009,P2,20241127,20241128,20241128,24,12.26,True,0.0
SLA000235,WO004223,C015,SV3,A004,P4,20240209,20240214,20240224,120,343.9,False,223.9
SLA000236,WO003523,C020,SV8,A005,P3,20240506,20240509,20240510,72,77.91,False,5.91
SLA000237,WO000990,C008,SV3,A004,P2,20241020,20241021,20241021,24,7.45,True,0.0
SLA000238,WO004153,C018,SV6,A004,P3,20240409,20240412,20240411,72,35.78,True,0.0
SLA000239,WO002806,C018,SV5,A013,P3,20240401,20240404,20240404,72,65.1,True,0.0
SLA000240,WO004024,C018,SV10,A004,P3,20240918,20240921,20240920,72,40.12,True,0.0
SLA000241,WO002504,C001,SV6,A005,P3,20240124,20240127,20240129,72,106.93,False,34.93
SLA000242,WO002785,C020,SV6,A013,P3,20240823,20240826,20240825,72,45.65,True,0.0
SLA000243,WO002991,C011,SV6,A004,P2,20240302,20240303,20240303,24,12.14,True,0.0
SLA000244,WO001911,C006,SV4,A009,P2,20240704,20240705,20240705,24,15.62,True,0.0
SLA000245,WO002159,C016,SV8,A004,P2,20240924,20240925,20240925,24,18.04,True,0.0
SLA000246,WO004898,C011,SV11,A004,P2,20241212,20241213,20241213,24,9.72,True,0.0
SLA000247,WO003289,C008,SV7,A004,P2,20240922,20240923,20240923,24,20.94,True,0.0
SLA000248,WO001889,C003,SV6,A012,P3,20240813,20240816,20240815,72,38.65,True,0.0
SLA000249,WO003250,C017,SV5,A017,P3,20240710,20240713,20240711,72,16.68,True,0.0
SLA000250,WO004399,C010,SV3,A017,P4,20240928,20241003,20241005,120,156.8,False,36.8
SLA000251,WO000834,C013,SV10,A004,P2,20240328,20240329,20240329,24,7.2,True,0.0
SLA000252,WO003966,C003,SV5,A004,P2,20241201,20241202,20241202,24,16.31,True,0.0
SLA000253,WO000373,C006,SV5,A004,P4,20240125,20240130,20240127,120,46.11,True,0.0
SLA000254,WO002802,C014,SV5,A004,P2,20241112,20241113,20241113,24,22.99,True,0.0
SLA000255,WO003172,C006,SV2,A010,P1,20241129,20241129,20241130,8,9.35,False,1.35
SLA000256,WO002508,C002,SV6,A005,P3,20240715,20240718,20240719,72,78.5,False,6.5
SLA000257,WO002315,C006,SV11,A017,P3,20240720,20240723,20240721,72,23.77,True,0.0
SLA000258,WO002248,C018,SV1,A004,P2,20240429,20240430,20240430,24,7.2,True,0.0
SLA000259,WO000084,C020,SV8,A005,P2,20241230,20241231,20241231,24,22.24,True,0.0
SLA000260,WO003269,C018,SV7,A005,P3,20240908,20240911,20240910,72,47.83,True,0.0
SLA000261,WO000514,C008,SV11,A017,P4,20240605,20240610,20240614,120,196.37,False,76.37
SLA000262,WO004418,C020,SV7,A017,P3,20240604,20240607,20240606,72,36.44,True,0.0
SLA000263,WO001849,C017,SV7,A004,P2,20240709,20240710,20240711,24,25.43,False,1.43
SLA000264,WO003572,C001,SV8,A017,P1,20240602,20240602,20240603,8,6.18,True,0.0
SLA000265,WO002632,C008,SV10,A013,P2,20240511,20240512,20240512,24,22.4,True,0.0
SLA000266,WO002032,C017,SV10,A013,P3,20241018,20241021,20241022,72,95.58,False,23.58
SLA000267,WO003941,C004,SV11,A010,P2,20240815,20240816,20240817,24,30.07,False,6.07
SLA000268,WO002862,C006,SV9,A010,P3,20240322,20240325,20240325,72,56.85,True,0.0
SLA000269,WO004792,C020,SV3,A004,P4,20240322,20240327,20240325,120,64.4,True,0.0
SLA000270,WO001517,C004,SV11,A010,P3,20240929,20241002,20241001,72,41.89,True,0.0
SLA000271,WO004680,C015,SV12,A005,P3,20240517,20240520,20240520,72,58.79,True,0.0
SLA000272,WO002643,C016,SV11,A008,P3,20241104,20241107,20241109,72,113.45,False,41.45
SLA000273,WO002668,C006,SV5,A013,P3,20240330,20240402,20240401,72,47.85,True,0.0
SLA000274,WO001920,C003,SV12,A012,P3,20240407,20240410,20240410,72,49.33,True,0.0
SLA000275,WO002769,C003,SV6,A013,P1,20240325,20240325,20240326,8,7.63,True,0.0
SLA000276,WO000217,C018,SV2,A017,P2,20240514,20240515,20240518,24,84.25,False,60.25
SLA000277,WO003247,C005,SV12,A004,P3,20240207,20240210,20240211,72,90.54,False,18.54
SLA000278,WO001102,C018,SV4,A005,P4,20240830,20240904,20240907,120,178.84,False,58.84
SLA000279,WO002436,C011,SV11,A017,P4,20240828,20240902,20240830,120,36.57,True,0.0
SLA000280,WO002703,C012,SV3,A017,P3,20240907,20240910,20240909,72,45.1,True,0.0
SLA000281,WO003565,C014,SV6,A008,P2,20241027,20241028,20241028,24,15.52,True,0.0
SLA000282,WO003530,C009,SV8,A004,P4,20240226,20240302,20240304,120,152.62,False,32.62
SLA000283,WO004149,C020,SV11,A017,P2,20240222,20240223,20240223,24,16.69,True,0.0
SLA000284,WO000552,C018,SV4,A012,P2,20241021,20241022,20241022,24,18.04,True,0.0
SLA000285,WO002998,C014,SV12,A004,P3,20240826,20240829,20240828,72,42.68,True,0.0
SLA000286,WO003490,C015,SV9,A004,P2,20240601,20240602,20240602,24,12.52,True,0.0
SLA000287,WO003522,C015,SV9,A004,P3,20241001,20241004,20241003,72,41.99,True,0.0
