IncidentID,DateKey,AreaID,EquipmentID,LocationID,Severity,IncidentType,CorrectiveActionStatus,DaysOpen,LostTimeFlag,RiskCategory
IN00077,20240820,A004,EQ0035,L008,Crítica,Falla de control crítico,Cerrada,0,False,Ambiente
IN00078,20240529,A010,EQ0014,L002,Baja,Falla de control crítico,Cerrada,0,True,Geotecnia
IN00079,20240511,A017,EQ0004,L009,Baja,Exposición a energía,Cerrada,0,False,Geotecnia
IN00080,20240209,A004,EQ0017,L008,Alta,Acto subestándar,En Proceso,41,False,Geotecnia
IN00081,20240505,A010,EQ0052,L002,Media,Derrame menor,En Proceso,48,False,Seguridad
IN00082,20240520,A017,EQ0010,L009,Media,Exposición a energía,En Proceso,80,False,Calidad
IN00083,20240213,A012,EQ0043,L017,Baja,Evento en taller,Cerrada,0,False,Operación
IN00084,20241229,A005,EQ0006,L008,Baja,Evento en taller,Cerrada,0,False,Seguridad
IN00085,20241129,A004,EQ0035,L008,Media,Casi accidente,Cerrada,0,False,Calidad
IN00086,20240125,A004,EQ0053,L008,Media,Evento en taller,En Proceso,111,False,Geotecnia
IN00087,20240807,A017,EQ0024,L009,Baja,Incidente de tránsito mina,En Proceso,40,False,Ambiente
IN00088,20241125,A013,EQ0012,L013,Alta,Condición subestándar,En Proceso,30,False,Operación
IN00089,20240130,A013,EQ0020,L013,Media,Derrame menor,Cerrada,0,False,Geotecnia
IN00090,20240208,A010,EQ0052,L002,Media,Evento en correa,Abierta,55,False,Seguridad
IN00091,20240412,A010,EQ0055,L002,Media,Falla de control crítico,En Proceso,12,True,Seguridad
IN00092,20240722,A017,EQ0057,L009,Baja,Condición subestándar,En Proceso,61,False,Calidad
IN00093,20240730,A013,EQ0012,L013,Media,Bloqueo y etiquetado,Abierta,44,False,Ambiente
IN00094,20241113,A004,EQ0025,L008,Crítica,Evento en correa,Vencida,38,False,Seguridad
IN00095,20241126,A005,EQ0021,L008,Baja,Falla de control crítico,Abierta,36,False,Calidad
IN00096,20240814,A004,EQ0017,L008,Alta,Evento en correa,Abierta,42,False,Geotecnia
IN00097,20240121,A017,EQ0016,L009,Crítica,Falla de control crítico,En Proceso,41,True,Calidad
IN00098,20240304,A004,EQ0048,L008,Media,Exposición a energía,Vencida,107,False,Calidad
IN00099,20241012,A004,EQ0003,L008,Alta,Casi accidente,Vencida,21,False,Seguridad
IN00100,20241230,A009,EQ0059,L004,Media,Bloqueo y etiquetado,Cerrada,0,False,Seguridad
IN00101,20240208,A004,EQ0047,L008,Alta,Bloqueo y etiquetado,Cerrada,0,False,Calidad
IN00102,20241111,A004,EQ0009,L008,Baja,Exposición a energía,Vencida,51,False,Operación
IN00103,20240526,A004,EQ0035,L008,Crítica,Evento HSE,En Proceso,45,False,Ambiente
IN00104,20240225,A005,EQ0021,L008,Alta,Incidente operacional,Cerrada,0,False,Geotecnia
IN00105,20240925,A010,EQ0014,L002,Baja,Casi accidente,Abierta,36,False,Geotecnia
IN00106,20240708,A004,EQ0047,L008,Alta,Acto subestándar,Abierta,23,False,Seguridad
IN00107,20240319,A004,EQ0025,L008,Media,Acto subestándar,Cerrada,0,False,Calidad
IN00108,20240825,A017,EQ0001,L009,Crítica,Incidente operacional,Cerrada,0,False,Geotecnia
IN00109,20240301,A010,EQ0023,L002,Baja,Acto subestándar,En Proceso,63,False,Operación
IN00110,20240803,A010,EQ0023,L002,Baja,Casi accidente,Abierta,64,False,Ambiente
IN00111,20241014,A013,EQ0020,L013,Baja,Evento HSE,Cerrada,0,False,Ambiente
IN00112,20240509,A017,EQ0008,L009,Baja,Derrame menor,Cerrada,0,False,Calidad
IN00113,20240226,A004,EQ0042,L008,Alta,Incidente de tránsito mina,Cerrada,0,False,Seguridad
IN00114,20241026,A005,EQ0049,L008,Media,Evento HSE,Cerrada,0,False,Operación
IN00115,20240213,A005,EQ0054,L008,Media,Casi accidente,En Proceso,20,False,Calidad
IN00116,20240412,A017,EQ0016,L009,Baja,Condición subestándar,Cerrada,0,False,Ambiente
IN00117,20240116,A008,EQ0032,L012,Alta,Evento en taller,Cerrada,0,False,Geotecnia
IN00118,20240421,A004,EQ0038,L008,Alta,Bloqueo y etiquetado,Abierta,118,False,Operación
IN00119,20240119,A013,EQ0012,L013,Baja,Incidente operacional,Abierta,69,False,Ambiente
IN00120,20240719,A004,EQ0035,L008,Crítica,Derrame menor,Abierta,92,False,Geotecnia
IN00121,20240215,A004,EQ0022,L008,Baja,Evento en taller,Cerrada,0,False,Ambiente
IN00122,20240124,A005,EQ0056,L008,Baja,Exposición a energía,Cerrada,0,True,Calidad
IN00123,20241022,A017,EQ0045,L009,Alta,Derrame menor,Cerrada,0,True,Seguridad
IN00124,20240129,A017,EQ0005,L009,Media,Bloqueo y etiquetado,Vencida,101,False,Operación
IN00125,20240518,A004,EQ0017,L008,Alta,Falla de control crítico,En Proceso,35,False,Seguridad
IN00126,20241219,A004,EQ0029,L008,Alta,Bloqueo y etiquetado,En Proceso,60,False,Geotecnia
IN00127,20240531,A004,EQ0003,L008,Media,Bloqueo y etiquetado,En Proceso,97,False,Geotecnia
IN00128,20240607,A005,EQ0054,L008,Baja,Bloqueo y etiquetado,En Proceso,6,True,Geotecnia
IN00129,20240908,A010,EQ0055,L002,Alta,Evento en correa,En Proceso,37,False,Operación
IN00130,20240725,A008,EQ0032,L012,Alta,Acto subestándar,Abierta,108,True,Operación
IN00131,20241020,A013,EQ0020,L013,Alta,Incidente operacional,En Proceso,81,False,Calidad
IN00132,20241228,A005,EQ0058,L008,Alta,Riesgo geotécnico,Abierta,91,False,Operación
IN00133,20240804,A017,EQ0008,L009,Media,Derrame menor,En Proceso,62,False,Geotecnia
IN00134,20241223,A004,EQ0015,L008,Media,Evento HSE,Cerrada,0,False,Operación
IN00135,20240214,A017,EQ0037,L009,Baja,Bloqueo y etiquetado,En Proceso,116,False,Seguridad
IN00136,20241009,A004,EQ0029,L008,Crítica,Riesgo geotécnico,Abierta,80,True,Operación
IN00137,20240713,A013,EQ0012,L013,Media,Incidente de tránsito mina,Cerrada,0,False,Geotecnia
IN00138,20240802,A005,EQ0049,L008,Crítica,Evento en correa,Abierta,97,False,Operación
IN00139,20241028,A006,EQ0030,L015,Baja,Derrame menor,Cerrada,0,False,Seguridad
IN00140,20240401,A017,EQ0027,L009,Baja,Evento en taller,Cerrada,0,False,Calidad
IN00141,20240730,A017,EQ0016,L009,Media,Evento en correa,En Proceso,69,False,Calidad
IN00142,20240307,A017,EQ0016,L009,Alta,Falla de control crítico,Abierta,103,False,Ambiente
IN00143,20241023,A010,EQ0055,L002,Media,Evento en taller,En Proceso,85,False,Operación
IN00144,20240213,A004,EQ0007,L008,Media,Derrame menor,Cerrada,0,False,Geotecnia
IN00145,20240310,A004,EQ0022,L008,Baja,Acto subestándar,En Proceso,110,False,Geotecnia
IN00146,20240516,A006,EQ0051,L015,Alta,Derrame menor,Cerrada,0,False,Calidad
IN00147,20240709,A004,EQ0053,L008,Media,Evento HSE,Vencida,12,False,Ambiente
IN00148,20240406,A004,EQ0009,L008,Baja,Condición subestándar,Vencida,34,False,Geotecnia
IN00149,20240719,A017,EQ0031,L009,Baja,Evento en taller,Cerrada,0,False,Ambiente
IN00150,20241105,A004,EQ0009,L008,Media,Evento en correa,Abierta,49,False,Ambiente
IN00151,20240215,A017,EQ0057,L009,Baja,Casi accidente,Cerrada,0,False,Ambiente
IN00152,20241202,A017,EQ0024,L009,Baja,Evento HSE,En Proceso,118,False,Ambiente
IN00153,20240906,A004,EQ0047,L008,Media,Exposición a energía,Cerrada,0,False,Geotecnia
IN00154,20240809,A005,EQ0056,L008,Baja,Bloqueo y etiquetado,Cerrada,0,False,Ambiente
IN00155,20240802,A006,EQ0051,L015,Media,Casi accidente,Vencida,36,False,Operación
IN00156,20240826,A004,EQ0035,L008,Alta,Exposición a energía,En Proceso,34,True,Ambiente
IN00157,20240520,A013,EQ0012,L013,Baja,Bloqueo y etiquetado,Cerrada,0,False,Geotecnia
IN00158,20240714,A004,EQ0022,L008,Baja,Evento HSE,Abierta,73,False,Ambiente
IN00159,20240117,A005,EQ0054,L008,Media,Acto subestándar,Abierta,117,True,Geotecnia
IN00160,20240210,A005,EQ0056,L008,Alta,Evento HSE,Cerrada,0,False,Geotecnia
IN00161,20240718,A005,EQ0021,L008,Baja,Condición subestándar,Cerrada,0,False,Operación
IN00162,20241109,A004,EQ0017,L008,Baja,Incidente de tránsito mina,Abierta,118,False,Ambiente
IN00163,20240102,A010,EQ0033,L002,Baja,Evento en taller,En Proceso,96,False,Seguridad
IN00164,20240115,A004,EQ0002,L008,Media,Riesgo geotécnico,Vencida,97,False,Operación
IN00165,20240630,A008,EQ0040,L012,Baja,Incidente operacional,Cerrada,0,False,Seguridad
IN00166,20240904,A004,EQ0022,L008,Alta,Evento en correa,Cerrada,0,False,Seguridad
IN00167,20241101,A010,EQ0055,L002,Alta,Bloqueo y etiquetado,Abierta,89,False,Ambiente
IN00168,20240301,A004,EQ0038,L008,Baja,Incidente de tránsito mina,Abierta,51,False,Calidad
IN00169,20241205,A009,EQ0018,L004,Media,Incidente operacional,Cerrada,0,False,Geotecnia
IN00170,20241012,A005,EQ0054,L008,Media,Evento en taller,En Proceso,31,False,Ambiente
IN00171,20240910,A017,EQ0045,L009,Baja,Evento HSE,Cerrada,0,False,Geotecnia
IN00172,20240826,A004,EQ0038,L008,Alta,Incidente de tránsito mina,Abierta,78,False,Operación
IN00173,20241227,A010,EQ0034,L002,Media,Evento HSE,Abierta,40,False,Operación
IN00174,20240331,A004,EQ0036,L008,Crítica,Incidente operacional,En Proceso,109,False,Geotecnia
IN00175,20241205,A013,EQ0012,L013,Alta,Derrame menor,Cerrada,0,False,Seguridad
IN00176,20241011,A012,EQ0044,L017,Baja,Evento en taller,Vencida,22,False,Calidad
IN00177,20241008,A009,EQ0018,L004,Baja,Exposición a energía,Abierta,102,False,Calidad
IN00178,20241013,A017,EQ0013,L009,Alta,Evento en taller,Cerrada,0,False,Operación
IN00179,20240104,A010,EQ0055,L002,Baja,Evento en taller,Cerrada,0,False,Operación
IN00180,20240701,A005,EQ0054,L008,Alta,Incidente de tránsito mina,Cerrada,0,False,Ambiente
IN00181,20240821,A004,EQ0003,L008,Baja,Derrame menor,Cerrada,0,False,Ambiente
IN00182,20240720,A004,EQ0036,L008,Baja,Incidente de tránsito mina,Cerrada,0,False,Seguridad
IN00183,20241210,A005,EQ0021,L008,Alta,Bloqueo y etiquetado,En Proceso,38,False,Ambiente
IN00184,20240208,A008,EQ0032,L012,Media,Evento HSE,Cerrada,0,False,Geotecnia
IN00185,20241206,A004,EQ0053,L008,Alta,Casi accidente,Vencida,73,False,Calidad
IN00186,20240605,A008,EQ0039,L012,Baja,Casi accidente,En Proceso,110,False,Seguridad
IN00187,20240614,A004,EQ0029,L008,Alta,Derrame menor,Abierta,29,False,Operación
IN00188,20240829,A005,EQ0006,L008,Media,Acto subestándar,Cerrada,0,False,Seguridad
IN00189,20241021,A013,EQ0012,L013,Media,Evento en correa,Abierta,57,False,Seguridad
IN00190,20240126,A004,EQ0038,L008,Media,Riesgo geotécnico,Abierta,69,False,Seguridad
IN00191,20240926,A005,EQ0028,L008,Baja,Falla de control crítico,Cerrada,0,False,Seguridad
IN00192,20240511,A017,EQ0008,L009,Media,Incidente operacional,Cerrada,0,False,Calidad
IN00193,20240829,A005,EQ0006,L008,Baja,Riesgo geotécnico,Cerrada,0,False,Geotecnia
IN00194,20240613,A017,EQ0031,L009,Media,Evento HSE,Cerrada,0,False,Geotecnia
IN00195,20240304,A004,EQ0042,L008,Baja,Riesgo geotécnico,Cerrada,0,False,Geotecnia
IN00196,20240917,A004,EQ0050,L008,Media,Condición subestándar,En Proceso,115,False,Seguridad
IN00197,20240921,A006,EQ0051,L015,Baja,Evento en correa,Cerrada,0,False,Geotecnia
IN00198,20240515,A004,EQ0009,L008,Baja,Falla de control crítico,Abierta,8,True,Calidad
IN00199,20240212,A004,EQ0002,L008,Media,Incidente de tránsito mina,Vencida,73,False,Calidad
IN00200,20241204,A004,EQ0025,L008,Alta,Riesgo geotécnico,En Proceso,117,False,Seguridad
IN00201,20240429,A004,EQ0009,L008,Alta,Incidente operacional,Cerrada,0,False,Ambiente
IN00202,20241020,A004,EQ0038,L008,Baja,Condición subestándar,En Proceso,6,False,Operación
IN00203,20240508,A004,EQ0038,L008,Alta,Bloqueo y etiquetado,Cerrada,0,True,Operación
IN00204,20240702,A008,EQ0039,L012,Crítica,Incidente de tránsito mina,Cerrada,0,False,Calidad
IN00205,20241102,A005,EQ0028,L008,Baja,Evento en taller,En Proceso,47,False,Calidad
IN00206,20240917,A017,EQ0010,L009,Baja,Evento en taller,En Proceso,43,False,Seguridad
IN00207,20240825,A006,EQ0030,L015,Baja,Riesgo geotécnico,Abierta,13,False,Operación
IN00208,20240423,A013,EQ0020,L013,Baja,Evento HSE,Cerrada,0,False,Ambiente
IN00209,20240210,A004,EQ0050,L008,Baja,Evento en taller,Abierta,44,False,Ambiente
IN00210,20240629,A004,EQ0002,L008,Alta,Bloqueo y etiquetado,Vencida,60,False,Operación
IN00211,20240524,A008,EQ0040,L012,Baja,Riesgo geotécnico,En Proceso,53,False,Operación
IN00212,20240728,A004,EQ0048,L008,Baja,Bloqueo y etiquetado,En Proceso,69,False,Operación
IN00213,20240629,A008,EQ0039,L012,Baja,Incidente operacional,En Proceso,82,False,Seguridad
IN00214,20240413,A005,EQ0049,L008,Baja,Evento en correa,Cerrada,0,False,Calidad
IN00215,20240124,A010,EQ0052,L002,Baja,Evento en taller,Cerrada,0,False,Calidad
IN00216,20241105,A010,EQ0033,L002,Media,Bloqueo y etiquetado,Cerrada,0,False,Geotecnia
IN00217,20240130,A017,EQ0013,L009,Media,Condición subestándar,Cerrada,0,True,Geotecnia
IN00218,20240721,A009,EQ0059,L004,Alta,Acto subestándar,Cerrada,0,False,Calidad
IN00219,20240723,A004,EQ0003,L008,Crítica,Evento en correa,En Proceso,54,False,Ambiente
IN00220,20240617,A004,EQ0007,L008,Alta,Incidente operacional,Abierta,35,False,Seguridad
IN00221,20240204,A017,EQ0037,L009,Baja,Evento en correa,En Proceso,110,False,Seguridad
IN00222,20240425,A008,EQ0039,L012,Crítica,Incidente de tránsito mina,Cerrada,0,False,Seguridad
IN00223,20240620,A005,EQ0006,L008,Media,Derrame menor,Cerrada,0,False,Calidad
IN00224,20241121,A017,EQ0013,L009,Media,Exposición a energía,Abierta,51,False,Ambiente
IN00225,20241220,A009,EQ0018,L004,Baja,Falla de control crítico,Cerrada,0,False,Ambiente
IN00226,20240422,A005,EQ0021,L008,Baja,Derrame menor,En Proceso,113,False,Geotecnia
IN00227,20240903,A017,EQ0060,L009,Media,Exposición a energía,Cerrada,0,False,Calidad
IN00228,20240215,A004,EQ0003,L008,Alta,Condición subestándar,Abierta,119,False,Ambiente
IN00229,20240621,A004,EQ0046,L008,Media,Evento en correa,En Proceso,77,False,Geotecnia
IN00230,20240201,A004,EQ0009,L008,Media,Derrame menor,En Proceso,46,False,Calidad
IN00231,20240602,A017,EQ0005,L009,Media,Incidente operacional,Cerrada,0,True,Operación
IN00232,20241111,A004,EQ0022,L008,Media,Evento en taller,Cerrada,0,False,Geotecnia
IN00233,20240205,A004,EQ0002,L008,Alta,Falla de control crítico,Abierta,117,False,Operación
IN00234,20240426,A004,EQ0035,L008,Alta,Casi accidente,Cerrada,0,False,Seguridad
IN00235,20240612,A017,EQ0013,L009,Baja,Acto subestándar,Cerrada,0,False,Ambiente
IN00236,20240824,A006,EQ0030,L015,Alta,Incidente operacional,Cerrada,0,False,Geotecnia
IN00237,20240905,A009,EQ0018,L004,Baja,Derrame menor,En Proceso,63,False,Seguridad
IN00238,20241229,A009,EQ0059,L004,Baja,Casi accidente,Abierta,45,False,Geotecnia
IN00239,20240813,A004,EQ0053,L008,Media,Incidente de tránsito mina,Cerrada,0,False,Seguridad
IN00240,20240406,A004,EQ0048,L008,Crítica,Condición subestándar,En Proceso,64,False,Calidad
IN00241,20241010,A017,EQ0057,L009,Media,Casi accidente,Cerrada,0,False,Ambiente
IN00242,20240819,A017,EQ0004,L009,Media,Incidente de tránsito mina,Cerrada,0,False,Ambiente
IN00243,20240701,A017,EQ0010,L009,Baja,Exposición a energía,Cerrada,0,False,Operación
IN00244,20240718,A004,EQ0002,L008,Alta,Evento HSE,Cerrada,0,False,Geotecnia
IN00245,20240626,A013,EQ0012,L013,Baja,Exposición a energía,Cerrada,0,False,Operación
IN00246,20240125,A010,EQ0055,L002,Baja,Casi accidente,Vencida,86,False,Ambiente
IN00247,20240113,A006,EQ0051,L015,Crítica,Evento en taller,Cerrada,0,False,Calidad
IN00248,20240506,A008,EQ0032,L012,Alta,Condición subestándar,En Proceso,27,False,Seguridad
IN00249,20240908,A017,EQ0037,L009,Media,Incidente operacional,En Proceso,27,False,Geotecnia
IN00250,20240216,A017,EQ0060,L009,Alta,Acto subestándar,Cerrada,0,False,Operación
IN00251,20240613,A010,EQ0023,L002,Alta,Condición subestándar,En Proceso,61,False,Geotecnia
IN00252,20240329,A004,EQ0003,L008,Alta,Falla de control crítico,Abierta,77,False,Calidad
IN00253,20241002,A004,EQ0026,L008,Media,Incidente de tránsito mina,Cerrada,0,False,Ambiente
IN00254,20241110,A005,EQ0056,L008,Media,Exposición a energía,Cerrada,0,False,Geotecnia
IN00255,20241106,A008,EQ0032,L012,Baja,Incidente operacional,Cerrada,0,False,Calidad
IN00256,20240501,A005,EQ0041,L008,Media,Evento en correa,Abierta,30,False,Ambiente
IN00257,20241012,A004,EQ0035,L008,Media,Evento en taller,Cerrada,0,True,Operación
IN00258,20240111,A004,EQ0029,L008,Alta,Bloqueo y etiquetado,Cerrada,0,False,Seguridad
IN00259,20240417,A010,EQ0023,L002,Alta,Derrame menor,Cerrada,0,False,Calidad
IN00260,20241120,A004,EQ0017,L008,Media,Acto subestándar,Cerrada,0,False,Operación
IN00261,20240705,A008,EQ0032,L012,Media,Falla de control crítico,Vencida,14,False,Ambiente
IN00262,20241203,A017,EQ0031,L009,Baja,Evento en taller,En Proceso,17,False,Seguridad
IN00263,20240901,A012,EQ0043,L017,Baja,Bloqueo y etiquetado,Cerrada,0,False,Seguridad
IN00264,20240717,A004,EQ0042,L008,Crítica,Evento en correa,Vencida,10,False,Seguridad
IN00265,20240428,A017,EQ0037,L009,Media,Bloqueo y etiquetado,Cerrada,0,False,Ambiente
IN00266,20240509,A010,EQ0014,L002,Baja,Casi accidente,Cerrada,0,False,Ambiente
IN00267,20240125,A004,EQ0025,L008,Media,Exposición a energía,Cerrada,0,False,Geotecnia
IN00268,20241024,A004,EQ0050,L008,Media,Incidente de tránsito mina,Vencida,97,False,Operación
IN00269,20240423,A005,EQ0021,L008,Baja,Exposición a energía,Cerrada,0,False,Operación
IN00270,20240206,A010,EQ0052,L002,Baja,Falla de control crítico,Cerrada,0,False,Ambiente
IN00271,20240904,A010,EQ0034,L002,Baja,Acto subestándar,Vencida,74,False,Calidad
IN00272,20240812,A008,EQ0039,L012,Media,Evento en correa,Cerrada,0,False,Ambiente
IN00273,20241212,A010,EQ0033,L002,Crítica,Falla de control crítico,Cerrada,0,False,Operación
IN00274,20240223,A017,EQ0031,L009,Media,Acto subestándar,Cerrada,0,True,Operación
IN00275,20241013,A005,EQ0021,L008,Media,Riesgo geotécnico,Cerrada,0,False,Calidad
IN00276,20241110,A010,EQ0055,L002,Media,Exposición a energía,Cerrada,0,True,Calidad
IN00277,20240307,A005,EQ0028,L008,Alta,Evento HSE,Cerrada,0,False,Ambiente
IN00278,20241007,A004,EQ0022,L008,Media,Evento en correa,Vencida,87,False,Ambiente
IN00279,20240710,A004,EQ0019,L008,Alta,Condición subestándar,Cerrada,0,False,Calidad
IN00280,20241125,A004,EQ0038,L008,Alta,Acto subestándar,Cerrada,0,False,Seguridad
IN00281,20240218,A017,EQ0001,L009,Media,Incidente operacional,Cerrada,0,False,Geotecnia
IN00282,20241219,A017,EQ0027,L009,Baja,Casi accidente,Abierta,63,False,Ambiente
IN00283,20240803,A017,EQ0060,L009,Baja,Evento HSE,Cerrada,0,True,Seguridad
IN00284,20241018,A004,EQ0019,L008,Alta,Bloqueo y etiquetado,Vencida,36,False,Geotecnia
IN00285,20240526,A017,EQ0004,L009,Baja,Falla de control crítico,En Proceso,52,False,Calidad
