EnergyID,DateKey,AreaID,EquipmentID,LocationID,kWh,EnergyCost,OperatingHours,OutputUnits,Shift
EN0000085,20240424,A004,EQ0017,L008,3579.89,516.34,13.8,1952,Tarde
EN0000086,20240927,A004,EQ0029,L008,772.03,136.81,7.53,300,Día
EN0000087,20241122,A017,EQ0004,L009,2764.27,326.75,8.32,3700,Día
EN0000088,20240329,A008,EQ0011,L012,2339.21,419.79,21.14,2170,Tarde
EN0000089,20240106,A013,EQ0020,L013,3520.2,427.96,23.47,1963,Día
EN0000090,20241106,A010,EQ0034,L002,6199.54,807.22,21.03,2751,Tarde
EN0000091,20240429,A017,EQ0010,L009,1277.32,125.12,15.71,3224,Noche
EN0000092,20240705,A004,EQ0048,L008,2175.33,280.93,4.47,689,Día
EN0000093,20241005,A004,EQ0017,L008,947.8,86.74,4.78,1915,Noche
EN0000094,20240324,A006,EQ0051,L015,2355.66,308.2,13.94,3485,Día
EN0000095,20241231,A004,EQ0019,L008,6764.7,680.27,13.77,2182,Tarde
EN0000096,20240119,A008,EQ0032,L012,3491.18,427.66,22.25,2303,Tarde
EN0000097,20240515,A013,EQ0012,L013,1499.81,189.13,10.54,3477,Noche
EN0000098,20240120,A009,EQ0059,L004,4825.07,815.96,10.89,1070,Tarde
EN0000099,20240430,A009,EQ0018,L004,1084.34,184.26,11.75,2975,Tarde
EN0000100,20240529,A017,EQ0004,L009,1228.62,110.7,14.72,885,Día
EN0000101,20240928,A004,EQ0038,L008,5189.15,653.92,12.98,3602,Noche
EN0000102,20241004,A010,EQ0023,L002,9197.84,1212.44,19.96,1620,Día
EN0000103,20241111,A004,EQ0035,L008,2521.55,422.41,11.92,1752,Día
EN0000104,20240128,A004,EQ0050,L008,7983.26,1184.72,23.0,1808,Noche
EN0000105,20240713,A017,EQ0004,L009,4225.79,563.43,9.1,1245,Noche
EN0000106,20240419,A006,EQ0051,L015,4453.92,558.86,14.65,1980,Tarde
EN0000107,20241029,A009,EQ0018,L004,6231.92,887.02,12.61,3793,Noche
EN0000108,20240211,A017,EQ0016,L009,758.8,100.5,6.81,1088,Día
EN0000109,20241119,A005,EQ0028,L008,4295.8,563.11,23.61,1066,Noche
EN0000110,20241012,A017,EQ0027,L009,6264.15,802.89,18.15,2226,Tarde
EN0000111,20240430,A004,EQ0002,L008,1615.43,265.75,13.23,402,Día
EN0000112,20240801,A006,EQ0051,L015,674.3,68.12,7.33,2186,Tarde
EN0000113,20240418,A005,EQ0058,L008,1873.7,229.95,21.53,2319,Tarde
EN0000114,20241231,A004,EQ0025,L008,5166.36,888.85,11.19,1084,Día
EN0000115,20240207,A004,EQ0015,L008,3043.38,536.5,10.25,2608,Noche
EN0000116,20241109,A017,EQ0013,L009,2186.09,344.07,4.33,1794,Día
EN0000117,20240217,A008,EQ0039,L012,3693.37,383.82,21.84,338,Tarde
EN0000118,20241213,A017,EQ0024,L009,3584.68,327.28,13.01,1361,Noche
EN0000119,20240718,A004,EQ0007,L008,1456.76,256.67,17.36,786,Noche
EN0000120,20241214,A017,EQ0057,L009,2727.69,390.93,11.92,1854,Tarde
EN0000121,20240208,A010,EQ0023,L002,10226.95,1674.41,23.54,214,Tarde
EN0000122,20240109,A005,EQ0056,L008,3022.34,467.51,7.58,2556,Tarde
EN0000123,20240925,A004,EQ0002,L008,9237.96,1604.43,21.38,3774,Día
EN0000124,20241014,A004,EQ0038,L008,8118.69,1453.32,16.52,3458,Tarde
EN0000125,20240619,A004,EQ0009,L008,6897.44,792.13,20.26,1306,Día
EN0000126,20241108,A004,EQ0007,L008,6122.27,1048.98,12.78,3415,Noche
EN0000127,20241111,A017,EQ0008,L009,1248.56,142.26,6.68,4012,Noche
EN0000128,20240812,A017,EQ0024,L009,4546.35,698.06,14.39,3720,Día
EN0000129,20240831,A004,EQ0038,L008,6884.71,968.21,19.0,3885,Tarde
EN0000130,20240131,A004,EQ0048,L008,3684.04,423.3,12.36,1045,Día
EN0000131,20240515,A004,EQ0002,L008,7199.97,657.39,20.14,3912,Tarde
EN0000132,20240804,A017,EQ0037,L009,6417.53,750.3,21.09,2047,Noche
EN0000133,20240325,A013,EQ0020,L013,10088.1,1491.41,20.23,3409,Noche
EN0000134,20240706,A017,EQ0001,L009,5451.07,751.18,12.99,3316,Tarde
EN0000135,20240517,A013,EQ0012,L013,3983.02,622.7,11.46,285,Noche
EN0000136,20241217,A017,EQ0057,L009,3222.99,442.52,13.53,1575,Tarde
EN0000137,20240613,A005,EQ0041,L008,1985.16,252.91,10.98,3385,Tarde
EN0000138,20240728,A017,EQ0045,L009,2565.96,431.39,8.04,1797,Tarde
EN0000139,20241009,A004,EQ0003,L008,2578.97,426.07,10.37,689,Día
EN0000140,20241210,A017,EQ0060,L009,6893.05,886.86,13.84,2184,Tarde
EN0000141,20240425,A004,EQ0038,L008,4570.27,717.0,15.8,3839,Día
EN0000142,20240109,A004,EQ0038,L008,10152.74,1468.12,23.68,2096,Tarde
EN0000143,20240301,A004,EQ0036,L008,4724.83,720.65,17.64,1790,Noche
EN0000144,20240907,A017,EQ0037,L009,3148.16,391.5,11.26,3187,Día
EN0000145,20240802,A004,EQ0007,L008,577.02,92.44,6.85,1502,Tarde
EN0000146,20241016,A004,EQ0053,L008,10934.52,1503.11,21.09,1250,Tarde
EN0000147,20240522,A004,EQ0042,L008,2061.04,360.8,10.45,4081,Tarde
EN0000148,20241121,A017,EQ0010,L009,6882.08,712.73,22.84,1975,Noche
EN0000149,20240519,A017,EQ0013,L009,4009.44,364.96,7.88,1932,Tarde
EN0000150,20240811,A017,EQ0037,L009,3133.37,544.15,14.52,1966,Noche
EN0000151,20240508,A005,EQ0006,L008,1629.88,255.89,18.14,3079,Noche
EN0000152,20240614,A010,EQ0052,L002,1049.64,176.69,7.56,1242,Tarde
EN0000153,20240707,A017,EQ0005,L009,2455.6,253.36,6.43,477,Día
EN0000154,20240708,A004,EQ0047,L008,3501.83,498.02,10.48,1995,Noche
EN0000155,20240616,A009,EQ0059,L004,6200.05,1038.9,23.64,3286,Tarde
EN0000156,20241023,A010,EQ0023,L002,6308.25,950.3,12.34,1741,Noche
EN0000157,20241206,A004,EQ0017,L008,5396.96,967.38,10.65,4182,Tarde
EN0000158,20240320,A005,EQ0058,L008,1864.31,316.47,11.38,3428,Noche
EN0000159,20240410,A010,EQ0052,L002,7900.82,1408.31,23.91,1684,Tarde
EN0000160,20240416,A017,EQ0010,L009,2146.69,342.87,5.82,1265,Tarde
EN0000161,20240424,A008,EQ0032,L012,516.08,48.18,4.34,1175,Tarde
EN0000162,20240924,A004,EQ0025,L008,3099.29,345.85,15.0,1174,Día
EN0000163,20240425,A010,EQ0052,L002,2719.18,390.5,17.78,1696,Noche
EN0000164,20241010,A004,EQ0046,L008,2070.1,257.14,6.31,559,Noche
EN0000165,20241205,A005,EQ0049,L008,2411.46,367.69,5.97,552,Tarde
EN0000166,20240210,A004,EQ0026,L008,6444.88,1099.75,16.14,976,Noche
EN0000167,20240112,A017,EQ0016,L009,2464.27,226.42,21.56,2404,Noche
EN0000168,20240612,A005,EQ0028,L008,1824.5,182.33,10.58,2300,Tarde
EN0000169,20240121,A006,EQ0030,L015,4807.31,535.81,12.36,1215,Tarde
EN0000170,20241128,A006,EQ0051,L015,1007.24,97.86,5.43,3529,Noche
EN0000171,20241121,A010,EQ0014,L002,9647.29,1073.73,21.47,456,Día
EN0000172,20240826,A004,EQ0042,L008,1995.13,213.62,6.11,2207,Tarde
EN0000173,20240322,A004,EQ0022,L008,1290.47,197.69,11.24,4142,Tarde
EN0000174,20240525,A017,EQ0057,L009,1972.29,219.88,7.38,520,Tarde
EN0000175,20240808,A009,EQ0059,L004,5050.62,719.65,11.51,1538,Tarde
EN0000176,20241004,A017,EQ0005,L009,9222.08,1477.7,22.67,2387,Noche
EN0000177,20240528,A017,EQ0024,L009,6105.45,707.87,17.53,277,Noche
EN0000178,20240505,A004,EQ0047,L008,1748.33,313.59,8.89,3802,Noche
EN0000179,20240311,A017,EQ0008,L009,10635.43,1178.83,22.16,449,Tarde
EN0000180,20240422,A004,EQ0015,L008,1599.15,199.88,15.33,1915,Tarde
EN0000181,20241112,A008,EQ0032,L012,3337.43,505.47,15.57,3346,Tarde
EN0000182,20240723,A017,EQ0031,L009,3577.77,375.18,11.11,1031,Noche
EN0000183,20240706,A012,EQ0043,L017,1847.72,220.36,7.96,179,Noche
EN0000184,20240630,A010,EQ0055,L002,8727.56,1290.12,20.06,525,Día
EN0000185,20240725,A013,EQ0020,L013,7777.49,1253.86,21.73,3947,Noche
EN0000186,20241208,A010,EQ0023,L002,1608.46,271.49,7.95,2696,Tarde
EN0000187,20240105,A005,EQ0028,L008,1382.88,156.99,4.73,2846,Tarde
EN0000188,20241016,A004,EQ0053,L008,2660.52,259.89,15.01,1734,Día
EN0000189,20240729,A005,EQ0049,L008,5333.95,869.28,22.69,4170,Tarde
EN0000190,20240825,A004,EQ0007,L008,4478.18,651.92,10.71,269,Tarde
EN0000191,20240216,A004,EQ0019,L008,4185.07,656.49,16.52,3802,Tarde
EN0000192,20241030,A005,EQ0054,L008,2375.76,221.98,6.98,3375,Tarde
EN0000193,20241130,A004,EQ0053,L008,6844.06,1096.32,20.09,2978,Tarde
EN0000194,20241019,A012,EQ0044,L017,6823.67,1202.63,15.5,691,Día
EN0000195,20240614,A004,EQ0047,L008,3313.31,579.23,15.29,1418,Tarde
EN0000196,20240515,A004,EQ0017,L008,2265.89,242.86,13.75,3923,Noche
EN0000197,20241219,A004,EQ0046,L008,8988.34,1604.51,17.82,2017,Día
EN0000198,20240827,A017,EQ0037,L009,2481.93,304.58,9.21,2209,Día
EN0000199,20240509,A004,EQ0053,L008,2157.51,338.68,21.45,2633,Noche
EN0000200,20241112,A004,EQ0007,L008,7652.63,1176.54,17.38,1599,Noche
EN0000201,20240618,A017,EQ0037,L009,1394.68,163.01,14.73,798,Día
EN0000202,20241207,A004,EQ0038,L008,8168.8,1257.06,23.17,4010,Noche
EN0000203,20240107,A017,EQ0027,L009,4124.27,648.35,16.11,2591,Noche
EN0000204,20240703,A013,EQ0020,L013,10057.54,1809.16,22.8,636,Noche
EN0000205,20240106,A010,EQ0052,L002,3670.07,395.46,7.43,2764,Día
EN0000206,20240914,A009,EQ0059,L004,778.45,135.76,6.65,853,Noche
EN0000207,20240902,A004,EQ0036,L008,1217.84,194.28,7.69,565,Noche
EN0000208,20240615,A017,EQ0045,L009,8145.71,761.27,20.77,2772,Tarde
EN0000209,20240102,A004,EQ0019,L008,5865.35,867.17,16.08,2912,Noche
EN0000210,20240930,A017,EQ0010,L009,2352.46,337.94,23.88,3865,Tarde
EN0000211,20241214,A010,EQ0014,L002,1619.4,173.65,7.35,2506,Día
EN0000212,20241012,A013,EQ0012,L013,3877.88,689.74,15.25,349,Día
EN0000213,20241220,A004,EQ0022,L008,1073.64,179.41,6.38,1769,Noche
EN0000214,20240604,A005,EQ0054,L008,7268.31,898.92,21.49,2115,Día
EN0000215,20240327,A004,EQ0046,L008,5129.17,854.29,20.93,3782,Día
EN0000216,20240103,A005,EQ0028,L008,2840.02,375.48,19.88,1249,Tarde
EN0000217,20241023,A017,EQ0013,L009,4181.27,509.33,8.73,3977,Tarde
EN0000218,20241223,A005,EQ0058,L008,2790.08,263.53,12.93,528,Día
EN0000219,20241106,A005,EQ0041,L008,2005.46,301.54,21.28,3512,Tarde
EN0000220,20240131,A017,EQ0057,L009,7302.42,1070.86,16.71,3402,Noche
EN0000221,20240218,A004,EQ0026,L008,2593.03,440.85,5.87,3922,Noche
EN0000222,20240206,A004,EQ0035,L008,10363.94,1279.91,20.14,3213,Día
EN0000223,20241024,A017,EQ0010,L009,1732.48,231.23,11.64,3232,Tarde
EN0000224,20240813,A017,EQ0013,L009,2809.41,359.31,6.2,2779,Tarde
EN0000225,20241111,A008,EQ0039,L012,3582.63,515.13,13.0,4122,Día
EN0000226,20241118,A017,EQ0037,L009,1100.32,153.17,5.1,669,Noche
EN0000227,20240515,A009,EQ0059,L004,1092.03,143.44,5.42,2265,Noche
EN0000228,20241216,A017,EQ0060,L009,1223.18,150.13,11.75,3870,Noche
EN0000229,20240910,A004,EQ0002,L008,3865.19,470.6,20.4,1039,Día
EN0000230,20241217,A004,EQ0053,L008,1914.6,214.49,5.31,1043,Día
EN0000231,20240407,A008,EQ0039,L012,1156.57,140.62,12.46,1241,Noche
EN0000232,20240714,A004,EQ0015,L008,3148.67,478.46,15.48,3505,Día
EN0000233,20240729,A017,EQ0010,L009,2093.72,295.02,21.54,270,Noche
EN0000234,20241106,A005,EQ0054,L008,4515.85,446.92,15.58,2411,Tarde
EN0000235,20240723,A004,EQ0002,L008,6952.18,1238.29,14.54,1454,Noche
EN0000236,20240505,A008,EQ0032,L012,4798.17,725.07,13.04,3755,Día
EN0000237,20240214,A013,EQ0012,L013,1968.3,273.86,14.93,4173,Día
EN0000238,20241126,A009,EQ0059,L004,6572.25,636.3,15.73,3261,Tarde
EN0000239,20241206,A004,EQ0009,L008,7680.95,1311.04,23.35,3521,Día
EN0000240,20241230,A005,EQ0041,L008,3938.62,604.29,13.38,2074,Tarde
EN0000241,20241209,A004,EQ0017,L008,3680.02,595.77,7.45,1065,Noche
EN0000242,20241218,A009,EQ0018,L004,1212.69,133.76,12.24,2537,Tarde
EN0000243,20241212,A004,EQ0038,L008,1874.39,192.52,16.99,500,Noche
EN0000244,20241119,A009,EQ0018,L004,4169.51,677.35,10.01,1230,Noche
EN0000245,20240715,A005,EQ0054,L008,8863.63,999.14,19.7,3275,Día
EN0000246,20240915,A006,EQ0030,L015,7572.62,846.69,21.86,3024,Noche
EN0000247,20240401,A017,EQ0005,L009,3383.41,478.44,16.0,3184,Tarde
EN0000248,20240912,A017,EQ0031,L009,6053.92,885.2,22.79,3210,Día
EN0000249,20240927,A004,EQ0015,L008,2373.43,342.94,6.11,3870,Día
EN0000250,20240606,A010,EQ0055,L002,5196.89,867.76,11.68,3680,Día
EN0000251,20240830,A004,EQ0002,L008,2856.87,469.35,5.74,2851,Tarde
EN0000252,20240603,A017,EQ0008,L009,7531.91,1354.51,15.72,408,Tarde
EN0000253,20241116,A006,EQ0030,L015,7583.2,1108.89,18.37,412,Noche
EN0000254,20240312,A004,EQ0017,L008,2999.99,402.15,6.78,3166,Día
EN0000255,20241107,A004,EQ0022,L008,1593.72,177.65,4.76,4156,Día
EN0000256,20241008,A010,EQ0014,L002,12082.64,1733.55,23.32,2556,Noche
EN0000257,20240411,A010,EQ0055,L002,2879.4,375.54,21.11,4148,Día
EN0000258,20240229,A017,EQ0001,L009,1719.35,158.7,7.79,2528,Noche
EN0000259,20240801,A017,EQ0008,L009,5127.66,511.43,12.36,1091,Tarde
EN0000260,20241208,A005,EQ0058,L008,1008.72,127.36,5.13,249,Noche
EN0000261,20240609,A006,EQ0030,L015,1299.97,206.36,10.11,354,Noche
EN0000262,20240406,A017,EQ0057,L009,3181.16,418.86,8.35,330,Noche
EN0000263,20241206,A006,EQ0051,L015,1528.63,154.07,13.07,3490,Día
EN0000264,20240818,A004,EQ0019,L008,2152.26,362.03,7.05,3980,Día
EN0000265,20240529,A012,EQ0044,L017,3319.51,554.25,23.85,2286,Día
EN0000266,20240602,A004,EQ0009,L008,2181.6,348.93,6.22,811,Tarde
EN0000267,20240124,A017,EQ0037,L009,1873.07,294.63,18.53,833,Día
EN0000268,20241101,A005,EQ0021,L008,1391.73,240.68,10.18,3729,Tarde
EN0000269,20240628,A004,EQ0042,L008,8960.77,1300.73,21.75,2601,Tarde
EN0000270,20241021,A004,EQ0009,L008,834.34,104.72,5.1,994,Noche
EN0000271,20240325,A006,EQ0051,L015,6871.16,1183.44,20.44,873,Noche
EN0000272,20240130,A004,EQ0017,L008,2776.61,330.05,8.94,3087,Día
EN0000273,20240104,A005,EQ0028,L008,6260.38,786.7,21.32,1911,Noche
EN0000274,20240812,A006,EQ0051,L015,4494.79,704.63,14.72,3437,Tarde
EN0000275,20241129,A004,EQ0029,L008,623.05,94.38,5.23,3984,Tarde
EN0000276,20240924,A008,EQ0032,L012,2482.24,244.5,6.67,2531,Tarde
EN0000277,20240903,A017,EQ0008,L009,3681.5,444.26,18.67,1451,Día
EN0000278,20240707,A012,EQ0043,L017,5966.89,959.61,13.97,156,Noche
EN0000279,20240212,A009,EQ0059,L004,6003.74,833.63,21.72,684,Día
EN0000280,20240724,A017,EQ0045,L009,3898.89,431.7,12.22,3382,Día
EN0000281,20240518,A010,EQ0055,L002,10722.23,1640.79,22.96,1533,Día
EN0000282,20240209,A017,EQ0060,L009,1776.72,167.98,9.31,141,Tarde
EN0000283,20240411,A005,EQ0041,L008,1023.43,147.03,10.39,3833,Noche
EN0000284,20240909,A010,EQ0052,L002,7054.42,899.15,14.15,3178,Día
EN0000285,20241025,A008,EQ0032,L012,1722.35,275.14,8.73,3637,Tarde
EN0000286,20240422,A004,EQ0022,L008,3862.53,659.25,10.4,3564,Noche
EN0000287,20240911,A004,EQ0035,L008,4627.87,604.61,9.75,380,Tarde
EN0000288,20241230,A010,EQ0052,L002,11956.79,1103.54,23.38,1428,Día
EN0000289,20240210,A008,EQ0011,L012,4496.96,566.53,19.21,570,Noche
EN0000290,20240517,A004,EQ0038,L008,2688.08,359.02,6.23,2854,Noche
EN0000291,20240103,A004,EQ0042,L008,2089.2,243.47,6.46,414,Día
EN0000292,20240301,A012,EQ0043,L017,7096.36,1198.62,20.14,2366,Tarde
EN0000293,20241027,A012,EQ0044,L017,4622.5,616.12,15.2,4065,Tarde
EN0000294,20241026,A008,EQ0040,L012,3998.72,470.76,8.09,396,Noche
EN0000295,20241207,A017,EQ0037,L009,6584.5,824.74,13.25,1842,Tarde
EN0000296,20240816,A005,EQ0056,L008,9022.51,915.24,23.25,1892,Tarde
EN0000297,20241218,A017,EQ0001,L009,6725.14,852.31,18.94,288,Noche
EN0000298,20240924,A005,EQ0028,L008,1640.57,162.61,16.95,356,Día
EN0000299,20240213,A017,EQ0005,L009,2607.56,328.03,19.22,2074,Tarde
EN0000300,20240619,A004,EQ0053,L008,6131.91,927.2,22.97,1604,Noche
EN0000301,20240523,A004,EQ0009,L008,1330.47,133.8,15.83,2888,Noche
EN0000302,20240204,A004,EQ0047,L008,2537.28,328.24,18.62,3548,Día
EN0000303,20240214,A012,EQ0043,L017,2658.48,420.69,13.54,297,Tarde
EN0000304,20241214,A013,EQ0020,L013,3980.9,411.08,19.79,1535,Noche
EN0000305,20241207,A004,EQ0026,L008,4485.72,757.47,17.07,2907,Día
EN0000306,20241223,A017,EQ0013,L009,1840.78,306.45,12.83,3047,Día
EN0000307,20240614,A005,EQ0049,L008,9600.54,1586.13,23.01,2550,Día
EN0000308,20240515,A012,EQ0043,L017,4557.95,786.81,10.06,3754,Tarde
EN0000309,20241129,A005,EQ0058,L008,10557.29,1741.7,22.43,3739,Tarde
EN0000310,20240310,A017,EQ0037,L009,1629.3,230.48,7.99,3654,Noche
EN0000311,20240615,A017,EQ0031,L009,1948.47,202.75,20.13,2766,Tarde
EN0000312,20241003,A005,EQ0056,L008,3039.36,529.55,14.73,2172,Tarde
EN0000313,20240203,A004,EQ0019,L008,4874.37,465.45,15.6,3183,Tarde
EN0000314,20240407,A004,EQ0053,L008,3926.29,480.58,8.82,1029,Día
EN0000315,20240510,A004,EQ0035,L008,6212.1,1084.73,13.3,2109,Noche
EN0000316,20241227,A004,EQ0048,L008,5962.26,979.89,12.89,3496,Tarde
EN0000317,20241221,A013,EQ0020,L013,2668.49,355.91,20.88,574,Día
EN0000318,20240326,A006,EQ0030,L015,3533.34,382.63,18.59,2568,Día
EN0000319,20241116,A017,EQ0024,L009,6153.61,953.76,14.48,3113,Noche
EN0000320,20240812,A004,EQ0047,L008,7686.41,1313.37,20.76,1741,Noche
EN0000321,20240707,A017,EQ0005,L009,4642.2,571.12,18.21,1371,Día
EN0000322,20240316,A017,EQ0057,L009,12281.09,1926.03,23.62,274,Día
EN0000323,20240430,A005,EQ0021,L008,1894.13,173.38,8.22,4012,Noche
EN0000324,20240719,A004,EQ0025,L008,4957.92,636.94,11.14,3691,Noche
EN0000325,20240301,A009,EQ0059,L004,5184.78,746.05,16.47,3841,Día
EN0000326,20240620,A004,EQ0007,L008,6290.18,749.61,22.16,3971,Noche
EN0000327,20240220,A017,EQ0045,L009,2595.6,319.42,17.98,3013,Día
EN0000328,20240201,A005,EQ0006,L008,7673.94,1044.91,15.35,697,Día
EN0000329,20240226,A017,EQ0057,L009,3164.07,522.24,9.84,915,Noche
EN0000330,20241003,A004,EQ0017,L008,6213.81,1040.59,18.06,3750,Noche
