ProductivityID,DateKey,AreaID,ResponsibleID,LocationID,Shift,PlannedOutput,ActualOutput,LaborHours,ProductiveHours,NonProductiveHours
PD000105,20240911,A005,R011,L007,Noche,250,262,8.96,6.16,2.8
PD000106,20241128,A004,R006,L002,Noche,333,389,11.94,10.57,1.37
PD000107,20240402,A004,R008,L005,Tarde,598,410,7.17,6.28,0.89
PD000108,20240807,A003,R005,L002,Día,606,416,9.3,8.42,0.88
PD000109,20241228,A003,R010,L007,Tarde,896,843,7.55,6.7,0.85
PD000110,20240116,A003,R020,L007,Noche,265,263,6.15,4.75,1.4
PD000111,20241005,A002,R006,L003,Día,362,302,6.07,4.94,1.14
PD000112,20240111,A006,R008,L002,Tarde,505,479,11.78,9.32,2.46
PD000113,20240811,A004,R023,L002,Noche,657,640,9.19,7.91,1.28
PD000114,20241111,A003,R007,L006,Tarde,717,558,10.7,9.72,0.98
PD000115,20240327,A005,R022,L005,Tarde,248,242,10.76,9.3,1.47
PD000116,20241119,A005,R030,L001,Tarde,472,480,6.32,5.22,1.11
PD000117,20240410,A003,R015,L004,Tarde,396,374,10.86,7.85,3.01
PD000118,20240723,A001,R025,L005,Día,630,426,8.87,7.54,1.33
PD000119,20240902,A004,R010,L004,Noche,802,661,8.5,7.75,0.76
PD000120,20240508,A002,R024,L002,Día,370,368,11.28,7.65,3.63
PD000121,20241208,A001,R017,L006,Noche,544,515,11.28,9.06,2.22
PD000122,20241213,A005,R026,L006,Tarde,758,751,10.63,7.85,2.79
PD000123,20240928,A003,R029,L007,Día,257,233,8.88,7.13,1.75
PD000124,20240413,A004,R026,L002,Día,171,165,8.26,6.76,1.5
PD000125,20240221,A003,R014,L007,Tarde,154,140,6.85,5.43,1.42
PD000126,20240719,A002,R002,L004,Día,641,629,11.84,10.63,1.21
PD000127,20240212,A001,R027,L001,Noche,835,620,6.01,3.34,2.67
PD000128,20240127,A003,R023,L002,Tarde,644,483,10.8,8.76,2.05
PD000129,20240524,A006,R006,L002,Tarde,258,281,7.98,6.43,1.54
PD000130,20241124,A005,R009,L005,Día,51,59,6.66,6.08,0.59
PD000131,20240103,A004,R007,L007,Noche,802,638,6.27,4.26,2.01
PD000132,20241224,A005,R021,L007,Noche,331,284,6.83,5.03,1.8
PD000133,20240227,A001,R023,L001,Noche,712,647,6.58,5.82,0.76
PD000134,20240802,A005,R018,L005,Día,662,597,9.85,7.52,2.32
PD000135,20240214,A002,R014,L003,Día,478,383,10.71,8.17,2.54
PD000136,20241113,A003,R001,L002,Noche,78,59,6.38,5.04,1.34
PD000137,20241110,A003,R010,L007,Noche,876,807,8.45,6.9,1.54
PD000138,20240603,A005,R026,L003,Noche,135,106,6.7,5.65,1.05
PD000139,20240229,A005,R027,L007,Día,378,381,7.51,5.58,1.93
PD000140,20240831,A001,R003,L005,Día,463,328,9.72,6.24,3.47
PD000141,20240630,A006,R016,L005,Noche,621,714,10.78,9.86,0.92
PD000142,20240418,A003,R005,L002,Tarde,223,241,6.73,4.79,1.94
PD000143,20241125,A005,R012,L001,Noche,279,261,6.92,5.3,1.62
PD000144,20240602,A005,R020,L002,Día,557,602,6.07,4.4,1.67
PD000145,20240729,A002,R005,L002,Noche,316,273,7.78,6.39,1.39
PD000146,20240305,A003,R012,L006,Día,339,287,11.19,8.84,2.35
PD000147,20240218,A004,R014,L002,Día,516,564,8.53,7.31,1.22
PD000148,20240802,A004,R029,L002,Tarde,730,855,10.62,7.67,2.94
PD000149,20241222,A005,R003,L006,Día,149,160,7.6,6.34,1.25
PD000150,20240218,A005,R028,L004,Noche,629,500,6.71,5.59,1.12
PD000151,20240118,A004,R014,L003,Noche,494,389,7.51,5.63,1.88
PD000152,20241224,A005,R013,L007,Día,462,474,6.03,4.6,1.44
PD000153,20240827,A002,R030,L006,Tarde,415,345,11.57,9.34,2.23
PD000154,20240108,A003,R025,L004,Tarde,464,389,10.82,7.88,2.94
PD000155,20241230,A006,R029,L001,Noche,642,591,7.63,5.32,2.31
PD000156,20240208,A001,R028,L002,Día,514,341,11.81,9.1,2.7
PD000157,20240727,A004,R015,L003,Día,116,135,11.77,9.99,1.78
PD000158,20240411,A004,R021,L001,Día,203,232,8.56,7.03,1.53
PD000159,20240509,A001,R022,L007,Noche,791,649,7.06,5.43,1.63
PD000160,20240219,A006,R002,L006,Día,256,232,11.75,8.49,3.26
PD000161,20240818,A002,R027,L002,Noche,714,821,10.17,8.13,2.04
PD000162,20241226,A006,R027,L001,Día,519,480,6.89,6.14,0.75
PD000163,20241123,A002,R026,L001,Noche,645,664,11.3,10.04,1.26
PD000164,20240610,A005,R021,L005,Tarde,392,407,8.88,7.82,1.05
PD000165,20240607,A001,R019,L002,Tarde,104,79,8.16,6.43,1.73
PD000166,20240903,A001,R015,L004,Noche,142,118,7.25,4.9,2.35
PD000167,20241012,A002,R013,L004,Tarde,266,242,7.8,6.43,1.37
PD000168,20241228,A006,R005,L007,Noche,163,165,7.61,6.18,1.42
PD000169,20240329,A003,R026,L007,Día,187,159,8.45,6.44,2.0
PD000170,20241202,A004,R012,L002,Día,351,352,11.91,8.85,3.06
PD000171,20240131,A005,R013,L005,Tarde,855,873,6.75,5.28,1.47
PD000172,20240121,A003,R010,L007,Tarde,364,375,11.7,8.06,3.64
PD000173,20240911,A002,R008,L003,Noche,451,538,6.88,5.76,1.11
PD000174,20240624,A005,R007,L002,Noche,777,862,8.95,7.36,1.59
PD000175,20241122,A004,R006,L001,Día,645,553,6.02,4.69,1.33
PD000176,20240107,A001,R014,L002,Día,790,580,6.65,5.43,1.22
PD000177,20240126,A003,R028,L005,Tarde,440,474,6.07,4.67,1.4
PD000178,20240411,A003,R009,L005,Noche,600,673,6.51,5.63,0.88
PD000179,20240104,A001,R016,L005,Tarde,792,483,10.83,8.96,1.87
PD000180,20240818,A002,R018,L004,Tarde,687,681,7.95,7.24,0.72
PD000181,20240320,A004,R030,L005,Día,329,235,7.41,6.31,1.1
PD000182,20240216,A005,R023,L004,Tarde,894,896,8.72,5.9,2.82
PD000183,20240806,A006,R018,L004,Noche,450,475,7.55,6.65,0.9
PD000184,20241011,A004,R009,L006,Noche,161,153,10.3,8.36,1.94
PD000185,20240722,A002,R006,L007,Tarde,191,179,9.9,7.97,1.94
PD000186,20241007,A005,R011,L002,Tarde,725,660,7.08,5.98,1.1
PD000187,20240218,A005,R026,L006,Noche,817,830,7.49,5.35,2.14
PD000188,20240325,A004,R013,L003,Día,417,422,8.47,6.96,1.51
PD000189,20241016,A001,R015,L003,Día,94,82,11.25,8.22,3.03
PD000190,20240405,A001,R004,L007,Día,726,618,8.58,5.39,3.19
PD000191,20241209,A004,R027,L007,Día,214,172,6.29,4.25,2.04
PD000192,20241030,A001,R025,L005,Noche,104,62,6.09,4.48,1.62
PD000193,20240522,A002,R029,L007,Día,565,472,8.69,6.69,2.0
PD000194,20240824,A003,R025,L003,Tarde,171,157,11.98,9.93,2.05
PD000195,20240814,A005,R016,L006,Día,664,748,9.02,7.87,1.14
PD000196,20240628,A004,R007,L007,Día,627,653,9.97,8.92,1.05
PD000197,20240617,A005,R026,L006,Día,506,590,11.15,8.04,3.11
PD000198,20240325,A001,R016,L001,Día,757,561,7.53,4.48,3.05
PD000199,20240314,A005,R003,L003,Noche,116,126,6.06,4.27,1.8
PD000200,20240115,A001,R024,L001,Día,592,332,8.03,4.87,3.16
PD000201,20240415,A003,R030,L002,Tarde,296,226,6.6,5.57,1.03
PD000202,20241115,A003,R022,L004,Día,238,264,7.71,5.23,2.48
PD000203,20240514,A004,R008,L007,Día,490,472,8.05,6.26,1.79
PD000204,20241227,A003,R016,L001,Día,859,796,6.38,4.81,1.57
PD000205,20241226,A002,R011,L001,Noche,866,623,7.83,5.75,2.09
PD000206,20240211,A005,R014,L005,Día,644,657,10.44,9.52,0.92
PD000207,20241109,A001,R012,L003,Noche,412,301,9.99,7.98,2.01
PD000208,20241208,A001,R003,L005,Noche,447,233,7.42,5.92,1.5
PD000209,20240219,A005,R014,L007,Noche,190,194,6.27,4.81,1.45
PD000210,20240608,A003,R010,L001,Día,876,808,8.4,6.47,1.93
PD000211,20240907,A005,R028,L001,Tarde,72,66,9.18,6.6,2.58
PD000212,20240925,A004,R017,L003,Día,266,274,6.21,4.69,1.52
PD000213,20240814,A003,R023,L002,Día,455,389,7.72,5.74,1.98
PD000214,20240913,A006,R008,L004,Noche,546,430,9.75,8.96,0.79
PD000215,20240517,A004,R004,L001,Tarde,452,391,8.43,7.04,1.39
PD000216,20240707,A001,R029,L002,Tarde,110,94,9.61,8.25,1.35
PD000217,20240416,A003,R002,L001,Noche,624,507,10.61,7.11,3.49
PD000218,20240121,A006,R003,L002,Tarde,350,335,7.99,7.05,0.95
PD000219,20241126,A001,R008,L002,Tarde,289,282,9.41,8.1,1.3
PD000220,20240615,A003,R026,L006,Noche,361,342,11.9,8.31,3.59
PD000221,20240720,A005,R027,L001,Noche,674,588,9.99,8.99,1.0
PD000222,20240119,A001,R008,L002,Noche,74,65,11.4,6.52,4.88
PD000223,20241128,A003,R002,L001,Tarde,76,71,10.38,7.28,3.1
PD000224,20240714,A005,R019,L007,Noche,621,564,11.68,10.43,1.25
PD000225,20240509,A002,R018,L004,Tarde,307,265,9.78,8.27,1.51
PD000226,20240718,A002,R014,L007,Noche,572,542,11.99,9.49,2.5
PD000227,20241017,A002,R026,L001,Día,395,409,6.04,5.38,0.66
PD000228,20240616,A005,R029,L005,Tarde,716,630,11.91,10.77,1.14
PD000229,20240807,A005,R016,L003,Noche,460,423,11.92,8.76,3.16
PD000230,20240525,A005,R014,L001,Tarde,145,152,6.81,5.12,1.68
PD000231,20240726,A001,R019,L003,Noche,325,267,11.54,8.92,2.62
PD000232,20240408,A006,R026,L007,Día,449,415,7.0,5.86,1.14
PD000233,20241021,A003,R008,L006,Tarde,744,580,11.82,9.95,1.87
PD000234,20240811,A004,R030,L005,Día,95,90,8.7,7.52,1.18
PD000235,20240312,A001,R028,L002,Noche,150,136,9.62,6.14,3.49
PD000236,20240822,A004,R012,L002,Día,209,189,8.19,7.37,0.82
PD000237,20240813,A002,R003,L007,Día,213,205,11.66,10.49,1.16
PD000238,20241021,A002,R011,L006,Noche,451,400,9.57,7.6,1.97
PD000239,20240211,A005,R019,L006,Tarde,160,122,11.63,9.58,2.04
PD000240,20241114,A005,R008,L005,Día,450,314,7.2,5.46,1.73
PD000241,20240102,A004,R002,L005,Tarde,168,177,8.79,7.45,1.33
PD000242,20240930,A005,R006,L006,Día,810,946,10.11,7.34,2.77
PD000243,20241026,A004,R002,L002,Noche,327,360,7.56,5.68,1.87
PD000244,20241229,A005,R022,L007,Tarde,720,611,10.31,6.92,3.38
PD000245,20240109,A006,R023,L001,Tarde,851,890,6.41,4.52,1.89
PD000246,20241016,A003,R017,L007,Noche,184,161,6.01,5.49,0.52
PD000247,20240403,A001,R017,L007,Noche,606,372,6.02,5.34,0.68
PD000248,20241231,A001,R016,L004,Noche,388,362,10.02,8.53,1.49
PD000249,20241008,A006,R018,L002,Día,771,657,9.97,8.82,1.15
PD000250,20241031,A003,R030,L007,Noche,435,395,6.05,4.77,1.28
PD000251,20240918,A003,R025,L001,Día,742,672,8.57,7.43,1.15
PD000252,20240207,A001,R029,L002,Tarde,821,631,9.49,6.22,3.28
PD000253,20240924,A005,R003,L002,Día,259,291,7.81,5.36,2.44
PD000254,20240202,A004,R013,L003,Tarde,190,211,10.03,8.26,1.77
PD000255,20241103,A001,R020,L004,Noche,661,406,9.49,8.08,1.41
PD000256,20240128,A005,R020,L003,Noche,671,667,6.86,6.01,0.85
PD000257,20241115,A006,R025,L007,Día,327,302,9.24,6.32,2.92
PD000258,20240202,A006,R015,L001,Día,320,273,10.93,7.98,2.94
PD000259,20240228,A005,R023,L003,Noche,292,261,10.71,8.58,2.13
PD000260,20240817,A005,R005,L006,Tarde,265,256,6.62,4.99,1.63
PD000261,20241124,A001,R025,L003,Día,864,710,11.82,8.09,3.73
PD000262,20241016,A001,R008,L003,Noche,159,145,8.35,6.54,1.81
PD000263,20241103,A003,R005,L004,Tarde,756,772,7.86,7.0,0.86
PD000264,20240315,A002,R015,L003,Día,569,435,10.18,8.63,1.55
PD000265,20240212,A005,R028,L003,Noche,762,704,10.23,7.8,2.42
PD000266,20241225,A003,R027,L005,Noche,547,500,10.75,8.4,2.35
PD000267,20240220,A004,R016,L006,Tarde,586,611,9.14,7.07,2.06
PD000268,20240111,A005,R029,L007,Tarde,604,402,10.91,9.65,1.26
PD000269,20240901,A003,R004,L001,Tarde,462,533,9.35,7.93,1.42
PD000270,20240511,A005,R012,L007,Noche,858,805,7.17,5.85,1.32
PD000271,20241218,A003,R005,L003,Tarde,120,118,7.04,6.34,0.71
PD000272,20240118,A004,R001,L006,Tarde,125,89,6.23,4.17,2.06
PD000273,20241216,A003,R029,L006,Día,858,773,9.68,8.59,1.09
PD000274,20241023,A006,R007,L004,Tarde,362,293,7.73,6.83,0.9
PD000275,20240210,A004,R030,L007,Día,294,312,7.19,5.41,1.78
PD000276,20240526,A005,R022,L002,Noche,379,334,8.47,6.55,1.92
PD000277,20240806,A006,R017,L001,Noche,236,218,7.7,6.03,1.67
PD000278,20240827,A002,R028,L007,Noche,734,629,7.85,6.22,1.62
PD000279,20240214,A002,R006,L006,Día,856,702,7.63,5.42,2.21
PD000280,20241011,A002,R008,L003,Día,662,680,11.7,10.65,1.05
PD000281,20240526,A001,R016,L004,Tarde,283,183,8.89,5.83,3.06
PD000282,20240225,A006,R008,L002,Noche,162,156,8.49,6.47,2.02
PD000283,20241010,A002,R012,L001,Día,826,724,10.23,8.37,1.87
PD000284,20241019,A004,R012,L005,Tarde,432,427,7.39,6.54,0.85
PD000285,20240802,A005,R026,L005,Tarde,701,731,9.52,8.39,1.13
PD000286,20241227,A004,R010,L003,Noche,216,206,9.63,7.61,2.02
PD000287,20240307,A002,R021,L001,Noche,267,281,9.51,7.25,2.26
PD000288,20240811,A001,R023,L006,Día,744,713,6.26,4.0,2.25
PD000289,20240518,A002,R012,L006,Tarde,119,117,8.83,7.43,1.4
PD000290,20240204,A003,R003,L007,Tarde,879,848,6.65,4.54,2.12
PD000291,20241021,A003,R030,L006,Tarde,439,370,11.24,8.69,2.55
PD000292,20241225,A003,R016,L006,Día,861,737,9.12,6.6,2.52
PD000293,20240326,A004,R009,L004,Tarde,295,287,11.73,8.19,3.54
PD000294,20240410,A006,R023,L002,Tarde,149,126,12.0,9.24,2.76
PD000295,20240617,A002,R025,L005,Noche,386,340,9.37,6.39,2.99
PD000296,20240408,A004,R004,L006,Noche,581,592,10.68,9.53,1.15
PD000297,20240803,A001,R025,L004,Tarde,113,95,10.01,6.87,3.14
PD000298,20240911,A006,R008,L001,Noche,727,437,8.71,5.77,2.94
PD000299,20241111,A002,R026,L002,Día,469,435,7.46,6.42,1.04
PD000300,20241204,A003,R001,L002,Día,488,505,6.77,5.95,0.82
PD000301,20240325,A006,R029,L003,Tarde,898,800,6.47,5.01,1.45
PD000302,20240513,A001,R029,L007,Tarde,872,733,8.45,6.8,1.64
PD000303,20240205,A006,R003,L005,Día,530,531,9.42,8.54,0.88
PD000304,20240504,A006,R028,L007,Noche,525,488,11.96,9.82,2.13
PD000305,20240822,A004,R024,L001,Noche,277,243,10.04,8.48,1.56
PD000306,20240825,A004,R024,L005,Noche,246,198,10.38,8.67,1.7
PD000307,20240126,A004,R008,L003,Noche,804,607,10.79,7.76,3.03
PD000308,20240217,A005,R022,L007,Día,204,195,9.77,6.98,2.8
PD000309,20241013,A002,R005,L004,Tarde,605,456,9.22,7.95,1.27
PD000310,20241209,A002,R017,L002,Día,106,108,6.3,5.62,0.68
PD000311,20241022,A004,R008,L006,Tarde,540,567,6.23,5.19,1.04
PD000312,20240730,A002,R024,L004,Tarde,736,769,7.42,5.39,2.03
PD000313,20241016,A004,R018,L005,Día,546,475,8.84,6.58,2.25
PD000314,20240311,A006,R017,L007,Noche,367,392,8.46,6.95,1.51
PD000315,20240604,A004,R020,L005,Noche,547,337,11.79,9.38,2.4
PD000316,20241116,A001,R010,L001,Noche,84,65,8.39,6.04,2.35
PD000317,20241220,A004,R001,L001,Noche,559,394,8.12,5.88,2.24
PD000318,20240523,A003,R007,L002,Día,93,91,10.72,7.46,3.27
PD000319,20240910,A006,R017,L006,Tarde,377,322,8.82,6.14,2.69
PD000320,20241011,A006,R008,L006,Tarde,121,99,10.15,7.61,2.55
PD000321,20240223,A004,R009,L007,Día,450,331,9.2,7.4,1.8
PD000322,20240623,A005,R011,L006,Día,710,686,9.65,7.78,1.87
PD000323,20240504,A002,R018,L004,Tarde,239,220,9.57,7.07,2.49
PD000324,20240211,A004,R004,L006,Noche,417,352,6.53,5.82,0.71
PD000325,20240519,A001,R003,L006,Día,254,202,7.64,6.39,1.25
PD000326,20241011,A002,R026,L001,Noche,94,81,10.2,7.13,3.07
PD000327,20240102,A003,R021,L005,Noche,535,537,6.58,4.65,1.94
PD000328,20240609,A002,R029,L003,Noche,264,201,6.9,5.14,1.76
PD000329,20241026,A002,R029,L001,Tarde,568,642,7.94,5.59,2.35
PD000330,20240402,A002,R001,L003,Tarde,177,203,6.77,5.22,1.55
PD000331,20240419,A002,R003,L003,Noche,125,108,11.08,8.74,2.34
PD000332,20240405,A002,R020,L004,Tarde,123,135,7.01,5.76,1.25
PD000333,20240830,A006,R001,L002,Día,244,212,6.68,5.82,0.86
PD000334,20240415,A002,R007,L002,Día,486,480,9.59,7.63,1.95
PD000335,20240726,A006,R018,L004,Noche,687,474,10.13,6.94,3.19
PD000336,20240520,A001,R020,L006,Día,374,240,10.43,8.25,2.19
PD000337,20241120,A003,R007,L001,Tarde,615,634,7.67,7.04,0.63
PD000338,20240703,A006,R024,L003,Noche,488,562,6.48,4.94,1.54
PD000339,20240913,A001,R005,L007,Día,111,84,11.9,7.63,4.27
PD000340,20240510,A006,R023,L006,Tarde,461,361,7.46,5.61,1.85
PD000341,20240813,A001,R001,L002,Día,698,609,8.19,6.85,1.33
PD000342,20240305,A001,R013,L004,Día,604,385,7.11,5.12,1.98
PD000343,20241214,A001,R007,L007,Tarde,565,392,6.65,5.14,1.51
PD000344,20240903,A003,R029,L005,Día,423,373,10.53,6.98,3.55
PD000345,20240914,A003,R030,L001,Noche,856,847,10.28,7.77,2.51
PD000346,20240813,A006,R007,L004,Tarde,405,333,11.45,8.79,2.66
PD000347,20240227,A001,R020,L006,Tarde,427,297,8.13,4.44,3.69
PD000348,20240824,A002,R015,L004,Día,536,513,8.99,7.0,1.99
PD000349,20240913,A002,R023,L003,Noche,117,119,8.14,7.41,0.73
PD000350,20241110,A003,R020,L007,Día,642,495,11.4,9.36,2.04
PD000351,20240121,A003,R028,L006,Noche,878,771,6.61,4.74,1.87
PD000352,20240110,A004,R013,L006,Día,540,513,11.91,8.3,3.61
PD000353,20241217,A004,R026,L003,Noche,450,434,7.34,6.28,1.06
PD000354,20240704,A002,R001,L004,Noche,778,758,6.74,5.78,0.97
PD000355,20241009,A006,R030,L001,Noche,809,781,6.26,4.44,1.81
PD000356,20241121,A005,R026,L007,Noche,382,346,10.77,8.34,2.44
PD000357,20240307,A002,R018,L001,Día,862,908,10.35,9.24,1.12
PD000358,20240901,A001,R027,L002,Día,417,339,10.85,9.13,1.72
PD000359,20240531,A004,R017,L005,Noche,456,493,11.03,9.85,1.18
PD000360,20240902,A006,R021,L004,Tarde,776,669,9.7,8.04,1.66
PD000361,20241006,A002,R004,L005,Día,889,706,6.26,5.05,1.21
PD000362,20240920,A003,R012,L002,Tarde,129,117,6.31,4.27,2.03
PD000363,20241125,A002,R018,L005,Día,883,835,11.62,7.74,3.88
PD000364,20241219,A002,R009,L005,Día,841,818,11.55,9.47,2.08
PD000365,20240821,A002,R011,L003,Día,809,577,9.5,6.53,2.97
