ProjectFactID,ProjectID,DateKey,AreaID,ClientID,ResponsibleID,StatusID,PriorityID,PlannedProgressPct,ActualProgressPct,PlannedCost,ActualCost,RiskScore,DelayDays
PF00045,PR0045,20240617,A002,C011,R015,S4,P3,54.3,51.2,54169.8,46891.16,79.3,8
PF00046,PR0046,20241113,A001,C020,R015,S2,P2,61.5,43.9,50166.73,42981.3,36.8,5
PF00047,PR0047,20240128,A001,C015,R005,S1,P2,43.9,34.9,278457.7,236339.2,49.7,2
PF00048,PR0048,20240211,A003,C013,R007,S4,P2,72.4,56.7,169973.69,161492.11,92.9,14
PF00049,PR0049,20240704,A006,C011,R003,S2,P2,99.8,82.3,327472.46,338324.32,42.0,6
PF00050,PR0050,20240925,A004,C002,R018,S3,P4,80.6,73.7,223971.83,258688.64,34.5,3
PF00051,PR0051,20241023,A006,C002,R011,S4,P1,73.7,66.5,36432.19,37102.18,4.0,8
PF00052,PR0052,20240610,A001,C013,R017,S2,P2,60.5,50.0,76195.09,57051.09,56.5,4
PF00053,PR0053,20240825,A001,C001,R018,S4,P2,94.5,92.2,91891.43,91625.75,43.0,6
PF00054,PR0054,20240721,A006,C001,R022,S4,P3,67.3,61.5,342114.21,342272.99,26.8,7
PF00055,PR0055,20241217,A001,C005,R017,S4,P3,43.7,40.2,96078.87,122166.19,47.3,5
PF00056,PR0056,20240827,A001,C018,R020,S2,P3,58.7,56.8,192620.59,162792.03,34.5,8
PF00057,PR0057,20240601,A003,C010,R018,S4,P1,39.4,8.5,329257.5,444710.33,51.0,20
PF00058,PR0058,20241220,A006,C015,R020,S3,P2,48.1,37.5,342587.64,419567.88,55.9,4
PF00059,PR0059,20240209,A005,C009,R019,S4,P4,36.1,29.6,101817.14,109351.34,20.9,6
PF00060,PR0060,20241226,A001,C004,R010,S4,P3,64.5,57.1,40963.23,44551.51,63.9,4
PF00061,PR0061,20240226,A006,C008,R008,S4,P3,76.2,68.4,74920.6,77449.18,19.8,7
PF00062,PR0062,20240415,A006,C002,R024,S2,P3,57.3,45.9,45581.76,48298.12,33.1,3
PF00063,PR0063,20241027,A005,C016,R011,S2,P3,62.3,45.6,88415.38,98434.0,79.6,8
PF00064,PR0064,20240925,A006,C004,R017,S2,P1,97.3,80.5,209785.16,193602.68,65.3,11
PF00065,PR0065,20241221,A002,C008,R006,S3,P2,83.9,76.9,321545.86,361857.11,46.8,5
PF00066,PR0066,20241001,A006,C020,R013,S3,P3,70.2,64.3,199596.14,170702.53,28.1,4
PF00067,PR0067,20240821,A002,C012,R016,S3,P2,53.5,45.4,228446.61,242017.29,35.5,5
PF00068,PR0068,20240506,A005,C010,R019,S2,P4,93.3,83.1,90606.86,94362.42,46.3,4
PF00069,PR0069,20240102,A004,C011,R016,S4,P3,50.3,42.0,285189.68,269802.22,45.7,4
PF00070,PR0070,20240215,A005,C016,R011,S4,P3,56.1,44.2,225781.4,229682.4,43.4,6
PF00071,PR0071,20240418,A004,C006,R029,S2,P4,94.1,84.1,305844.47,289113.3,44.4,8
PF00072,PR0072,20240115,A004,C013,R016,S4,P3,69.4,63.6,333374.01,297168.21,41.1,5
PF00073,PR0073,20240704,A004,C018,R025,S4,P4,83.3,77.1,138067.75,134970.37,19.0,9
PF00074,PR0074,20241011,A005,C012,R023,S3,P3,73.4,66.6,54438.19,48315.06,35.7,4
PF00075,PR0075,20241218,A005,C009,R017,S2,P4,77.5,75.8,98426.91,104208.08,61.5,2
PF00076,PR0076,20240628,A001,C003,R027,S4,P2,54.5,51.5,167298.51,147555.57,20.4,0
PF00077,PR0077,20241116,A005,C005,R004,S4,P3,50.7,37.7,332350.44,367392.55,41.6,4
PF00078,PR0078,20241226,A004,C019,R028,S4,P3,56.0,49.0,147950.69,129933.63,30.2,6
PF00079,PR0079,20241110,A002,C011,R026,S4,P1,45.1,41.2,275501.29,262289.52,47.0,7
PF00080,PR0080,20240619,A004,C007,R016,S4,P2,91.8,81.7,200654.92,189628.45,38.0,3
